Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2005-01-28,9.0,9.0,9.0,9.0,9.0,400,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2005-01-31,9.5,9.5,9.5,9.5,9.5,500,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2005-02-01,11.0,11.0,11.0,11.0,11.0,200,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,
2005-05-25,12.0,12.0,12.0,12.0,12.0,200,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.33333333333333326,,True,True,,,
2005-06-15,12.5,12.5,12.5,12.5,12.5,500,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.3157894736842106,,True,True,,,
2005-06-16,13.5,13.5,13.5,13.5,13.5,200,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.2272727272727273,,True,True,,,
2005-06-23,11.0,11.0,11.0,11.0,11.0,200,0.0,0.0,0.0,0.0,,,,,,,38.23080833756991,45.01127698421222,0.0,,,,0.0,0.0,-0.08333333333333337,0.22222222222222232,False,False,,,
2005-07-29,13.25,13.25,13.25,13.25,13.25,500,0.0,0.0,0.0,0.0,,,,,,,66.3178321435997,66.87156260109997,0.0,,,,0.0,0.0,0.06000000000000005,0.39473684210526305,False,False,,,
2005-08-31,15.0,15.0,15.0,15.0,15.0,100,0.0,0.0,0.0,0.0,,,,,,,77.99261892363077,76.54233629778201,0.0,,,,0.0,0.0,0.11111111111111116,0.36363636363636354,True,True,,,
2005-09-27,13.25,13.25,13.25,13.25,13.25,500,1.275,0.0,0.0,0.0,,,,,,,51.31348641824507,55.097209821019604,0.0,,,,0.09622641509433962,0.09622641509433962,0.20454545454545459,0.10416666666666674,False,False,,,
