Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2022-10-27,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2022-10-28,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2022-10-31,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,False,False,,,
2022-11-01,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,,False,False,,,
2022-11-02,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,,False,False,,,
2022-11-03,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,,False,False,,,
2022-11-04,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-07,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-08,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-09,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-10,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-11,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-14,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-15,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-16,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-17,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-18,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-21,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-22,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-23,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,,
2022-11-25,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-11-28,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-11-29,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-11-30,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-12-01,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,25.0,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-12-02,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,25.0,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-12-05,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,25.0,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-12-06,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,25.0,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-12-07,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,25.0,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-12-08,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,25.0,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2022-12-09,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,25.0,,,,,,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,0.0,,
2024-09-04,24.773,24.773,24.773,24.773,24.773,100,0.022700000000000033,0.011350000000000016,0.0,0.0,24.990920000000003,,,,,,0.0,0.0,14.285714285714286,123.86500000000001,,,0.0009163201873006916,0.0009163201873006916,-0.009079999999999977,-0.009079999999999977,False,False,3.2378022349864852,,
2024-09-05,24.44,24.44,24.44,24.44,24.44,100,0.05372999999999987,0.027432499999999936,0.0,0.0,24.968519999999998,,,,,,0.0,0.0,26.53061224489796,246.065,,,0.0021984451718494217,0.0021984451718494217,-0.022399999999999975,-0.022399999999999975,False,False,5.650023104298114,,
2024-09-06,24.49,24.49,22.89,23.34,23.34,1100,0.20835699999999968,0.10606087499999983,0.0,0.0,24.90212,,,,,,0.0,0.0,37.02623906705539,1529.7649999999999,,,0.00892703513281918,0.00892703513281918,-0.06640000000000001,-0.06640000000000001,False,False,16.891129380914915,,
2024-09-09,23.45,23.45,23.45,23.45,23.45,100,0.19852129999999965,0.10625783124999981,0.0,0.0,24.840120000000002,,,,,,10.391155272549113,9.030619444052448,46.02249062890462,1647.015,,,0.008465727078891244,0.008465727078891244,-0.05340491664311953,-0.062000000000000055,False,False,17.09913731002615,,
2024-09-10,22.799,23.041,22.656,22.909,22.909,1500,0.25806916999999974,0.14064493968749986,0.0,0.0,24.75648,,,,,,5.88206169233051,5.6718237652638095,53.73356339620396,3365.19,,,0.011264968789558677,0.011264968789558677,-0.06264320785597388,-0.08364000000000005,False,False,18.471852672585097,,
2024-09-11,22.96,23.71,22.96,23.71,23.71,1200,0.312362253,0.17366269270312495,0.0,0.0,24.70488,,,,,,52.071666838958905,45.60845495722198,53.02079259093121,4787.79,,,0.01317428312948123,0.01317428312948123,0.015852613538988924,-0.05159999999999998,False,False,23.018273112464378,,
2024-09-12,23.32,23.32,22.254,22.254,22.254,2100,0.4267260276999999,0.2377795580679687,0.0,0.0,24.595039999999997,,,,,,22.270832771682024,22.510258581384775,54.16608526844012,7124.460000000001,,,0.01917525063808753,0.01917525063808753,-0.05100213219616201,-0.10168328422072415,False,False,31.48613284850135,,
2024-09-13,25.04,25.192,24.17,25.192,25.192,7600,0.6778534249299998,0.37279058016457023,0.0,0.0,24.602719999999998,,,,,,71.55114317080337,67.20121365706868,47.50724164073362,16697.420000000002,,,0.02690748749325182,0.02690748749325182,0.09965515736173569,0.03076923076923066,False,False,55.859348069341785,,
2024-09-16,24.759,24.759,24.482,24.482,24.482,1000,0.6810680824369999,0.38965105115634174,0.22422499999999995,0.0,24.581999999999997,,,,,,58.18018991065448,56.67009187750156,41.79966138841375,17921.52,,,0.02781913579107099,0.02781913579107099,0.03256010122311248,0.04892887746358188,False,False,56.799177362162446,,
2024-09-17,25.01,25.76,24.99,25.288,25.288,1800,0.7407612741933002,0.43406849859852475,0.25056937500000004,0.0,24.593519999999998,,,,,,68.27530371222787,64.97741566345961,40.03269459892448,20197.440000000002,,,0.029292995657754672,0.029292995657754672,0.13633504089152515,0.07837953091684446,False,False,58.02882677385094,,
2024-09-18,25.79,26.65,25.79,25.859,25.859,6500,0.8028851467739699,0.4804650736685985,0.278355140625,0.0,24.62788,,,,,,74.75193991787069,70.34743070553796,40.50507451217462,28601.615,,,0.031048576773037236,0.031048576773037236,0.02647665925690701,0.1287703522633028,True,True,58.53864262179275,,
2024-09-19,26.91,27.859,26.91,27.09,27.09,3900,0.9225966320965728,0.5564418199851685,0.321396262109375,0.0,24.71148,,,,,,84.79201428761068,79.4185947052903,42.83651984573066,33884.165,,,0.03405672322246485,0.03405672322246485,0.1065272445061678,0.14255588359342042,True,True,60.650211309145774,,
2024-09-20,26.75,26.76,25.87,26.004,26.004,7300,0.9523369688869154,0.58961972898591,0.3438613555566406,0.0,24.751640000000002,,,,,,55.55667263520553,58.40283381390816,40.515292103334744,43375.625,,,0.03662271069400536,0.03662271069400536,0.028313824739006677,0.1685090320841196,False,False,62.713143604998066,,
2024-09-23,26.71,26.83,26.248,26.614,26.614,6500,0.9397032719982235,0.6014387425366143,0.3559148216677245,0.0,24.8162,,,,,,65.56112723785948,65.28306515587411,38.68208444730185,52025.175,,,0.0353086071991517,0.0353086071991517,0.02919679802003161,0.05644649094950771,False,False,63.15514059036252,,
2024-09-24,27.84,28.533,27.673,28.533,28.533,9900,1.0376329447984012,0.6673168054097836,0.39499195112603136,0.0,24.95752,,,,,,83.30027141143181,79.50330673170129,40.18342181349603,66149.01000000001,,,0.03636606542594193,0.03636606542594193,0.05326688815060909,0.16546850747487962,True,True,67.39127627066868,,
2024-09-25,28.7,28.959,28.38,28.38,28.38,17600,0.9917696503185611,0.6629009651392944,0.3995921523478806,0.0,25.09272,,,,,,78.46660879241131,76.18592435038238,42.049981202042154,91123.41,,,0.03494607647352224,0.03494607647352224,0.09137055837563435,0.12227143309079391,False,False,67.4881683576939,,
2024-09-26,28.74,28.74,26.94,27.992,27.992,7600,1.0725926852867047,0.7197559168823295,0.4346023485391835,0.0,25.212400000000002,,,,,,64.27842787160881,66.76605102133607,38.40604942901661,101760.37000000001,,,0.03831782956868765,0.03831782956868765,0.051777260088675225,0.08248578831354658,False,False,67.83570317789538,,
