Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2014-11-19,17.0,22.45,16.2,19.97,479.28,204458,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2014-11-20,22.675,24.02,21.25,23.6,566.4,120167,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2014-11-21,23.75,23.75,19.78,21.14,507.36,56246,0.0,0.0,0.0,0.0,,,,,,,49.59016393442624,,0.0,,,,0.0,0.0,,,False,False,,,
2014-11-24,20.42,21.1,19.07,19.55,469.2,29354,0.0,0.0,0.0,0.0,,,,,,,33.31039229181006,37.281752824375225,0.0,,,,0.0,0.0,-0.021031547320981336,,False,False,,,
2014-11-25,20.2,20.2,17.43,17.91,429.84,30758,0.0,0.0,0.0,0.0,,,,,,,22.090369694203574,26.644012505097194,0.0,,,,0.0,0.0,-0.24110169491525424,,False,False,,,
2014-11-26,17.98,18.8,16.95,17.3,415.2,25813,0.0,0.0,0.0,0.0,,,,,,,18.59571606954185,23.341086440529978,0.0,,,,0.0,0.0,-0.18164616840113523,,False,False,,,
2014-11-28,17.3,17.64,15.26,15.32,367.68,17467,0.0,0.0,0.0,0.0,,,,,,,10.504612045577858,15.191030973108425,0.0,,,,0.0,0.0,-0.21636828644501283,-0.2328492739108663,False,False,,,
2014-12-01,15.2,15.2,13.5,13.7,328.8,24575,0.0,0.0,0.0,0.0,,,,,,,6.847885679925014,11.000699632973294,0.0,,,,0.0,0.0,-0.2350642099385818,-0.4194915254237289,False,False,,,
2014-12-02,13.75,15.9,13.5,15.7,376.8,41567,0.0,0.0,0.0,0.0,,,,,,,43.36025292226295,38.792622934650325,0.0,,,,0.0,0.0,-0.09248554913294804,-0.25733207190160834,False,False,,,
2014-12-03,15.77,16.58,14.6,14.71,353.04,22163,2.9539999999999997,0.0,0.0,0.0,,,,,,,33.58567848430488,32.16371293307773,0.0,,,,0.20081577158395647,0.20081577158395647,-0.03981723237597912,-0.2475703324808184,False,False,,,
2014-12-04,14.45,14.9,13.74,14.06,337.44,10263,2.7746,0.0,0.0,0.0,,,,,,,27.483929949104933,27.97835962911347,0.0,,,,0.19733997155049784,0.19733997155049784,0.026277372262773824,-0.214963707426019,False,False,,,
2014-12-05,14.45,14.45,13.01,14.1,338.4,10296,2.64114,0.0,0.0,0.0,,,,,,,28.67998047550114,28.739214670792848,0.0,,,,0.18731489361702128,0.18731489361702128,-0.10191082802547768,-0.18497109826589597,False,False,,,
2014-12-08,14.12,15.59,13.52,14.74,353.76,18017,2.584026,0.0,0.0,0.0,,,,,,,48.90553256477731,41.84553302478736,0.0,,,,0.17530705563093624,0.17530705563093624,0.0020394289598912874,-0.037859007832898195,True,True,,,
2014-12-09,14.54,15.91,14.25,15.46,371.04,16354,2.4916234000000004,0.0,0.0,0.0,,,,,,,65.4429934151493,54.420138518217776,44.23253681780911,,,,0.161165808538163,0.161165808538163,0.09957325746799439,0.12846715328467173,True,True,,,
2014-12-10,15.8,16.38,14.6,14.94,358.56,19100,2.42046106,0.0,0.0,0.0,,,,,,,48.4534483715534,45.04160864988586,39.852764294306134,,,,0.16201211914323962,0.16201211914323962,0.05957446808510647,-0.0484076433121019,False,False,,,
2014-12-11,15.28,15.74,14.3,14.53,348.72,11167,2.322414954,0.0,0.0,0.0,,,,,,,37.07122102239959,38.1329359727943,36.75183301497695,,,,0.15983585368203718,0.15983585368203718,-0.01424694708276808,-0.012236573759347502,False,False,,,
2014-12-12,14.21,15.49,14.15,15.24,365.76,5029,2.2241734586,0.0,0.0,0.0,,,,,,,60.918524150339884,54.31317493115389,34.44394292725505,,,,0.145943140328084,0.145943140328084,-0.014230271668822847,0.08392603129445231,False,False,,,
2014-12-15,15.14,15.3,13.95,14.11,338.64,7463,2.13675611274,0.0,0.0,0.0,,,,,,,31.983378999850274,34.92833728052115,32.97047128029337,,,,0.15143558559461376,0.15143558559461376,-0.05555555555555558,0.0007092198581559739,False,False,,,
2014-12-16,13.75,14.37,13.57,13.76,330.24,6004,2.0030805014659996,0.0,0.0,0.0,,,,,,,26.201343948042037,30.441400560159934,32.68053921655534,,,,0.14557271086235463,0.14557271086235463,-0.05299380591878866,-0.06648575305291726,False,False,,,
2014-12-17,14.25,14.48,13.01,13.21,317.04,7933,1.9497724513193995,2.2025,0.0,0.0,,,,,,,18.37233694469205,23.985530942967273,33.75117588028311,644352.551,,,0.1475982173595306,0.1475982173595306,-0.13320209973753272,-0.1455368693402328,False,False,,,
2014-12-18,13.56,13.68,11.82,12.58,301.92,18029,1.9407952061874596,2.185375,0.0,0.0,,,,,,,12.139810404990513,18.11737148142332,36.79662309369907,451541.479,,,0.15427624850456753,0.15427624850456753,-0.10843373493975894,-0.1579651941097724,False,False,123.788354830158,,
2014-12-19,12.59,12.74,11.07,11.19,268.56,40167,1.9137156855687139,2.1596062500000004,0.0,0.0,,,,,,,5.71903137634591,10.53505035612774,40.40020536581178,332217.8555,,,0.17102016850480017,0.17102016850480017,-0.18677325581395354,-0.22986923606331733,False,False,105.66753698514415,,
2014-12-22,11.08,11.879,10.36,10.6,254.4,22983,1.8742441170118425,2.1275759375000005,0.0,0.0,,,,,,,4.278318586674374,8.517610077815462,44.28085992043816,284946.8235,,,0.17681548273696626,0.17681548273696626,-0.1975775927327783,-0.3044619422572179,False,False,102.3731413347875,,
2014-12-23,10.61,10.85,10.0,10.15,243.6,16850,1.771819705310658,2.0636971406250004,0.0,0.0,,,,,,,3.3211384558732107,7.129236521068734,47.975400322353224,264804.6635,,,0.17456351776459683,0.17456351776459683,-0.19316375198728142,-0.28065201984408217,False,False,101.14167566705396,,
