Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2014-10-16,50.11,50.11,50.05,50.07,37.3198,528896,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2014-10-17,49.75,49.97,49.75,49.94,37.2229,273609,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2014-10-20,49.94,49.98,49.91,49.95,37.2304,164760,0.0,0.0,0.0,0.0,,,,,,,10.344827586211451,,0.0,,,,0.0,0.0,,,False,False,,,
2014-10-21,49.87,49.92,49.87,49.92,37.208,89623,0.0,0.0,0.0,0.0,,,,,,,7.058823529414951,6.779661016952218,0.0,,,,0.0,0.0,-0.0029958058717795,,False,False,,,
2014-10-22,49.87,49.87,49.86,49.86,37.1633,330968,0.0,0.0,0.0,0.0,,,,,,,3.6144578313269733,3.9344262295100094,0.0,,,,0.0,0.0,-0.0016019223067680333,,False,False,,,
2014-10-23,49.77,49.7899,49.72,49.73,37.0664,111593,0.0,0.0,0.0,0.0,,,,,,,1.3977868375079652,1.7783632471603994,0.0,,,,0.0,0.0,-0.004404404404404483,,False,False,,,
2014-10-24,49.78,49.8,49.76,49.78,37.1037,110008,0.0,0.0,0.0,0.0,,,,,,,27.167132716714804,23.32576374309251,0.0,,,,0.0,0.0,-0.002804487179487225,-0.005791891352107004,False,False,,,
2014-10-27,49.81,50.14,49.74,49.76,37.0888,18208,0.0,0.0,0.0,0.0,,,,,,,23.4845667534409,20.88250712833674,0.0,,,,0.0,0.0,-0.0020056157240273542,-0.0036043251902282414,False,False,,,
2014-10-28,49.7,49.75,49.68,49.69,37.0366,222393,0.0,0.0,0.0,0.0,,,,,,,13.72043127563164,14.02630863261055,0.0,,,,0.0,0.0,-0.0008043434546550765,-0.005205205205205288,False,False,,,
2014-10-29,49.73,49.74,49.55,49.63,36.9919,188826,0.1470000000000013,0.0,0.0,0.0,,,,,,,8.940959932041153,10.199276833054412,0.0,,,,0.0029619181946403646,0.0029619181946403646,-0.0030132583366814236,-0.005809294871794823,False,False,,,
