Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2009-11-24,60.2816,60.2816,60.13,60.13,37.7493,500,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2009-11-25,60.0,60.52,60.0,60.52,37.9941,700,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2009-11-27,60.88,60.88,60.78,60.78,38.1573,3300,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,
2009-11-30,60.76,60.76,60.76,60.76,38.1448,100,0.0,0.0,0.0,0.0,,,,,,,94.54545454545372,95.39568345323671,0.0,,,,0.0,0.0,0.010477299185098987,,False,False,,,
2009-12-01,60.55,60.55,60.34,60.34,37.8811,4951,0.0,0.0,0.0,0.0,,,,,,,34.782608695652286,41.67190446260224,0.0,,,,0.0,0.0,-0.002974223397224085,,False,False,,,
2009-12-02,60.4484,60.5992,60.4484,60.5992,38.0438,648,0.0,0.0,0.0,0.0,,,,,,,58.85728753481321,60.14225093201862,0.0,,,,0.0,0.0,-0.002974662717999288,,False,False,,,
2009-12-03,59.85,59.95,59.85,59.95,37.6363,250,0.0,0.0,0.0,0.0,,,,,,,24.65890256568916,29.23077208546296,0.0,,,,0.0,0.0,-0.013331138907175744,-0.002993514052885393,False,False,,,
2009-12-08,59.9,59.9,59.51,59.51,37.36,1500,0.0,0.0,0.0,0.0,,,,,,,15.501868548644708,19.960034415903436,0.0,,,,0.0,0.0,-0.013755386145177462,-0.016688697951090625,False,False,,,
2009-12-09,59.45,59.45,59.39,59.39,37.2847,598,0.0,0.0,0.0,0.0,,,,,,,13.457475034975133,17.89608373768182,0.0,,,,0.0,0.0,-0.01995405879945611,-0.022869364922671886,False,False,,,
2009-12-10,59.1,59.1,59.1,59.1,37.1026,650,0.33299999999999985,0.0,0.0,0.0,,,,,,,9.104782225993759,13.423493787111923,0.0,,,,0.00563451776649746,0.00563451776649746,-0.014178482068390341,-0.027320605661619424,False,False,,,
2009-12-11,58.7,58.7,58.47,58.47,36.7071,958,0.36270000000000013,0.0,0.0,0.0,,,,,,,4.432772759764433,7.786672411531569,0.0,,,,0.006203181118522322,0.006203181118522322,-0.017476054444631184,-0.03099105071262853,False,False,,,
2009-12-17,59.38,59.38,59.38,59.38,37.2784,400,0.4174300000000005,0.0,0.0,0.0,,,,,,,54.746057646223214,49.017886417103234,0.0,,,,0.007029808016167068,0.007029808016167068,-0.00016837851490147937,-0.020119077479570646,False,False,,,
2009-12-21,58.73,58.73,58.42,58.42,36.6757,2222,0.4716870000000005,0.0,0.0,0.0,,,,,,,29.865360396478536,30.092111578979186,0.0,,,,0.008074067100308122,0.008074067100308122,-0.011505922165820692,-0.025521267723102592,False,False,,,
2009-12-22,57.86,58.07,57.86,58.07,36.456,628,0.4805183000000007,0.0,0.0,0.0,,,,,,,23.920210995283185,25.336731585709316,44.13690057952543,,,,0.008274811434475645,0.008274811434475645,-0.006841115101761552,-0.02419761384641228,False,False,,,
2009-12-23,58.17,58.17,58.17,58.17,36.5188,1400,0.4424664700000007,0.0,0.0,0.0,,,,,,,29.900639257467503,29.576304106251712,44.804983007519205,,,,0.007606437510744382,0.007606437510744382,-0.02037723139104075,-0.020542178817982815,False,False,,,
2009-12-24,57.49,57.49,57.35,57.35,36.1694,1592,0.4802198230000007,0.0,0.0,0.0,,,,,,,15.202142923457572,18.24770977829199,47.1802686034439,,,,0.008373492990409777,0.008373492990409777,-0.018315645326942853,-0.029610829103214886,False,False,,,
2009-12-28,57.17,57.1758,57.17,57.1758,36.0595,275,0.45019784070000063,0.0,0.0,0.0,,,,,,,13.143303281760055,16.461714811746546,49.54341715096392,,,,0.007873922895700639,0.007873922895700639,-0.015398656793525034,-0.022134427911749577,False,False,,,
2009-12-30,57.6099,57.6332,57.6099,57.6332,36.348,301,0.45091805663000056,0.0,0.0,0.0,,,,,,,43.35697099088998,37.78132902996708,48.06771721907069,,,,0.007823928857498812,0.007823928857498812,-0.00922812446278154,-0.02941731222633881,False,False,,,
2009-12-31,57.25,57.36,57.1,57.36,36.1757,1100,0.45914625096700057,0.0,0.0,0.0,,,,,,,33.055130704431946,31.399565650829217,48.2179814113657,,,,0.00800464175326012,0.00800464175326012,0.0001743679163033196,-0.018144471071550927,False,False,,,
2010-01-05,57.79,57.84,57.79,57.84,36.4784,900,0.4612316258703009,0.4480300000000007,0.0,0.0,,,,,,,58.83336070352594,50.8486190825115,45.112869909593904,68113.94699,,,0.007974267390565368,0.007974267390565368,0.011616802913120505,-0.003960737041501572,False,False,,,
2010-01-06,57.39,57.39,57.39,57.39,36.1946,600,0.4601084632832711,0.44812850000000076,0.0,0.0,,,,,,,38.16630999257027,37.543554096895335,43.802063233414415,68332.39699000001,,,0.00801722361532098,0.00801722361532098,-0.004219789982163102,-0.013408973697782378,False,False,13.139714196261409,,
2010-01-07,57.25,57.25,57.25,57.25,36.1063,400,0.428097616954944,0.43272207500000076,0.0,0.0,,,,,,,32.79086414733669,33.867550844281425,43.13514444569987,67359.19699,,,0.007477687632400769,0.007477687632400769,-0.0019177126917712117,-0.0017436791630339732,False,False,12.722565969567784,,
2010-01-08,57.15,57.15,57.15,57.15,36.0433,200,0.39528785525944976,0.4160859712500008,0.0,0.0,,,,,,,28.49142581300356,30.97876525751647,42.91060596336029,57901.99699,,,0.006916672882930005,0.006916672882930005,-0.011929460580912932,-0.00045123986022066465,False,False,12.455676256941887,,
2010-01-11,57.27,57.27,57.12,57.14,36.037,676,0.37075906973350536,0.40278167268750104,0.0,0.0,,,,,,,27.94187771490722,30.6304094493631,41.64774351967396,59529.52899,,,0.006488608150743881,0.006488608150743881,-0.004356159609688048,-0.008557567513169495,False,False,12.460308419956775,,
2010-01-12,57.73,57.73,57.71,57.71,36.3964,800,0.39268316276015447,0.4121425890531258,0.0,0.0,58.703528000000006,,,,,,72.79943286277614,62.59631195974584,36.89935771923903,46900.76199,,,0.006804421465259998,0.006804421465259998,0.00803493449781656,0.00610181311018132,False,False,13.183253270997886,,
2010-01-13,57.69,57.69,57.37,57.37,36.182,1488,0.3874148464841394,0.40853545960046966,0.0,0.0,58.593128,,,,,,46.75649683971095,45.808143212027744,34.682958324659516,49205.67591,,,0.006752916968522562,0.006752916968522562,0.003849518810148611,-0.008125864453665366,False,False,13.010635306984467,,
2010-01-14,57.56,57.56,57.56,57.56,36.3018,185,0.3676733618357259,0.3976086866204464,0.0,0.0,58.474728,,,,,,59.039251456303674,54.833847434709625,32.78318741501993,48988.73091,,,0.006387653958230123,0.006387653958230123,0.007350367518375922,0.0029621885345878507,False,False,12.816002486461459,,
2010-01-15,58.39,58.39,58.2881,58.2881,36.761,2415,0.4139060256521532,0.41922825228942406,0.0,0.0,58.375052,,,,,,82.3903789007454,75.59888972870462,30.59502200088107,51563.768984999995,,,0.007101038216242307,0.007101038216242307,0.010017328019407357,0.018132751091703092,True,True,13.642980867094229,,
2010-01-19,58.19,58.24,58.17,58.17,36.6866,5972,0.3843254230869377,0.4041718396749528,0.0,0.0,58.271452,,,,,,72.35449534025523,68.76189617728457,27.872839712881262,67157.569985,,,0.006606935243027981,0.006606935243027981,0.01394457033292662,0.01784776902887142,False,False,13.643073771773274,,
2010-01-20,58.41,58.54,58.41,58.54,36.9199,2100,0.3828928807782436,0.402463247691205,0.0,0.0,58.199452,,,,,,82.41860750970312,77.32723865632865,27.183243521720353,71383.51998499999,,,0.006540705172159953,0.006540705172159953,0.01702571230020844,0.024501225061253074,False,False,13.803750430399573,,
2010-01-21,58.48,58.81,58.48,58.79,37.0776,1110,0.3776035927004198,0.39884008530664505,0.0,0.0,58.127083999999996,,,,,,87.15712705273928,81.81848733656933,27.91315394098128,71845.65198499999,,,0.006422922141527808,0.006422922141527808,0.008610676964937891,0.018714260959972195,True,True,13.346238508354583,,
2010-01-22,58.76,58.91,58.76,58.842,37.1104,3049,0.3548432334303777,0.38639808104131274,0.0,0.0,58.082764000000005,,,,,,88.153314066288,82.765309150501,29.016214133861443,79628.514885,,,0.006030441409713771,0.006030441409713771,0.011552346570397054,0.025658009412584892,True,True,12.092990228002693,,
2010-01-25,58.54,58.67,58.54,58.57,36.9388,1383,0.3495589100873399,0.38217817698924705,0.0,0.0,58.04516399999999,,,,,,54.80109448113237,60.71411145273469,27.78296464585623,77188.168385,,,0.005968224519162368,0.005968224519162368,0.0005124701059104897,0.017546907574704562,False,False,10.693833426319658,,
2010-01-26,58.84,58.84,58.55,58.57,36.9388,4718,0.3436030190786065,0.377569268139785,0.0,0.0,58.012364,,,,,,54.80109448113236,60.71411145273469,27.77272442464897,89181.43338500001,,,0.005866536094905353,0.005866536094905353,-0.003742133015819049,0.004836321650559805,False,False,10.446290008694504,,
2010-01-27,58.76,58.76,58.626,58.626,36.9741,25174,0.32824271717074566,0.36819080473279564,0.0,0.0,57.99340400000001,,,,,,61.541421484597734,64.20475700936291,27.763947092185607,158902.079585,,,0.00559892739007856,0.00559892739007856,-0.0036708473539308617,0.007839092315626628,False,False,10.437268047479382,,
2010-01-28,58.21,58.45,58.21,58.39,36.8253,3688,0.33701844545367077,0.3705812644961557,0.0,0.0,57.990204000000006,,,,,,31.67847876775872,42.824130122124,24.119592429499505,165104.13558499998,,,0.005771852122857865,0.005771852122857865,-0.0030732456889192017,-0.0025623505295524485,False,False,9.089815681846499,,
2010-01-29,58.26,58.71,58.23,58.71,37.1518,9610,0.3513166009083041,0.3760522012713481,0.0,0.0,57.963404,,,,,,65.6148434516827,64.3107271696612,22.4860417229083,192528.12333499998,,,0.005983931202662308,0.005983931202662308,0.0023903022024927,-0.0013607756421160078,False,False,9.102267826229843,,
2010-02-01,58.55,58.55,58.42,58.42,36.9683,1569,0.3451849408174736,0.37174959120778067,0.0,0.0,57.963404,,,,,,39.16783202981039,44.22748393473042,21.085855402972978,196243.79267499998,,,0.005908677521695885,0.005908677521695885,-0.0035137993381775257,-0.007171748071105655,False,False,9.006282452443019,,
2010-02-02,58.29,58.4,58.29,58.4,36.9557,1570,0.3236664467357265,0.35966211164739176,0.0,0.0,57.976603999999995,,,,,,37.60004825730485,42.99290751205335,18.42994707932925,197673.39267499998,,,0.005542233676981618,0.005542233676981618,0.00017126220243190993,-0.0029025098173126596,False,False,8.787052068160314,,
2010-02-03,58.18,58.18,57.9,57.93,36.6582,5663,0.3412998020621538,0.36667900606502213,0.3829175000000008,0.0,57.967003999999996,,,,,,15.595445391876638,22.93387985296617,18.960927772216706,211473.472175,,,0.005891589885416085,0.005891589885416085,-0.01328564128768528,-0.010927095782824026,False,False,8.876198735629728,,
2010-02-04,57.93,58.54,57.93,58.53,37.0379,105999,0.3681698218559384,0.37884505576177097,0.3885945625000008,0.0,58.014204,,,,,,60.1987238270589,57.04600393860241,16.67709647551614,519957.845675,,,0.006290275446026625,0.006290275446026625,0.001882916809311963,-0.001637498720704067,False,False,9.067976615586488,,
2010-02-05,58.53,58.89,58.53,58.77,37.1898,3100,0.3673528396703445,0.3779028029736824,0.38787969843750075,0.0,58.077972,,,,,,69.78038947546042,65.24959290289277,17.341304610426604,527922.195675,,,0.006250686399018963,0.006250686399018963,0.00633561643835634,0.006507963692413021,True,True,9.037147993077081,,
2010-02-08,58.74,58.86,58.71,58.86,37.2467,4057,0.3456175557033099,0.3665076628249982,0.3819327059765632,0.0,58.127044000000005,,,,,,73.38452243958747,68.27874248122806,17.910625868921283,539290.446675,,,0.00587185789506133,0.00587185789506133,0.01605385810460902,0.0025549310168624384,True,True,8.96462704052802,,
2010-02-09,58.64,58.72,58.35,58.35,36.924,812,0.36205580013297867,0.3736822796837482,0.3851343883271491,0.0,58.166644,,,,,,36.441724349318584,41.16628431395325,15.934146539379258,539728.124675,,,0.006204898031413516,0.006204898031413516,-0.003075345976422339,-0.001198219787743926,False,False,9.65697140483562,,
2010-02-10,58.35,58.55,57.8,57.9,36.6393,15090,0.40085022011968086,0.39249816569956075,0.39425602861897036,0.0,58.16904400000001,,,,,,21.87006551156908,28.05850784191911,17.964124790313242,581105.274675,,,0.006923147152326095,0.006923147152326095,-0.014803471158754578,-0.008561643835616417,False,False,9.538310139849013,,
2010-02-11,57.78,57.84,57.6,57.65,36.4811,2947,0.3907651981077125,0.38787325741458256,0.39189962790349603,0.0,58.179444,,,,,,16.403964522544896,22.70363676827739,20.735726687324405,585331.674175,,,0.006778234138902212,0.006778234138902212,-0.02055725450220869,-0.004833419644398429,False,False,9.420525193873647,,
2010-02-12,57.92,57.92,57.84,57.84,36.6013,5685,0.3786886782969415,0.3819795945438536,0.3888521372059087,0.0,58.203044000000006,,,,,,34.94098409180076,35.22965372715585,22.208279284832503,601240.2641749999,,,0.006547176319103415,0.006547176319103415,-0.008740359897172256,-0.0117888262429523,False,False,9.419835528760325,,
2010-02-16,57.66,58.03,57.66,58.03,36.7215,2819,0.37781981046724783,0.38138061481666113,0.38838083377576116,0.0,58.238244,,,,,,51.179538543966565,46.737939430971586,24.532248521311175,602381.3046,,,0.006510767025111974,0.006510767025111974,0.0022452504317789224,-0.012591458226986596,True,True,8.320377347195288,,
2010-02-17,57.8,57.8,57.41,57.41,36.3292,1986,0.4020378294205235,0.3933115840758283,0.3941713129313672,0.0,58.249044,,,,,,23.036070225788322,26.360095791934157,27.831024047910272,590712.5556,,,0.0070029233482062974,0.0070029233482062974,-0.0041630529054640375,-0.024634726469588863,False,False,9.108790131621706,,
2010-02-18,57.6,57.6,57.08,57.26,36.2343,13527,0.4138340464784715,0.39964600487203705,0.3973170301080831,0.39553400000000083,58.23104399999999,58.467286,,,,,19.203776977310042,23.10979821756264,32.052598021075866,623293.6566,293776.337466,5027.3,0.0072272798895995725,0.0072272798895995725,-0.010027662517289149,-0.018680377035132922,False,False,8.743653146557673,57.14,
2010-02-19,57.35,57.44,57.1999,57.44,36.3482,15176,0.3964606418306241,0.3916687046284351,0.393386604355381,0.39242532000000074,58.233844,58.413486000000006,,,,,37.82270488799689,35.77958314043242,35.67108999807494,663616.2836,310609.22626599995,5320.82,0.006902169948304738,0.006902169948304738,-0.010167154919869081,-0.007944732297063939,False,False,8.660934106813587,57.14,
2010-02-22,57.37,57.37,57.32,57.32,36.2722,1180,0.3688145776475614,0.37808526939701326,0.3865519392464964,0.3869768136000007,58.224244,58.349486,,,,,30.739094300625567,31.208504642431507,38.77265454978844,658027.7007,311114.698266,5330.42,0.006434308751702048,0.006434308751702048,-0.0015676711374323915,-0.005724197745012982,False,False,8.632074094725626,57.14,
2010-02-23,57.45,58.05,57.45,58.05,36.7342,4896,0.40493311988280495,0.39568100592716243,0.39513814076533393,0.3938372773280006,58.21472000000001,58.294886000000005,,,,,74.43277240336445,66.2165455961657,33.55165404946544,668188.2252,312787.474266,5362.34,0.006975592073777863,0.006975592073777863,0.013796716730702041,0.0036307053941908585,False,False,9.845486937485708,57.14,
2010-02-24,57.94,58.16,57.94,58.1,36.7658,6030,0.3864398078945243,0.3868969556308043,0.3907596872462006,0.3903605317814406,58.21192,58.241686,,,,,75.98902011447365,67.71690103389955,30.008307059818517,671888.7122,319672.814266,5480.94,0.006651287571334325,0.006651287571334325,0.01149025069637899,0.0012062726176116367,True,True,9.855396665539605,57.14,
2010-02-25,58.41,58.41,58.24,58.32,36.905,5068,0.3787958271050714,0.3830521078492638,0.38874069506504544,0.3887533211458117,58.20312,58.201286,,,,,82.87052108545255,74.38955544081611,28.930438675368407,612874.454,319609.262666,5483.28,0.006495127350910004,0.006495127350910004,0.017445917655268595,0.01585089705626208,True,True,9.95746445772577,57.14,
