Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2023-12-04,9.55,9.56,9.52,9.554,8.8129,3500,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2023-12-05,9.5,9.56,9.44,9.515,8.777,296200,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2023-12-06,9.26,9.83,9.26,9.53,8.7908,219100,0.0,0.0,0.0,0.0,,,,,,,36.585365853656846,,0.0,,,,0.0,0.0,,,False,False,,,
2023-12-07,9.54,9.7,9.5,9.58,8.8369,200900,0.0,0.0,0.0,0.0,,,,,,,77.58620689655183,73.62885048835471,0.0,,,,0.0,0.0,0.002721373246807657,,True,True,,,
2023-12-08,9.48,9.61,9.48,9.58,8.8369,60700,0.0,0.0,0.0,0.0,,,,,,,77.58620689655183,73.62885048835471,0.0,,,,0.0,0.0,0.006831318970047295,,False,False,,,
2023-12-11,9.53,9.59,9.5,9.575,8.8323,80100,0.0,0.0,0.0,0.0,,,,,,,67.73283160865347,66.52085375970944,0.0,,,,0.0,0.0,0.004721930745015701,,False,False,,,
2023-12-12,9.564,9.62,8.62,9.555,8.8139,156000,0.0,0.0,0.0,0.0,,,,,,,38.44100373731973,43.911910649384986,0.0,,,,0.0,0.0,-0.0026096033402923657,0.00010466820180021763,False,False,,,
2023-12-13,9.58,9.96,9.5,9.885,9.1183,89200,0.0,0.0,0.0,0.0,,,,,,,94.74008348349717,93.38373624996817,0.0,,,,0.0,0.0,0.03183716075156573,0.03888596952180756,False,False,,,
2023-12-14,10.1,10.29,10.1,10.27,9.4734,38700,0.0,0.0,0.0,0.0,,,,,,,97.97732161770413,97.21075087804498,0.0,,,,0.0,0.0,0.07258485639686696,0.07764952780692558,True,True,,,
2023-12-15,10.06,10.085,10.0,10.045,9.2658,74400,0.3285,0.0,0.0,0.0,,,,,,,63.6414071886353,67.00857557710484,0.0,,,,0.03270283723245396,0.03270283723245396,0.05128205128205132,0.04853862212943638,False,False,,,
2023-12-18,10.031,10.06,9.97,10.005,9.2289,69200,0.30465,0.0,0.0,0.0,,,,,,,58.202250557363826,62.412257969630204,0.0,,,,0.030449775112443775,0.030449775112443775,0.012139605462822667,0.044363256784968774,False,False,,,
2023-12-19,10.03,10.14,10.03,10.09,9.3074,62100,0.28768499999999997,0.0,0.0,0.0,,,,,,,67.15102898252694,68.52861904666703,0.0,,,,0.028511892963330027,0.028511892963330027,-0.017526777020447915,0.05378590078328993,False,False,,,
2023-12-20,10.1,10.17,9.92,9.96,9.1874,64900,0.28391649999999996,0.0,0.0,0.0,,,,,,,45.03262433307035,51.454644680443934,0.0,,,,0.028505672690763047,0.028505672690763047,-0.008461921353907331,0.04238618524332827,False,False,,,
2023-12-21,10.021,10.08,9.965,10.08,9.2981,114500,0.2675248499999999,0.0,0.0,0.0,,,,,,,62.24946310681252,62.847394314019155,8.396364750850857,,,,0.026540163690476182,0.026540163690476182,0.007496251874062887,0.019726858877086473,False,False,,,
2023-12-22,10.08,10.21,10.05,10.17,9.3811,89600,0.25677236499999995,0.0,0.0,0.0,,,,,,,72.08567813246395,69.9091847250824,7.802801480717641,,,,0.02524802015732546,0.02524802015732546,0.007928642220019766,-0.009737098344693274,True,True,,,
2023-12-26,10.142,10.23,10.121,10.185,9.395,120000,0.24199512849999993,0.0,0.0,0.0,,,,,,,73.79280364498808,71.1286787882167,7.607484600304939,,,,0.023759953706431018,0.023759953706431018,0.02259036144578319,0.013937282229965264,True,True,,,
2023-12-27,9.97,10.17,9.9,9.93,9.4025,132800,0.24629561564999997,0.0,0.0,0.0,,,,,,,28.831221140033875,37.072935259425584,9.06859894339719,,,,0.024803183851963742,0.024803183851963742,-0.014880952380952439,-0.007496251874063109,False,False,,,
2023-12-28,9.97,10.04,9.94,9.97,9.4403,58700,0.2326660540849999,0.0,0.0,0.0,,,,,,,37.754897911449376,42.800816461349626,10.320982666047689,,,,0.02333661525426278,0.02333661525426278,-0.019665683382497523,-0.011892963330029649,False,False,,,
2023-12-29,10.02,10.03,9.95,9.96,9.4309,128700,0.21739944867649993,0.0,0.0,0.0,,,,,,,36.059374563608635,41.54042287044908,11.394454428319548,,,,0.021827253883182723,0.021827253883182723,-0.022091310751104487,0.0,False,False,,,
2024-01-02,9.905,10.01,9.905,9.98,9.4498,251100,0.20615950380885,0.23644999999999997,0.0,0.0,,,,,,,43.651048832348984,45.796869885633946,13.120601371248728,1133735.675,,,0.02065726491070641,0.02065726491070641,0.0050352467270897705,-0.009920634920634885,False,False,,,
2024-01-03,9.92,9.92,9.75,9.78,9.2604,259500,0.20854355342796502,0.2361275,0.0,0.0,,,,,,,15.696447185458496,23.237691446314187,16.964370030692265,1258959.225,,,0.02132347172065082,0.02132347172065082,-0.01905717151454378,-0.0383480825958703,False,False,24.918297192564278,,
2024-01-04,9.75,9.8,9.69,9.71,9.1942,48100,0.19868919808516863,0.22982112500000004,0.0,0.0,,,,,,,11.74694156315465,18.894331718160103,21.021367546931224,1141394.625,,,0.020462327300223338,0.020462327300223338,-0.025100401606425682,-0.04663721158566514,False,False,25.028815123602,,
2024-01-05,9.811,9.811,9.67,9.71,9.1942,94100,0.19292027827665176,0.22538006875000005,0.0,0.0,,,,,,,11.74694156315465,18.894331718160103,24.75984647000504,1082679.025,,,0.019868205795741684,0.019868205795741684,-0.027054108216432837,-0.022155085599194213,False,False,25.030378946618963,,
2024-01-08,9.78,10.11,9.67,9.93,9.4025,114800,0.21762825044898654,0.23611106531250003,0.0,0.0,,,,,,,68.24626972775906,60.32639673645016,22.228220694567792,1043446.125,,,0.021916238715910023,0.021916238715910023,0.015337423312883569,-0.004012036108325012,False,False,26.138962199130923,,
2024-01-09,9.9,10.19,9.45,9.87,9.3457,130400,0.2698654254040879,0.2613055120468751,0.0,0.0,9.856760000000001,,,,,,54.08220927468658,50.875713781124794,21.721352889581176,1078723.225,,,0.027341988389471928,0.027341988389471928,0.016477857878475666,-0.009036144578313365,False,False,26.282272488210612,,
2024-01-10,9.84,10.82,9.84,9.875,9.3504,85800,0.3408788828636792,0.29724023644453135,0.0,0.0,9.8696,,,,,,55.24332806101555,51.71616983979303,23.499248644923938,1082739.1,,,0.03451938054315738,0.03451938054315738,0.016992790937178093,-0.010521042084168375,False,False,26.27435799740215,,
2024-01-11,9.87,9.87,9.73,9.775,9.2557,71100,0.3212909945773112,0.28962822462230475,0.0,0.0,9.88,,,,,,31.41311496739553,35.513643856733054,23.4291980047964,1042960.225,,,0.032868643946528,0.032868643946528,-0.015609264853977733,-0.0005112474437626302,False,False,26.577763105721303,,
2024-01-12,9.856,9.91,9.79,9.863,9.339,110000,0.30266189511958,0.2818968133911895,0.0,0.0,9.893320000000001,,,,,,56.297550817565906,52.84712989090607,23.74398044985662,1053119.625,,,0.03068659587545169,0.03068659587545169,-0.0007092198581559739,0.015756951596292312,False,False,23.822841394193635,,
2024-01-16,9.83,9.838,9.71,9.73,9.2131,57600,0.28769570560762187,0.2754519727216299,0.0,0.0,9.89932,,,,,,30.8899340837429,34.279394871846506,22.691772213762793,1061269.575,,,0.02956790396789536,0.02956790396789536,-0.01468354430379748,0.002059732234809486,False,False,19.468750818641833,,
2024-01-17,9.7,9.7,9.515,9.59,9.0805,50700,0.28042613504685965,0.2724293740855484,0.0,0.0,9.89972,,,,,,18.03692903151571,22.95823100644732,19.98971822768189,1048212.825,,,0.029241515646179318,0.029241515646179318,-0.01892583120204605,-0.03423967774420944,False,False,18.625386166839338,,
2024-01-18,9.48,9.54,9.44,9.54,9.0332,21000,0.2673835215421737,0.266307905381271,0.0,0.0,9.89832,,,,,,14.749241026412903,19.83831180523424,18.66491107127924,1023612.525,,,0.028027622803162865,0.028027622803162865,-0.03274865659535642,-0.033434650455927084,False,False,18.645289857552914,,
