Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2007-05-10,0.4,0.4,0.4,0.4,0.4,4000,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2008-05-09,0.35,0.35,0.25,0.25,0.25,10000,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2011-10-07,5.0,5.0,3.0,3.0,3.0,1500,0.0,0.0,0.0,0.0,,,,,,,96.49122807017544,,0.0,,,,0.0,0.0,,,False,False,,,
2011-10-10,3.0,3.0,3.0,3.0,3.0,1250,0.0,0.0,0.0,0.0,,,,,,,96.49122807017544,96.06986899563319,0.0,,,,0.0,0.0,6.5,,False,False,,,
2011-10-11,2.5,2.5,2.5,2.5,2.5,500,0.0,0.0,0.0,0.0,,,,,,,69.18238993710692,73.306182895224,0.0,,,,0.0,0.0,9.0,,False,False,,,
2011-10-12,2.0,2.0,2.0,2.0,2.0,750,0.0,0.0,0.0,0.0,,,,,,,48.56512141280354,55.70664916064897,0.0,,,,0.0,0.0,-0.33333333333333337,,False,False,,,
2011-10-14,2.0,2.0,1.5,1.5,1.5,2500,0.0,0.0,0.0,0.0,,,,,,,33.56216628527842,42.1984891898932,0.0,,,,0.0,0.0,-0.5,2.75,False,False,,,
2011-10-20,1.5,1.5,1.5,1.5,1.5,500,0.0,0.0,0.0,0.0,,,,,,,33.56216628527842,42.1984891898932,0.0,,,,0.0,0.0,-0.4,5.0,False,False,,,
2011-10-25,2.0,2.0,2.0,2.0,2.0,500,0.0,0.0,0.0,0.0,,,,,,,60.80548993137585,59.610112869805356,0.0,,,,0.0,0.0,0.0,-0.33333333333333337,False,False,,,
2011-10-26,3.0,3.0,3.0,3.0,3.0,3000,0.79,0.0,0.0,0.0,,,,,,,82.42534301856335,77.60203070734562,0.0,,,,0.26333333333333336,0.26333333333333336,1.0,0.0,True,True,,,
2011-11-01,2.6,2.6,2.6,2.6,2.6,500,0.751,0.0,0.0,0.0,,,,,,,61.92912639757437,62.70483351016956,0.0,,,,0.28884615384615386,0.28884615384615386,0.7333333333333334,0.040000000000000036,False,False,,,
2011-11-02,2.6,2.6,2.6,2.6,2.6,500,0.6759000000000001,0.0,0.0,0.0,,,,,,,61.92912639757438,62.70483351016956,0.0,,,,0.25996153846153847,0.25996153846153847,0.30000000000000004,0.30000000000000004,False,False,,,
2011-11-03,3.0,3.0,3.0,3.0,3.0,2500,0.64831,0.0,0.0,0.0,,,,,,,75.58767596862486,72.19431612794133,0.0,,,,0.21610333333333334,0.21610333333333334,0.0,1.0,False,False,,,
2011-11-04,3.0,3.0,3.0,3.0,3.0,4600,0.5834790000000001,0.0,0.0,0.0,,,,,,,75.58767596862486,72.19431612794133,51.843218386342485,,,,0.19449300000000003,0.19449300000000003,0.15384615384615374,1.0,False,False,,,
2011-11-07,3.0,3.0,2.8,2.8,2.8,3300,0.5451311000000001,0.0,0.0,0.0,,,,,,,53.85225140992113,58.87783959722571,50.77682902179374,,,,0.1946896785714286,0.1946896785714286,0.07692307692307687,0.3999999999999999,False,False,,,
2011-11-11,3.0,3.0,3.0,3.0,3.0,900,0.5106179900000001,0.0,0.0,0.0,,,,,,,67.75880523846975,66.99501000207245,49.86278099503767,,,,0.1702059966666667,0.1702059966666667,0.0,0.0,False,False,,,
2011-11-18,3.0,3.0,3.0,3.0,3.0,900,0.45955619100000006,0.0,0.0,0.0,,,,,,,67.75880523846975,66.99501000207243,49.079311257818176,,,,0.15318539700000003,0.15318539700000003,0.0,0.15384615384615374,False,False,,,
2011-11-29,2.75,2.75,2.75,2.75,2.75,500,0.43860057190000007,0.0,0.0,0.0,,,,,,,36.67509771229377,46.568032319770225,46.31318710744882,,,,0.15949111705454547,0.15949111705454547,-0.017857142857142794,0.05769230769230771,False,False,,,
2011-12-05,2.6,2.6,2.6,2.6,2.6,500,0.40974051471,0.0,0.0,0.0,,,,,,,25.95793674817638,37.43644551126422,42.71234426415968,,,,0.1575925056576923,0.1575925056576923,-0.1333333333333333,-0.1333333333333333,False,False,,,
2012-01-05,2.6,2.6,2.6,2.6,2.6,500,0.36876646323900003,0.4750000000000001,0.0,0.0,,,,,,,25.95793674817638,37.43644551126422,39.62590754134042,3605.75,,,0.14183325509192307,0.14183325509192307,-0.1333333333333333,-0.1333333333333333,False,False,,,
2012-01-10,2.8,3.0,2.8,3.0,3.0,6000,0.37188981691510004,0.4712500000000001,0.0,0.0,,,,,,,73.10802157875415,67.57723480676972,39.16831126892624,4425.75,,,0.12396327230503335,0.12396327230503335,0.09090909090909083,0.0714285714285714,False,False,941.7788225956552,,
2012-01-26,3.0,3.0,2.995,2.995,2.995,22000,0.33520083522359,0.4479375000000001,0.0,0.0,,,,,,,72.24540957806606,67.03895364269377,38.77608589257124,7595.25,,,0.11192014531672453,0.11192014531672453,0.15192307692307683,-0.0016666666666665941,False,False,918.5197895561399,,
2012-01-27,3.0,3.0,2.99,2.99,2.99,30600,0.302680751701231,0.42604062500000006,0.0,0.0,,,,,,,70.98899561261084,66.33444455497153,38.37573439038476,11944.95,,,0.1012310206358632,0.1012310206358632,0.15000000000000013,-0.0033333333333332993,False,False,256.13287553253554,,
