Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2010-09-09,50.84,50.85,50.73,50.73,36.5789,1206,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2010-09-10,50.66,50.84,50.66,50.83,36.651,28200,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2010-09-13,51.36,51.49,51.16,51.24,36.9466,17453,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,
2010-09-14,51.34,51.51,51.03,51.33,37.0115,49100,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.011827321111768319,,True,True,,,
2010-09-15,51.15,51.36,51.15,51.3522,37.0275,2409,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.010273460554790503,,True,True,,,
2010-09-16,51.18,51.36,51.11,51.36,37.0332,13500,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0023419203747072626,,True,True,,,
2010-09-17,51.43,51.43,51.22,51.28,36.9755,11485,0.0,0.0,0.0,0.0,,,,,,,62.944042454233255,72.39125687185432,0.0,,,,0.0,0.0,-0.0009740892265730494,0.010841711019121014,False,False,,,
2010-09-20,51.87,52.05,51.86,52.05,37.5307,3753,0.0,0.0,0.0,0.0,,,,,,,94.16437374184326,93.92295806346523,0.0,,,,0.0,0.0,0.013588512274060216,0.024001573873696724,False,False,,,
2010-09-21,52.096,52.24,51.85,51.85,37.3865,7100,0.0,0.0,0.0,0.0,,,,,,,70.89334974400917,73.94980072189446,0.0,,,,0.0,0.0,0.009540498442367706,0.011904761904761862,False,False,,,
2010-09-22,51.6,51.764,51.56,51.764,37.3245,9853,0.3560000000000009,0.0,0.0,0.0,,,,,,,61.146579008335436,65.91349428069496,0.0,,,,0.00687736650954333,0.00687736650954333,0.009438377535101461,0.008455094486655046,False,False,,,
2010-09-23,51.16,51.5101,51.16,51.18,36.9034,4052,0.38080000000000147,0.0,0.0,0.0,,,,,,,25.473194333333154,33.22338044916948,0.0,,,,0.007440406408753448,0.007440406408753448,-0.016714697406340018,-0.0033533130031431213,False,False,,,
2010-09-24,51.64,52.06,51.64,52.0522,37.5323,2515,0.4307200000000016,0.0,0.0,0.0,,,,,,,67.69498270987938,66.40350609871614,0.0,,,,0.008274770326710526,0.008274770326710526,0.003899710703953563,0.013477414330218096,False,False,,,
2010-09-27,51.95,52.06,51.9,52.058,37.5364,6700,0.4036480000000019,0.0,0.0,0.0,,,,,,,67.87651336071919,66.5508693109116,0.0,,,,0.007753813054669828,0.007753813054669828,0.0056796229039486334,0.015171606864274656,True,True,,,
2010-09-28,51.63,52.1,51.44,52.1,37.5667,24513,0.42928320000000203,0.0,0.0,0.0,,,,,,,69.7244400061562,67.90989088081238,38.08046873179557,,,,0.008239600767754358,0.008239600767754358,0.017975771785853967,0.0009606147934679843,True,True,,,
2010-09-29,51.88,52.08,51.76,51.76,37.3216,10472,0.42035488000000215,0.0,0.0,0.0,,,,,,,41.0499551901175,47.20748756555079,33.06971559185285,,,,0.008121230293663103,0.008121230293663103,-0.005613595582895647,-0.0017357762777242547,False,False,,,
2010-09-30,52.18,52.38,51.62,51.78,37.336,14173,0.4543193920000025,0.0,0.0,0.0,,,,,,,43.11417979743786,48.440274836250644,31.136964883362918,,,,0.008774032290459685,0.008774032290459685,-0.00534019747205039,0.0003090951240243278,False,False,,,
2010-10-01,52.1,52.1,51.83,51.8622,37.3953,3683,0.44088745280000224,0.0,0.0,0.0,,,,,,,53.2141561947678,54.289667180831536,29.48032141894298,,,,0.008501132863627116,0.008501132863627116,-0.004564299424184237,0.013329425556858121,True,True,,,
2010-10-04,52.01,52.01,51.89,51.89,37.4153,3054,0.4115787075200017,0.0,0.0,0.0,,,,,,,57.07996719277217,56.514299995942245,28.060341306583037,,,,0.007931753854692651,0.007931753854692651,0.002511591962905735,-0.003116102681538835,True,True,,,
2010-10-05,52.5,52.896,52.5,52.85,38.1075,2589,0.4710208367680016,0.0,0.0,0.0,,,,,,,91.87120708879957,86.58192968407167,31.94996398900346,,,,0.008912409399583758,0.008912409399583758,0.0206643491695635,0.015213799992316313,True,True,,,
2010-10-06,52.84,52.84,52.66,52.66,37.9705,367,0.4429187530912019,0.4313900000000018,0.0,0.0,,,,,,,74.05094479300837,73.2217074084466,35.28392628822097,556723.06537,,,0.008410914414948763,0.008410914414948763,0.015383072835321254,0.010748560460652534,False,False,,,
2010-10-07,52.76,52.76,52.76,52.76,38.0426,1909,0.4086268777820818,0.41482050000000176,0.0,0.0,,,,,,,77.49693474795572,75.83809853351639,38.14160825897883,558699.98837,,,0.00774501284651406,0.00774501284651406,0.01676623626903062,0.019319938176197926,False,False,11.802426426038279,,
2010-10-08,52.8962,53.05,52.8962,53.05,38.2517,1310,0.39676419000387353,0.4085794750000016,0.0,0.0,,,,,,,85.73654236744348,82.4633587105352,41.78935458896323,490504.46337,,,0.007479061074531075,0.007479061074531075,0.0037842951750235443,0.024526844341444587,True,True,11.868385484152956,,
2010-10-11,53.04,53.085,52.92,52.92,38.158,2809,0.3735877710034861,0.3964005012500015,0.0,0.0,,,,,,,68.79796109896569,70.85142588409964,45.04953991482123,453222.49137000006,,,0.007059481689408278,0.007059481689408278,0.004937333839726721,0.020396358041116613,False,False,11.760674624027843,,
2010-10-12,53.01,53.34,52.74,53.31,38.4392,3450,0.39622899390313765,0.4065804761875015,0.0,0.0,,,,,,,83.48263571748,81.35389807877219,48.75140857581682,336403.31637,,,0.00743254537428508,0.00743254537428508,0.010424564063684638,0.02736558103680875,False,False,11.935566118560075,,
2010-10-13,53.36,53.63,53.36,53.56,38.6195,12800,0.3886060945128239,0.4022514523781265,0.0,0.0,51.983144,,,,,,88.62856071100751,85.74408847339961,52.722302122390666,364496.34388,,,0.00725552827693846,0.00725552827693846,0.009613572101790924,0.01343424787133407,True,True,11.961815174296948,,
2010-10-14,53.19,53.34,52.88,52.96,38.1868,13432,0.4177454850615415,0.4161388797592201,0.0,0.0,52.072344,,,,,,41.775047668146215,48.90066175591279,49.295397652229504,365396.27988,,,0.007887943449047235,0.007887943449047235,0.0007558578987150177,0.005696923661222986,False,False,12.861755855092309,,
2010-10-15,53.41,53.41,52.71,52.84,38.1003,9050,0.445970936555387,0.43033193577125883,0.0,0.0,52.152744000000006,,,,,,36.05664161105024,43.87345863873507,44.507194668769095,359858.83988,,,0.008440025294386581,0.008440025294386581,-0.008816357156255838,0.0015163002274451998,False,False,12.886828039168183,,
2010-10-18,53.12,53.3,53.12,53.3,38.432,947,0.44737384289984766,0.43181533898269564,0.0,0.0,52.235144,,,,,,64.2193387120323,63.2064399070269,40.403020682945886,352615.41238,,,0.008393505495306711,0.008393505495306711,-0.004854368932038944,0.004712535344015167,False,False,12.198140790594074,,
2010-10-19,53.0,53.06,52.39,52.39,37.7758,3294,0.4936364586098626,0.4557245720335607,0.0,0.0,52.277544000000006,,,,,,27.83752877847401,33.11737278109548,38.50292962188139,342837.29537999997,,,0.009422341259970655,0.009422341259970655,-0.010762839879154051,-0.010015117157974318,False,False,13.754400996882909,,
2010-10-20,52.73,53.28,52.73,53.28,38.4176,8650,0.5332728127488764,0.47743834343188274,0.0,0.0,52.354656000000006,,,,,,60.59085281080282,58.73418815817545,34.78223243639213,340379.36078,,,0.010008874113154587,0.010008874113154587,0.00832702498107496,-0.0005627462014631268,False,False,14.887585993060453,,
2010-10-21,53.52,53.53,53.04,53.2418,38.39,10325,0.5289455314739889,0.47806642626028867,0.0,0.0,52.429928,,,,,,58.8705430951807,57.47439764029444,30.162434069013237,357496.37203,,,0.009934779280076725,0.009934779280076725,-0.001091932457786049,-0.0059410007468260195,False,False,14.135619936432347,,
2010-10-22,53.19,53.27,53.19,53.23,38.3815,2837,0.48405097832659055,0.45816310494727447,0.0,0.0,52.507928,,,,,,58.1061242437528,56.97110636773261,26.202606896974185,358501.48338,,,0.009093574644497287,0.009093574644497287,0.01603359419736594,0.005098187311178171,False,False,12.998981408942335,,
2010-10-25,53.62,53.62,53.32,53.32,38.4464,5178,0.4746458804939316,0.45475494969991076,0.0,0.0,52.558728,,,,,,63.524687296652516,60.48959157111377,25.618075264645707,354866.60138,,,0.008901835718190764,0.008901835718190764,0.0007507507507507061,0.009084027252081794,False,False,12.99482988351442,,
2010-10-26,53.25,53.25,53.25,53.25,38.3959,1500,0.4341812924445384,0.43551720221491524,0.0,0.0,52.61472799999999,,,,,,55.19580953937351,55.76111475476232,24.333333702062422,295003.98638,,,0.008153639294733115,0.008153639294733115,0.0001540143270888361,-0.0009380863039398779,False,False,13.025052167869328,,
2010-10-28,53.17,53.17,53.16,53.16,38.331,3000,0.3997631632000849,0.41824134210416963,0.0,0.0,52.670568,,,,,,44.05585712642486,49.17180439829491,22.180254397902896,275876.45038,,,0.007519999307751786,0.007519999307751786,-0.0013150479053165576,0.014697461347585428,False,False,12.758664433061117,,
2010-10-29,53.16,53.16,53.16,53.16,38.331,1200,0.35978684688007645,0.39732927499896115,0.0,0.0,52.749767999999996,,,,,,44.05585712642486,49.17180439829491,20.334757851480447,242372.15338000003,,,0.006767999376976608,0.006767999376976608,-0.0030007501875469744,-0.0022522522522523403,False,False,12.763208164283471,,
