Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2018-09-20,51.11,51.29,51.0715,51.27,43.1402,7945,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2018-09-21,52.3,52.3,51.09,51.22,43.0981,11808,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2018-09-24,51.21,51.21,50.8,50.95,42.8709,10455,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,0.0,,,False,False,,,
2018-09-25,51.17,51.26,51.034,51.0699,42.9718,11347,0.0,0.0,0.0,0.0,,,,,,,37.22189645062154,34.205834105982845,0.0,,,,0.0,0.0,-0.003902867173785962,,False,False,,,
2018-09-26,51.09,51.35,51.085,51.19,43.0729,14602,0.0,0.0,0.0,0.0,,,,,,,59.738521607361804,54.83770949264802,0.0,,,,0.0,0.0,-0.0005857087075361589,,True,True,,,
2018-09-27,51.01,51.29,51.0,51.0,42.913,10971,0.0,0.0,0.0,0.0,,,,,,,32.27134483356126,33.00582444170135,0.0,,,,0.0,0.0,0.0009813542688910104,,False,False,,,
2018-09-28,50.65,50.75,50.59,50.59,42.568,7750,0.0,0.0,0.0,0.0,,,,,,,12.96940211414045,15.384012806276473,0.0,,,,0.0,0.0,-0.009396924607253831,-0.013263116832455624,False,False,,,
2018-10-01,50.97,50.98,50.66,50.77,42.7195,18101,0.0,0.0,0.0,0.0,,,,,,,37.56234290449462,35.53199594932552,0.0,,,,0.0,0.0,-0.008204727485837005,-0.008785630613041717,False,False,,,
2018-10-02,50.4,50.45,50.245,50.345,42.3619,18630,0.0,0.0,0.0,0.0,,,,,,,18.77368610878827,20.30854475689722,0.0,,,,0.0,0.0,-0.012843137254901937,-0.01187438665358198,False,False,,,
2018-10-03,50.5,50.5,50.1755,50.1755,42.2193,5061,0.4378099999999989,0.0,0.0,0.0,,,,,,,14.4497794484478,16.540177721753253,0.0,,,,0.008725573237934827,0.008725573237934827,-0.008193318837715013,-0.0175132514455677,False,False,,,
2018-10-04,49.85,49.85,49.275,49.405,41.5709,3067,0.48407899999999915,0.0,0.0,0.0,,,,,,,5.621522927573892,7.784907777532567,0.0,,,,0.009798178322032166,0.009798178322032166,-0.026885956273389855,-0.03487009181480749,False,False,,,
2018-10-05,49.42,49.42,48.955,49.179,41.3808,7337,0.48217109999999963,0.0,0.0,0.0,,,,,,,4.430557492837238,6.449713848914314,0.0,,,,0.009804410419081307,0.009804410419081307,-0.023160194656867583,-0.03570588235294114,False,False,,,
2018-10-08,48.8,48.98,48.6411,48.98,41.2133,22602,0.4877439899999997,0.0,0.0,0.0,,,,,,,3.4618558307384006,5.368674868608437,0.0,,,,0.009958023478971003,0.009958023478971003,-0.023826369443254225,-0.031824471239375485,False,False,,,
2018-10-09,48.55,48.85,48.54,48.81,41.0703,18216,0.4829695909999995,0.0,0.0,0.0,,,,,,,2.704219608419976,4.508032824605053,29.873851116447277,,,,0.0098948902069248,0.0098948902069248,-0.01204331545390136,-0.038605475674611034,False,False,,,
2018-10-10,48.64,48.64,47.88,47.88,40.2877,20913,0.5276726318999996,0.0,0.0,0.0,,,,,,,0.9672163003999401,2.0780989856403806,34.73215487587188,,,,0.011020731660400993,0.011020731660400993,-0.026413713170255537,-0.048962161088489387,False,False,,,
2018-10-11,47.61,47.61,47.14,47.15,39.6735,14707,0.5489053687099998,0.0,0.0,0.0,,,,,,,0.5507147801784527,1.3285898201778537,40.18354467898156,,,,0.01164168332364793,0.01164168332364793,-0.037362188648427885,-0.06029835278173612,False,False,,,
2018-10-12,47.73,47.73,47.18,47.605,40.0564,41573,0.5520148318389997,0.0,0.0,0.0,,,,,,,29.09642780345827,24.08346141055081,43.743045059081105,,,,0.011595732209620832,0.011595732209620832,-0.024687564023765707,-0.03643355935634052,False,False,,,
2018-10-15,47.4,47.499,47.26,47.38,39.867,24412,0.5313133486550996,0.0,0.0,0.0,,,,,,,23.988888321061083,20.904833928940022,46.794045384880704,,,,0.011213873969081882,0.011213873969081882,-0.010442773600668365,-0.036580654344333996,False,False,,,
2018-10-16,48.03,48.3,47.925,48.29,40.6327,19175,0.5701820137895891,0.0,0.0,0.0,,,,,,,63.189546557477996,53.792400745175286,42.557353893116286,,,,0.01180745524517683,0.01180745524517683,0.02417815482502661,-0.01408738260514486,False,False,,,
2018-10-17,48.08,48.08,47.8,47.94,40.3382,33881,0.5621638124106304,0.5363249999999994,0.0,0.0,,,,,,,48.6997852195661,44.33819231578472,39.52055225200507,791172.52519,,,0.011726404097009396,0.011726404097009396,0.00703707593740166,-0.017824216349108912,False,False,,,
2018-10-18,47.76,47.76,47.06,47.16,39.6819,40831,0.5939474311695669,0.5535087499999991,0.0,0.0,,,,,,,27.56792059332031,29.12695308474771,39.813546796242534,867085.01569,,,0.012594305156267324,0.012594305156267324,-0.004643309413254637,-0.015037593984962516,False,False,14.375998771193158,,
2018-10-19,47.42,47.59,47.33,47.39,39.8754,7127,0.577552688052611,0.5473333124999995,0.0,0.0,,,,,,,39.23109291095808,37.55037268099851,40.064684977017514,853732.1541899999,,,0.012187227011027873,0.012187227011027873,-0.018637399047421788,0.0050901378579004675,False,False,14.694537270315527,,
2018-10-22,47.56,47.56,47.15,47.34,39.8334,10412,0.5607974192473503,0.5404666468749997,0.0,0.0,,,,,,,37.273941241861145,36.29984584389421,40.93584153896332,851743.24569,,,0.011846164327151463,0.011846164327151463,-0.012515644555694538,-0.005566642159436919,False,False,14.71779615331956,,
2018-10-23,46.5,47.04,46.3,46.92,39.48,39456,0.608717677322616,0.56544331453125,0.0,0.0,,,,,,,22.887304696184756,26.43854285040642,44.00617046033292,915332.5139249999,,,0.012973522534582607,0.012973522534582607,-0.0050890585241729624,-0.009708737864077666,False,False,14.649081045966698,,
2018-10-24,46.465,46.55,45.78,45.78,38.5207,12555,0.6618459095903544,0.5941711488046875,0.0,0.0,49.031576,,,,,,8.900541711037746,13.331528647839079,47.589964355296395,906697.0899250001,,,0.014457097195071086,0.014457097195071086,-0.033973412112259904,-0.05197763512114306,False,False,16.09353670409353,,
2018-10-25,45.87,46.48,45.87,46.1,38.79,11451,0.6656613186313185,0.5994625913644529,0.0,0.0,48.824776,,,,,,27.544233180773958,26.89569403544364,50.66178769383652,905115.594925,,,0.014439507996340965,0.014439507996340965,-0.026193493874102303,-0.038381309970796806,False,False,16.693542541970867,,
2018-10-26,45.6,46.05,45.35,45.84,38.5712,27072,0.6740951867681867,0.6069894617962303,0.0,0.0,48.609576,,,,,,22.04562111563628,22.996646303671056,54.15347996365109,947560.993925,,,0.014705392381504943,0.014705392381504943,-0.023017902813299185,-0.027989821882951516,False,False,16.65754286205474,,
2018-10-29,46.37,46.37,45.44,45.579,38.3516,10714,0.699685668091368,0.6231399887064187,0.0,0.0,48.394736,,,,,,16.95042049163554,19.25959656767489,54.08152714325234,926028.275725,,,0.01535105351349016,0.01535105351349016,-0.004390563564875549,-0.03821481325174092,False,False,16.353731862599762,,
