Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2021-01-15,1.26,1.76,1.25,1.75,1.75,118569,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2021-01-19,3.0,5.5,2.6,3.5,3.5,226600,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2021-01-20,3.78,3.8,3.03,3.39,3.39,45900,0.0,0.0,0.0,0.0,,,,,,,91.38381201044388,,0.0,,,,0.0,0.0,,,False,False,,,
2021-01-21,3.21,3.55,2.76,3.11,3.11,65200,0.0,0.0,0.0,0.0,,,,,,,68.76227897838899,73.08584686774941,0.0,,,,0.0,0.0,0.7771428571428571,,False,False,,,
2021-01-22,3.13,3.75,3.11,3.75,3.75,21900,0.0,0.0,0.0,0.0,,,,,,,83.10308182784271,83.52428747277719,0.0,,,,0.0,0.0,0.0714285714285714,,False,False,,,
2021-01-25,3.6,3.61,3.215,3.3,3.3,19800,0.0,0.0,0.0,0.0,,,,,,,55.992123870043855,61.25269078536212,0.0,,,,0.0,0.0,-0.026548672566371723,,False,False,,,
2021-01-26,3.32,3.5,2.945,3.2,3.2,26200,0.0,0.0,0.0,0.0,,,,,,,50.50048433968358,56.76765654384373,0.0,,,,0.0,0.0,0.02893890675241173,0.8285714285714287,False,False,,,
2021-01-27,3.0,3.0,2.25,2.8,2.8,13500,0.0,0.0,0.0,0.0,,,,,,,31.791848765118402,40.82487268314172,0.0,,,,0.0,0.0,-0.2533333333333334,-0.20000000000000007,False,False,,,
2021-01-28,2.95,2.95,2.75,2.84,2.84,3600,0.0,0.0,0.0,0.0,,,,,,,35.38261560311004,42.96074730530479,0.0,,,,0.0,0.0,-0.1393939393939394,-0.1622418879056048,False,False,,,
2021-01-29,2.838,2.86,2.5,2.72,2.72,24800,0.9059999999999999,0.0,0.0,0.0,,,,,,,28.60590255816446,37.54074541796029,0.0,,,,0.3330882352941176,0.3330882352941176,-0.15000000000000002,-0.12540192926045002,False,False,,,
2021-02-01,2.55,3.12,2.53,3.12,3.12,19600,0.8744,0.0,0.0,0.0,,,,,,,63.53040003181168,59.980455232996256,0.0,,,,0.28025641025641024,0.28025641025641024,0.11428571428571432,-0.16799999999999993,False,False,,,
2021-02-02,3.3,3.5,2.99,3.36,3.36,13100,0.83796,0.0,0.0,0.0,,,,,,,74.678481143715,68.91482213263592,0.0,,,,0.24939285714285717,0.24939285714285717,0.18309859154929575,0.0181818181818183,True,True,,,
