Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
1995-11-17,15.125,15.25,15.0,15.125,3.7596,12706000,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1995-11-20,15.0,15.125,15.0,15.0,3.7286,1213200,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1995-11-21,15.0,15.125,15.0,15.0,3.7286,909600,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,0.0,,,False,False,,,
1995-11-22,15.0,15.125,15.0,15.0,3.7286,1314800,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.008264462809917328,,False,False,,,
1995-11-24,15.0,15.125,15.0,15.0,3.7286,275200,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,False,False,,,
1995-11-27,15.0,15.125,15.0,15.0,3.7286,1011600,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,False,False,,,
1995-11-28,14.5,14.5,13.25,14.125,3.5111,3952000,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.05833333333333335,-0.06611570247933884,False,False,,,
1995-11-29,14.0,14.25,13.375,13.75,3.4179,708400,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.08333333333333337,-0.08333333333333337,False,False,,,
1995-11-30,13.75,15.0,13.625,14.75,3.6664,1346000,0.0,0.0,0.0,0.0,,,,,,,60.7457815429484,55.862083661857774,0.0,,,,0.0,0.0,-0.01666666666666672,-0.01666666666666672,False,False,,,
1995-12-01,14.75,14.75,14.125,14.25,3.5421,790800,0.55,0.0,0.0,0.0,,,,,,,41.73265909741436,40.70352539053402,0.0,,,,0.03859649122807018,0.03859649122807018,0.008849557522123908,-0.050000000000000044,False,False,,,
