Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
1999-05-12,0.346,0.3601,0.3395,0.346,19.5156,4504800,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1999-05-13,20.0,21.25,19.75,21.0625,20.5524,417900,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1999-05-14,21.1875,21.1875,19.25,20.125,19.6376,308800,0.0,0.0,0.0,0.0,,,,,,,93.64342136488456,,0.0,,,,0.0,0.0,,,False,False,,,
1999-05-17,20.25,20.375,19.75,20.0,19.5156,147400,0.0,0.0,0.0,0.0,,,,,,,92.46786288162828,93.36499773408413,0.0,,,,0.0,0.0,56.80346820809249,,False,False,,,
1999-05-18,20.375,20.5,19.0,19.625,19.1497,236900,0.0,0.0,0.0,0.0,,,,,,,87.52356659642898,89.76882355914944,0.0,,,,0.0,0.0,-0.06824925816023741,,False,False,,,
1999-05-19,19.875,20.25,19.5,19.5625,19.0887,140100,0.0,0.0,0.0,0.0,,,,,,,86.36901946836245,89.00697586281979,0.0,,,,0.0,0.0,-0.02795031055900621,,False,False,,,
1999-05-20,19.8125,19.9375,19.6875,19.875,19.3937,75200,0.0,0.0,0.0,0.0,,,,,,,87.59618513782905,89.59563892022562,0.0,,,,0.0,0.0,-0.006249999999999978,56.442196531791915,False,False,,,
1999-05-21,19.8125,20.125,19.8125,20.0,19.5156,57800,0.0,0.0,0.0,0.0,,,,,,,88.23186019281191,89.88453016971077,0.0,,,,0.0,0.0,0.019108280254777066,-0.05044510385756673,True,True,,,
1999-05-24,20.125,20.5,20.0,20.25,19.7596,60300,0.0,0.0,0.0,0.0,,,,,,,89.8000517674792,90.58188182963467,0.0,,,,0.0,0.0,0.03514376996805102,0.006211180124223503,True,True,,,
1999-05-25,20.25,20.375,20.0,20.0,19.5156,120900,2.7299599999999997,0.0,0.0,0.0,,,,,,,74.84048118589008,82.95660706301581,0.0,,,,0.13649799999999998,0.13649799999999998,0.0062893081761006275,0.0,False,False,,,
1999-05-26,19.875,19.875,19.1875,19.375,18.9058,91700,2.5382139999999995,0.0,0.0,0.0,,,,,,,46.0640910079298,64.77931271326824,0.0,,,,0.13100459354838706,0.13100459354838706,-0.03125,-0.01273885350318471,False,False,,,
1999-05-27,19.4375,19.4375,18.875,18.9375,18.4789,224600,2.3406426,0.0,0.0,0.0,,,,,,,32.81553533925094,53.780624806141404,0.0,,,,0.12359828910891088,0.12359828910891088,-0.06481481481481477,-0.03194888178913735,False,False,,,
1999-05-28,18.9375,19.8125,18.9375,19.8125,19.3327,155900,2.19407834,0.0,0.0,0.0,,,,,,,63.93427314003051,68.18524606448082,0.0,,,,0.11074212441640378,0.11074212441640378,-0.009375000000000022,-0.0031446540880503138,False,False,,,
1999-06-01,19.5625,19.5625,19.3125,19.5,19.0277,13300,2.024670506,0.0,0.0,0.0,,,,,,,51.22388403836278,59.37369157888102,81.6229629412209,,,,0.10382925671794872,0.10382925671794872,0.006451612903225712,-0.025000000000000022,False,False,,,
1999-06-02,19.3125,19.4375,19.25,19.3125,18.8448,27200,1.8472034554,0.0,0.0,0.0,,,,,,,43.44970625860708,53.8105566840019,80.56592597602041,,,,0.09564807536051781,0.09564807536051781,0.01980198019801982,-0.04629629629629628,False,False,,,
1999-06-03,19.3125,19.625,19.3125,19.375,18.9058,81500,1.6937331098600001,0.0,0.0,0.0,,,,,,,47.43831336971211,55.65713107590842,79.75009396899063,,,,0.08741848308954839,0.08741848308954839,-0.02208201892744477,-0.03125,False,False,,,
1999-06-04,19.25,19.4375,19.25,19.3125,18.8448,84300,1.5431097988740001,0.0,0.0,0.0,,,,,,,42.89961758793389,52.84050142267573,78.81510328390445,,,,0.07990212550803884,0.07990212550803884,-0.009615384615384581,-0.003225806451612856,False,False,,,
1999-06-07,19.375,19.5,19.3125,19.5,19.0277,28100,1.4075488189866001,0.0,0.0,0.0,,,,,,,60.084758825982036,60.779748175778536,78.05536345305465,,,,0.07218199071726154,0.07218199071726154,0.009708737864077666,0.02970297029702973,False,False,,,
1999-06-08,19.375,20.0,19.375,19.9531,19.4699,59500,1.32929393708794,0.0,0.0,0.0,,,,,,,80.91032168840553,74.57238446999818,77.75344450850866,,,,0.06662092291864122,0.06662092291864122,0.029837419354838746,0.007096529968454224,True,True,,,
1999-06-09,19.5,19.9375,19.375,19.9375,19.4546,65900,1.2541745433791458,1.6095099999999998,0.0,0.0,,,,,,,78.78738771631475,73.38762815857604,77.49465684175496,2468121.95,,,0.06290530625099164,0.06290530625099164,0.032362459546925626,0.022435897435897356,False,False,,,
1999-06-10,19.9375,20.0,19.625,19.625,19.1497,67400,1.1662570890412312,1.5477845,0.0,0.0,,,,,,,44.054561463066705,51.523911642046095,77.3259500676371,2456325.16,,,0.05942711281738757,0.05942711281738757,0.0064102564102563875,0.016181229773462702,False,False,1460.1500978048655,,
1999-06-11,19.625,19.625,19.1875,19.625,19.1497,104900,1.093381380137108,1.4922702749999999,0.0,0.0,,,,,,,44.05456146306671,51.523911642046095,74.35880540147011,2119157.3475,,,0.055713700898706135,0.055713700898706135,-0.01644356014854831,0.012903225806451646,False,False,31.827563354496146,,
1999-06-14,19.5,19.5,18.375,18.375,17.93,88900,1.109043242123397,1.48015676125,0.0,0.0,,,,,,,8.868411186849485,16.521755668190536,67.44620534748141,1890104.2225000001,,,0.06035609480943658,0.06035609480943658,-0.07836990595611282,-0.04854368932038833,False,False,35.9272664142286,,
1999-06-15,18.25,18.375,17.875,17.875,17.4421,241700,1.0481389179110574,1.4311489231874999,0.0,0.0,,,,,,,5.995342005188476,12.12771791658237,59.307494991975396,1958723.5975000001,,,0.05863714226075845,0.05863714226075845,-0.08917197452229297,-0.08333333333333337,False,False,36.84794203662639,,
1999-06-16,18.0,18.0,17.75,17.75,17.3201,12000,0.9683250261199516,1.372091477028125,0.0,0.0,18.764464,,,,,,5.34588401761313,11.140128276443164,51.78484679319782,1736915.4725000001,,,0.05455352259830713,0.05455352259830713,-0.09554140127388533,-0.11041392064390998,False,False,36.518330870890516,,
1999-06-17,18.0,18.0,17.875,18.0,17.5641,49700,0.8964925235079566,1.3159869031767186,0.0,0.0,19.470624,,,,,,28.56192242958933,26.993681637972628,45.336862622817044,1644610.16,,,0.04980514019488648,0.04980514019488648,-0.020408163265306145,-0.09717868338557989,False,False,37.13628323306076,,
1999-06-18,17.875,17.9375,17.625,17.625,17.1981,10500,0.844343271157161,1.2689375580178828,0.0,0.0,19.333124,,,,,,18.404927449119683,19.894793073535027,39.223011344757815,1579133.285,,,0.0479060012004063,0.0479060012004063,-0.013986013986013957,-0.10191082802547768,False,False,36.8077095577179,,
1999-06-21,17.625,17.6875,17.5,17.6875,17.2591,19000,0.7786589440414449,1.2148656801169886,0.0,0.0,19.235624,,,,,,25.066740421329754,24.317721601441065,34.6488429386831,1538136.41,,,0.04402312051117709,0.04402312051117709,-0.0035211267605633756,-0.0987261146496815,False,False,36.69954503258438,,
1999-06-22,17.625,18.125,17.625,18.125,17.686,32600,0.7507930496373004,1.1791223961111392,0.0,0.0,19.160624,,,,,,59.654091459830724,50.0556002719755,31.173324896021082,1506626.41,,,0.0414230648075752,0.0414230648075752,0.00694444444444442,-0.013605442176870763,True,True,37.738459200896976,,
1999-06-23,18.0,18.125,17.875,18.0625,17.6251,52000,0.7007137446735704,1.1326662763055821,0.0,0.0,19.098124,,,,,,54.28483196402934,47.0104175527817,28.194309430882207,1432688.91,,,0.03879384053556099,0.03879384053556099,0.024822695035461084,0.010489510489510412,False,False,37.655806136821255,,
1999-06-24,18.0,18.0,17.625,17.625,17.1981,92000,0.6743923702062133,1.0979079624903032,0.0,0.0,19.020624,,,,,,27.90895111659313,29.984906465850216,24.469937133344768,1424929.535,,,0.03826339689113267,0.03826339689113267,-0.0035335689045936647,-0.007042253521126751,False,False,37.059850681314224,,
1999-06-25,17.5625,18.0,17.5625,17.75,17.3201,114000,0.650703133185592,1.064887564365788,0.0,0.0,18.935624,,,,,,40.333538432527504,38.473555194817884,21.72297712693211,1313436.41,,,0.03665933144707561,0.03665933144707561,-0.020689655172413834,-0.01388888888888884,False,False,36.63998914174963,,
1999-06-28,17.6875,18.0625,17.6875,18.0,17.5641,44900,0.6231328198670328,1.0303931861474986,0.0,0.0,18.855624,,,,,,60.66908757151109,53.50555310951418,18.82977389574189,1199407.9725,,,0.03461848999261294,0.03461848999261294,-0.0034602076124568004,0.02127659574468077,True,True,32.62824856597752,,
1999-06-29,18.0,18.25,17.9375,18.125,17.686,104400,0.5920695378803296,0.9944985268401236,0.0,0.0,18.770624,,,,,,68.67598562742417,60.01779299980278,17.54495811836754,1281052.9725,,,0.03266590553822508,0.03266590553822508,0.028368794326241176,0.02473498233215543,True,True,32.60389216805854,,
1999-06-30,18.0,20.5,18.0,20.5,20.0035,210600,0.7828625840922966,1.0697736004981173,0.0,0.0,18.790624,,,,,,95.39485834593023,91.209438065309,24.29275276263974,1470652.9725,,,0.03818841873620959,0.03818841873620959,0.15492957746478875,0.13103448275862073,True,True,55.438177106587325,,
1999-07-01,20.25,20.25,19.0,19.5625,19.0887,158200,0.854576325683067,1.0912849204732116,0.0,0.0,18.798124,,,,,,63.38292444872297,64.66007441499454,30.076576743444484,1546439.2225,,,0.04368441281446988,0.04368441281446988,0.08680555555555558,0.08304498269896188,False,False,58.18616453698468,,
1999-07-02,19.4375,20.0,19.375,20.0,19.5156,44700,0.8316186931147602,1.067970674449551,0.0,0.0,18.840624000000002,,,,,,70.34817070129807,70.07924055933366,35.03414015556283,1509737.035,,,0.04158093465573801,0.04158093465573801,0.10344827586206895,0.13475177304964547,False,False,58.66539851055147,,
1999-07-06,20.25,22.1875,20.1875,22.1875,21.6501,112000,0.9672068238032843,1.1239471407270734,0.0,0.0,18.935624,,,,,,87.78070010269673,85.2045411585012,41.72246720640023,1606589.535,,,0.043592420227753656,0.043592420227753656,0.08231707317073167,0.25,True,True,68.96196197514767,,
1999-07-07,22.25,22.375,21.1875,21.6875,21.1623,88300,0.9892361414229558,1.1271247836907197,0.0,0.0,19.023124,,,,,,73.05510976399816,73.8302028139375,47.57517913423214,1642979.375,,,0.04561319384082793,0.04561319384082793,0.10862619808306717,0.20486111111111116,False,False,69.42014923324942,,
