Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2022-04-20,15.42,15.42,15.01,15.044,75.22,5680,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2022-04-21,15.5,15.5,14.609,14.657,73.285,8620,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2022-04-22,14.67,14.83,14.56,14.61,73.05,3540,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,0.0,,,False,False,,,
2022-04-25,14.99,14.99,14.317,14.448,72.24,2760,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.039617123105556984,,False,False,,,
2022-04-26,14.4,14.405,14.151,14.176,70.88,740,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.03281708398717331,,False,False,,,
2022-04-27,14.16,14.23,13.62,13.62,68.1,1780,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.06776180698151957,,False,False,,,
2022-04-28,13.7,13.752,13.22,13.752,68.76,2500,0.0,0.0,0.0,0.0,,,,,,,18.037654362642698,15.050423059321957,0.0,,,,0.0,0.0,-0.04817275747508298,-0.0858814145174156,False,False,,,
2022-04-29,14.53,14.53,13.324,13.324,66.62,1360,0.0,0.0,0.0,0.0,,,,,,,9.608368230917236,9.117795129773924,0.0,,,,0.0,0.0,-0.0601015801354402,-0.09094630551954697,False,False,,,
2022-05-02,13.53,13.53,13.13,13.393,66.965,7480,0.0,0.0,0.0,0.0,,,,,,,18.786144085843688,16.216829114242998,0.0,,,,0.0,0.0,-0.016666666666666607,-0.08329911019849412,False,False,,,
2022-05-03,13.48,13.48,13.051,13.051,65.255,1460,0.5718,0.0,0.0,0.0,,,,,,,10.705092076053418,10.695553585976398,0.0,,,,0.04381273465634817,0.04381273465634817,-0.05097440372309481,-0.09669158361018826,False,False,,,
2022-05-04,13.22,13.26,12.78,13.19,65.95,1680,0.56262,0.0,0.0,0.0,,,,,,,29.25717256413482,24.605908829743413,0.0,,,,0.042655041698256256,0.042655041698256256,-0.010057039927949596,-0.0695541760722348,False,False,,,
2022-05-05,13.13,13.13,12.45,12.45,62.25,960,0.580358,0.0,0.0,0.0,,,,,,,11.002635396143447,11.685615311730444,0.0,,,,0.04661510040160643,0.04661510040160643,-0.07040991562756671,-0.08590308370044053,False,False,,,
2022-05-06,12.61,12.777,11.93,12.777,63.885,1380,0.6070222000000001,0.0,0.0,0.0,,,,,,,37.04057086925592,32.55235247178361,0.0,,,,0.047508977068169374,0.047508977068169374,-0.02099455980384657,-0.07089877835951142,False,False,,,
2022-05-09,13.52,13.52,11.975,12.045,60.225,3120,0.7008199800000001,0.0,0.0,0.0,,,,,,,18.6848039850491,19.08981576788527,48.120382289343304,,,,0.05818347696139478,0.05818347696139478,-0.08680818802122814,-0.09599219453617536,False,False,,,
2022-05-10,12.12,12.16,11.67,11.908,59.54,480,0.6797379820000001,0.0,0.0,0.0,,,,,,,16.40281292314269,17.303990320505932,45.866555748976616,,,,0.0570824640577763,0.0570824640577763,-0.043534136546184765,-0.11087881729261562,False,False,,,
2022-05-11,12.12,12.12,11.59,11.594,57.97,640,0.6647641838,0.0,0.0,0.0,,,,,,,11.552248671776098,13.456915636880197,44.26181780509022,,,,0.05733691424874936,0.05733691424874936,-0.09258824450183922,-0.11163895486935871,False,False,,,
2022-05-12,11.69,11.97,11.51,11.747,58.735,940,0.6442877654200001,0.0,0.0,0.0,,,,,,,27.271492396248277,24.379478244938767,43.24103847303756,,,,0.054847004802928416,0.054847004802928416,-0.024740556247405565,-0.10940106141015915,False,False,,,
2022-05-13,12.53,12.53,12.15,12.342,61.71,540,0.658158988878,0.0,0.0,0.0,,,,,,,64.29136394954728,54.29181833227594,37.72830725401101,,,,0.05332676947642197,0.05332676947642197,0.03644608666442739,-0.008674698795180569,True,True,,,
2022-05-16,12.56,12.79,12.466,12.466,62.33,620,0.6371430899901999,0.0,0.0,0.0,,,,,,,69.19333649969523,58.81827822464806,33.373388030899164,,,,0.05111046767128188,0.05111046767128188,0.07521131619803345,-0.02434061203725446,True,True,,,
2022-05-17,12.52,12.77,12.444,12.511,62.555,520,0.6060287809911797,0.6183499999999998,0.0,0.0,,,,,,,71.33536900115615,60.701370914498995,29.470591656399428,32212.953999999998,,,0.04843967556479736,0.04843967556479736,0.06503788201242866,0.03868825238688256,True,True,,,
2022-05-18,12.39,12.39,11.957,11.957,59.785,800,0.6008259028920616,0.6151324999999999,0.0,0.0,,,,,,,31.23245122664983,34.67479324011673,27.77041336025567,28418.738,,,0.050248883741077326,0.050248883741077326,-0.031194295900178193,0.004114880752435379,False,False,44.82357247498056,,
2022-05-19,12.36,12.36,12.288,12.288,61.44,140,0.5810433126028554,0.6045258749999998,0.0,0.0,,,,,,,54.271604397783875,51.30677700648986,26.31311767784673,22187.587,,,0.04728542583031049,0.04728542583031049,-0.014278838440558217,0.05985854752458186,False,False,46.493422289224235,,
