Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
1997-05-21,4.125,4.5,4.0,4.125,1.4652,26000,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1997-05-22,4.5,4.5,4.5,4.5,1.5984,600,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1997-05-23,5.0,5.0,5.0,5.0,1.776,3800,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,
1997-05-27,5.0,5.0,5.0,5.0,1.776,2000,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.21212121212121215,,False,False,,,
1997-05-28,4.25,4.25,4.25,4.25,1.5096,46000,0.0,0.0,0.0,0.0,,,,,,,30.769230769230774,36.94581280788177,0.0,,,,0.0,0.0,-0.05555555555555558,,False,False,,,
1997-05-29,4.25,4.25,4.125,4.125,1.4652,66400,0.0,0.0,0.0,0.0,,,,,,,26.229508196721312,32.40518482957273,0.0,,,,0.0,0.0,-0.17500000000000004,,False,False,,,
1997-05-30,4.125,5.0,4.125,5.0,1.776,21600,0.0,0.0,0.0,0.0,,,,,,,71.06109324758842,68.5175523589476,0.0,,,,0.0,0.0,0.0,0.21212121212121215,False,False,,,
1997-06-02,5.0,5.0,4.625,4.75,1.6872,15800,0.0,0.0,0.0,0.0,,,,,,,56.37755102040816,56.93082591912144,0.0,,,,0.0,0.0,0.11764705882352944,0.05555555555555558,False,False,,,
1997-06-03,4.25,5.0,4.25,4.875,1.7316,78600,0.0,0.0,0.0,0.0,,,,,,,62.23081170623964,61.2943919165435,0.0,,,,0.0,0.0,0.18181818181818188,-0.025000000000000022,False,False,,,
1997-06-04,4.875,4.875,4.5,4.875,1.7316,50400,0.4625,0.0,0.0,0.0,,,,,,,62.23081170623964,61.2943919165435,0.0,,,,0.09487179487179488,0.09487179487179488,-0.025000000000000022,-0.025000000000000022,False,False,,,
1997-06-05,5.0,5.0,4.875,4.875,1.7316,12800,0.4287500000000001,0.0,0.0,0.0,,,,,,,62.23081170623964,61.2943919165435,0.0,,,,0.08794871794871796,0.08794871794871796,0.026315789473684292,0.1470588235294117,False,False,,,
1997-06-06,4.5,5.5,4.5,4.875,1.7316,66600,0.48587500000000006,0.0,0.0,0.0,,,,,,,62.23081170623965,61.2943919165435,0.0,,,,0.09966666666666668,0.09966666666666668,0.0,0.18181818181818188,False,False,,,
1997-06-09,4.875,5.0,4.875,5.0,1.776,56600,0.44978750000000006,0.0,0.0,0.0,,,,,,,77.50878563061303,70.68215295884355,0.0,,,,0.08995750000000001,0.08995750000000001,0.02564102564102555,0.0,False,False,,,
1997-06-10,5.0,5.0,4.5,5.0,1.776,38200,0.45480875000000004,0.0,0.0,0.0,,,,,,,77.50878563061303,70.68215295884355,12.512748755394075,,,,0.09096175000000001,0.09096175000000001,0.02564102564102555,0.05263157894736836,False,False,,,
1997-06-12,4.25,4.25,4.25,4.25,1.5096,1000,0.4843278750000001,0.0,0.0,0.0,,,,,,,11.996647364093405,19.70442022249925,12.371828189266564,,,,0.11395950000000002,0.11395950000000002,-0.1282051282051282,-0.1282051282051282,False,False,,,
1997-06-13,4.25,4.25,4.25,4.25,1.5096,30000,0.43589508750000006,0.0,0.0,0.0,,,,,,,11.996647364093405,19.70442022249925,12.25103913258584,,,,0.10256355000000002,0.10256355000000002,-0.15000000000000002,-0.1282051282051282,False,False,,,
1997-06-16,4.25,4.375,4.25,4.375,1.554,10000,0.4048055787500001,0.0,0.0,0.0,,,,,,,33.17681086348263,33.84211448677084,10.788716670953738,,,,0.09252698942857146,0.09252698942857146,-0.125,-0.10256410256410253,False,False,,,
1997-06-17,5.0,5.0,5.0,5.0,1.776,400,0.42682502087500007,0.0,0.0,0.0,,,,,,,76.17761556424713,69.56584998720716,13.801245945102655,,,,0.08536500417500001,0.08536500417500001,0.17647058823529416,0.02564102564102555,True,True,,,
1997-06-24,5.0,5.0,4.375,5.0,1.776,25400,0.4466425187875,0.0,0.0,0.0,,,,,,,76.17761556424713,69.56584998720716,12.538207912241205,,,,0.0893285037575,0.0893285037575,0.17647058823529416,0.0,False,False,,,
1997-06-25,5.0,5.0,4.375,4.375,1.554,47800,0.46447826690875005,0.45625,0.0,0.0,,,,,,,31.1198607473184,35.49352156881854,11.455603884074248,139748.75,,,0.10616646100771429,0.10616646100771429,0.0,-0.125,False,False,,,
1997-06-26,5.0,5.0,5.0,5.0,1.776,36400,0.48053044021787505,0.4646875,0.0,0.0,,,,,,,63.50187999675466,60.97722718081174,10.527657574216857,143486.25,,,0.09610608804357501,0.09610608804357501,0.0,0.17647058823529416,False,False,148.30174685750296,,
1997-06-27,5.0,5.0,5.0,5.0,1.776,13200,0.4324773961960876,0.44145312499999995,0.0,0.0,,,,,,,63.50187999675466,60.97722718081174,9.732275022910523,146651.25,,,0.08649547923921752,0.08649547923921752,0.0,0.17647058823529416,False,False,145.46840041191368,,
1997-06-30,4.375,5.125,4.375,5.0,1.776,18400,0.4642296565764788,0.45688046874999994,0.0,0.0,,,,,,,63.50187999675466,60.97722718081174,13.680523617477665,150301.25,,,0.09284593131529575,0.09284593131529575,0.1428571428571428,0.1428571428571428,False,False,140.5786253229159,,
1997-07-01,4.375,5.0,4.375,5.0,1.776,14400,0.4803066909188309,0.4652864453124999,0.0,0.0,,,,,,,63.50187999675466,60.97722718081174,17.064736698535217,153401.25,,,0.09606133818376618,0.09606133818376618,0.0,0.0,False,False,140.5786253229159,,
