Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2015-06-11,19.0,19.0,19.0,19.0,13.5713,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2015-06-12,30.5,31.99,29.18,30.59,21.8497,10899000,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2015-06-15,30.89,30.89,28.5,30.55,21.8211,1023100,0.0,0.0,0.0,0.0,,,,,,,99.48497854077254,,0.0,,,,0.0,0.0,,,False,False,,,
2015-06-16,30.03,30.6,29.51,29.68,21.1997,383100,0.0,0.0,0.0,0.0,,,,,,,85.17361749035459,87.86959818043972,0.0,,,,0.0,0.0,0.5621052631578947,,False,False,,,
2015-06-17,29.42,29.874,28.074,28.28,20.1997,570700,0.0,0.0,0.0,0.0,,,,,,,63.221055502522866,70.2061786283176,0.0,,,,0.0,0.0,-0.07551487414187641,,False,False,,,
2015-06-18,27.35,29.2,27.0,28.65,20.464,553400,0.0,0.0,0.0,0.0,,,,,,,66.63057935599616,72.1770222988875,0.0,,,,0.0,0.0,-0.06219312602291327,,False,False,,,
2015-06-19,28.95,29.64,28.66,29.34,20.9569,197200,0.0,0.0,0.0,0.0,,,,,,,73.50199570156587,76.10694302009681,0.0,,,,0.0,0.0,-0.011455525606469008,0.5442105263157895,True,True,,,
2015-06-22,29.49,29.51,28.5,28.56,20.3997,179500,0.0,0.0,0.0,0.0,,,,,,,54.47950043693561,62.74819728872222,0.0,,,,0.0,0.0,0.00990099009900991,-0.06636155606407323,False,False,,,
2015-06-23,28.55,29.3,28.36,28.75,20.5355,259500,0.0,0.0,0.0,0.0,,,,,,,58.4121486058585,64.75732702036323,0.0,,,,0.0,0.0,0.003490401396160525,-0.05891980360065474,False,False,,,
2015-06-24,28.75,28.935,28.0,28.33,20.2355,227100,2.4345,0.0,0.0,0.0,,,,,,,45.40531193132046,55.87524899746982,0.0,,,,0.08593363925167667,0.08593363925167667,-0.03442399454669398,-0.045485175202156336,False,False,,,
