Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
1989-01-10,9.25,9.5,9.0,9.25,222000.0,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1989-01-11,9.628,9.75,9.5,9.628,231072.0,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
1989-01-16,10.25,10.5,10.0,10.25,246000.0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,
1989-01-17,9.875,10.0,9.75,9.875,237000.0,0,0.0,0.0,0.0,0.0,,,,,,,60.84232509571877,64.42547136250445,0.0,,,,0.0,0.0,0.06756756756756754,,False,False,,,
1989-01-19,9.875,10.0,9.75,9.875,237000.0,0,0.0,0.0,0.0,0.0,,,,,,,60.84232509571877,64.42547136250445,0.0,,,,0.0,0.0,0.025654341503946743,,False,False,,,
1989-01-20,9.75,10.0,9.5,9.75,234000.0,0,0.0,0.0,0.0,0.0,,,,,,,47.0303356426986,53.2084834107751,0.0,,,,0.0,0.0,-0.04878048780487809,,False,False,,,
1989-01-27,9.75,10.0,9.5,9.75,234000.0,0,0.0,0.0,0.0,0.0,,,,,,,47.03033564269861,53.2084834107751,0.0,,,,0.0,0.0,-0.012658227848101222,0.054054054054053946,False,False,,,
1989-01-30,9.75,10.0,9.5,9.75,234000.0,0,0.0,0.0,0.0,0.0,,,,,,,47.03033564269861,53.2084834107751,0.0,,,,0.0,0.0,-0.012658227848101222,0.012671375155795639,False,False,,,
1989-01-31,9.628,10.0,9.25,9.628,231072.0,0,0.0,0.0,0.0,0.0,,,,,,,26.908608099137,37.93031919676912,0.0,,,,0.0,0.0,-0.012512820512820544,-0.060682926829268236,False,False,,,
1989-02-01,9.628,10.0,9.25,9.628,231072.0,0,0.5622,0.0,0.0,0.0,,,,,,,26.908608099137,37.93031919676912,0.0,,,,0.05839218944744495,0.05839218944744495,-0.012512820512820544,-0.02501265822784804,False,False,,,
