Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2025-06-25,27.25,27.25,24.99,24.99,24.99,690400,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2025-06-26,25.0,25.033,24.98,25.02,25.02,300200,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2025-06-27,25.1,25.1,24.96,25.073,25.073,188400,0.0,0.0,,,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,
2025-06-30,25.22,25.22,25.055,25.09,25.09,31700,0.0,0.0,,,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.00400160064025612,,True,True,,,
2025-07-01,25.15,25.15,25.05,25.087,25.087,21700,0.0,0.0,,,,,,,,,93.58669833729198,94.84702093397732,0.0,,,,0.0,0.0,0.0026778577138288906,,False,False,,,
2025-07-02,25.02,25.071,25.02,25.071,25.071,13100,0.0,0.0,,,,,,,,,61.85243328100711,69.41207280345901,0.0,,,,0.0,0.0,-7.976708012602529e-05,,False,False,,,
2025-07-03,25.1,25.11,25.06,25.095,25.095,43768,0.0,0.0,,,,,,,,,78.36153161175484,80.09034347566771,0.0,,,,0.0,0.0,0.00019928258270218713,0.004201680672268893,False,False,,,
2025-07-07,25.15,25.269,25.14,25.194,25.194,37100,0.0,0.0,,,,,,,,,94.11640083532626,93.18175184612292,0.0,,,,0.0,0.0,0.004265157252760332,0.006954436450839374,True,True,,,
2025-07-08,25.27,25.275,25.27,25.275,25.275,6100,0.0,0.0,,,,,,,,,96.89285628661189,96.0297091965943,0.0,,,,0.0,0.0,0.008136891228909704,0.00805647509272922,True,True,,,
2025-07-09,25.333,25.333,25.333,25.333,25.333,100,0.31479999999999997,0.0,,,,,,,,,97.93799123858435,97.16162134520295,0.0,,,,0.012426479295780207,0.012426479295780207,0.009483960948396097,0.009685133519330424,True,True,,,
2025-07-10,25.35,25.37,25.305,25.305,25.305,11600,0.2898200000000001,0.0,,,,,,,,,78.75520831112189,82.09617213440798,0.0,,,,0.011453072515313183,0.011453072515313183,0.004405810907359031,0.008689759636465011,False,False,,,
2025-07-11,25.47,25.49,25.428,25.428,25.428,10900,0.279338,0.0,,,,,,,,,90.72531387476984,90.61734007424006,0.0,,,,0.01098544911121598,0.01098544911121598,0.0060534124629081365,0.014239559650592204,False,False,,,
2025-07-14,25.53,25.59,25.52,25.565,25.565,11900,0.2676041999999999,0.0,,,,,,,,,95.22256428490405,94.50283421313462,0.0,,,,0.01046760023469587,0.01046760023469587,0.009158015237042738,0.018728830444311617,True,True,,,
2025-07-15,25.451,25.62,25.451,25.55,25.55,80400,0.25774378,0.0,,,,,,,,,88.19876183302941,89.11539424576623,81.18592472955393,,,,0.010087819178082191,0.010087819178082191,0.009681881051175623,0.014130348495673628,False,False,,,
2025-07-16,25.67,25.83,25.61,25.683,25.683,5100,0.25996940199999974,0.0,,,,,,,,,94.04288962251607,93.4977063692879,80.40710418264754,,,,0.010122236576723892,0.010122236576723892,0.010028315243039154,0.016142433234421327,False,False,,,
2025-07-17,25.75,25.76,25.5699,25.76,25.76,5373,0.2529824617999999,0.0,,,,,,,,,95.8343443528663,95.0394123346987,77.96085917437424,,,,0.009820747740683224,0.009820747740683224,0.007627615881087513,0.016855484940591525,True,True,,,
2025-07-18,25.57,25.73,25.57,25.705,25.705,3748,0.24668421562000004,0.0,,,,,,,,,72.48065399222595,77.53184533484408,75.8640777387114,,,,0.009596740541528887,0.009596740541528887,0.006066536203522377,0.01580715273661326,False,False,,,
2025-07-21,25.71,25.97,25.558,25.85,25.85,9300,0.26321579405799994,0.0,,,,,,,,,85.98579906315565,86.36259831835635,75.98633669015996,,,,0.01018242917052224,0.01018242917052224,0.006502355643811075,0.016595878559068744,False,False,,,
2025-07-22,26.41,26.41,26.07,26.11,26.11,2400,0.29289421465219984,0.0,,,,,,,,,93.95926809153667,92.9692081153622,77.55133331209535,,,,0.01121770259104557,0.01121770259104557,0.013586956521739024,0.021318208488167345,True,True,,,
2025-07-23,26.38,26.38,26.11,26.2,26.2,29900,0.29060479318697985,0.28155499999999983,,,,,,,,,95.33685329837519,94.25397040581794,78.89275898803997,1886356.009,,,0.011091785999503048,0.011091785999503048,0.01925695390001958,0.02544031311154593,True,True,,,
2025-07-24,26.35,26.35,26.03,26.06,26.06,1800,0.2935443138682819,0.28347724999999985,,,,,,,,,62.22564144237189,68.34935185402412,77.42516923241286,1026046.6089999999,,,0.011264171675682345,0.011264171675682345,0.008123791102514488,0.014678970525250135,False,False,5.373032219338059,,
2025-07-25,26.09,26.09,25.89,25.999,25.999,3300,0.2841898824814536,0.27930338749999983,,,,,,,,,50.71404464691086,58.93872000669875,72.15082624533567,654786.2440000001,,,0.010930800510844788,0.010930800510844788,-0.004251244733818438,0.009277950310558891,False,False,5.594104784108608,,
2025-07-28,26.15,26.15,25.795,25.84,25.84,2800,0.29127089423330793,0.2830882181249997,,,,,,,,,29.428269776548575,39.86361049944657,65.2894146160737,422216.184,,,0.011272093430081577,0.011272093430081577,-0.013740458015267132,0.005251896518187138,False,False,6.280114607862007,,
2025-07-29,25.99,25.99,25.67,25.979,25.979,5300,0.2941438048099768,0.28493380721874956,,,,,,,,,54.48129028044381,56.33571545963329,56.71611226204937,389332.969,,,0.011322368251663915,0.011322368251663915,-0.003108211818879436,0.0049903288201160745,False,False,6.416961550445046,,
2025-07-30,26.19,26.19,25.91,26.19,26.19,1700,0.29272942432897925,0.2846871168578121,,,25.53808,,,,,,74.82830511051782,71.90911819638059,52.35574295553621,364339.724,,,0.011177144877013335,0.011177144877013335,0.007346436401400203,0.003063960168517843,True,True,6.753991219565228,,
2025-07-31,25.75,26.35,25.75,25.93,25.93,11500,0.32345648189608145,0.3004527610149216,,,25.57568,,,,,,40.97453912706381,45.34034057934727,48.6182835499535,362827.969,,,0.012474218353107653,0.012474218353107653,0.0034829721362228394,-0.010305343511450404,False,False,7.969696749415717,,
2025-08-01,26.67,26.85,26.11,26.53,26.53,14700,0.3831108337064735,0.33143012296417557,,,25.636080000000003,,,,,,76.99768986881554,74.420484886562,49.93837362144635,327409.621,,,0.014440664670428701,0.014440664670428701,0.021209438392547852,0.01803530314658497,False,False,10.946227080125972,,
2025-08-04,26.64,26.66,26.18,26.18,26.18,15700,0.39279975033582615,0.3388586168159668,,,25.68036,,,,,,50.193694881341216,52.638811497455684,51.06987939701164,301226.051,,,0.015003810173255392,0.015003810173255392,-0.000381825124093238,0.006961806223316325,False,False,12.32431020669249,,
2025-08-05,25.96,26.3,25.85,26.27,26.27,5500,0.3985197753022435,0.3444156859751684,,,25.727559999999997,,,,,,56.08965343099827,56.95802018023551,45.76610636203228,300741.426,,,0.015170147518166862,0.015170147518166862,0.013112225221750817,0.016640866873065097,False,False,12.327643782540058,,
2025-08-06,26.4,26.41,25.9,25.9,25.9,9600,0.4096677977720192,0.3526949016764101,,,25.76008,,,,,,32.42183711386316,37.9746497185678,42.42019578724175,313046.761,,,0.015817289489267153,0.015817289489267153,-0.023746701846965812,-0.003040917664267284,False,False,13.586669635456246,,
2025-08-07,25.92,26.263,25.92,26.16,26.16,6000,0.4050010179948176,0.35321015659258975,,,25.80364,,,,,,53.22575406128116,52.73426957712027,39.5522724374213,306217.861,,,0.015481690290321773,0.015481690290321773,-0.0007639419404125158,-0.001145475372279492,False,False,13.913835916540101,,
2025-08-08,26.275,26.3,26.13,26.3,26.3,5300,0.381500916195336,0.34404964876296035,,,25.851839999999996,,,,,,62.540081564911155,59.631055765824684,37.56867303362192,299329.10099999997,,,0.014505738258377794,0.014505738258377794,0.0011419870574800317,0.014269186270728929,True,True,13.929749424909316,,
2025-08-11,26.13,26.282,25.92,26.282,26.282,2200,0.38135082457580227,0.34584716632481227,,,25.89536,,,,,,60.22709887965804,58.17584370608622,32.498096307423346,287008.946,,,0.014509962125249307,0.014509962125249307,0.014749034749034884,-0.009347908028646823,False,False,13.882956827494816,,
2025-08-12,26.23,26.3,25.706,25.706,25.706,5900,0.4026157421182221,0.35825480800857173,,,25.9126,,,,,,21.701642867559258,28.500526012480336,31.060157203701067,191881.216,,,0.015662325609516147,0.015662325609516147,-0.01735474006116211,-0.018105423987776925,False,False,16.206442810959043,,
2025-08-13,25.5,26.15,25.5,25.86,25.86,19800,0.4273541679063998,0.3728420676081431,,,25.933680000000003,,,,,,37.68704855903298,39.501567081150164,31.925077804256624,210933.45100000003,,,0.016525683213704557,0.016525683213704557,-0.016730038022813698,-0.015607156452226878,False,False,16.240017455974726,,
2025-08-14,25.99,26.23,25.99,26.06,26.06,8800,0.42161875111575997,0.372699964227736,,,25.96388,,,,,,55.41797236519245,52.22905707607443,31.11929749309285,215479.427,,,0.016178770188632386,0.016178770188632386,-0.008446845749942922,0.00617760617760621,True,True,16.42697833282975,,
2025-08-15,26.48,26.9,26.44,26.9,26.9,28000,0.4634568760041839,0.3960649660163492,,,26.022759999999998,,,,,,84.03589644619498,78.06773123356102,30.776993567768624,248322.31,,,0.01722888014885442,0.01722888014885442,0.04644830000778022,0.02828746177370034,True,True,19.74648132527012,,
