Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2007-12-12,16.5,18.0,14.0,16.8,87.9231,1119382,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2007-12-13,16.24,17.98,15.29,16.65,87.1381,249267,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2007-12-14,16.5,16.9,14.9,15.4,80.5962,131540,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,0.0,,,False,False,,,
2007-12-17,14.77,15.5,12.88,13.66,71.4899,105426,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.1869047619047619,,False,False,,,
2007-12-18,13.9,14.3,12.9,13.4,70.1291,97510,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.19519519519519513,,False,False,,,
2007-12-19,13.43,13.75,12.7,12.7,66.4657,84758,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.17532467532467544,,False,False,,,
2007-12-20,12.7,15.0,12.0,14.1,73.7926,74970,0.0,0.0,0.0,0.0,,,,,,,50.64308681672025,43.25772685714631,0.0,,,,0.0,0.0,0.03221083455344065,-0.1607142857142858,False,False,,,
2007-12-21,14.4,15.16,13.9,14.4,75.3627,89860,0.0,0.0,0.0,0.0,,,,,,,57.55271344624957,49.499286997575,0.0,,,,0.0,0.0,0.07462686567164178,-0.1351351351351351,True,True,,,
2007-12-24,14.4,15.04,14.0,14.69,76.8804,11030,0.0,0.0,0.0,0.0,,,,,,,64.71517850729111,55.77002433321476,0.0,,,,0.0,0.0,0.1566929133858268,-0.0461038961038962,True,True,,,
2007-12-26,14.69,14.8,14.05,14.23,74.473,46950,1.9809999999999999,0.0,0.0,0.0,,,,,,,46.17631983598156,44.1702502693006,0.0,,,,0.1392129304286718,0.1392129304286718,0.009219858156028327,0.04172767203513916,False,False,,,
2007-12-27,14.18,14.26,13.64,13.75,71.9609,12770,1.8448999999999998,0.0,0.0,0.0,,,,,,,31.881237171774373,34.25692749127785,0.0,,,,0.13417454545454544,0.13417454545454544,-0.04513888888888895,0.026119402985074647,False,False,,,
2007-12-28,13.75,14.45,13.3,14.3,74.8393,23795,1.7754099999999997,0.0,0.0,0.0,,,,,,,55.538488634296634,51.04343974911323,0.0,,,,0.12415454545454543,0.12415454545454543,-0.02654867256637161,0.12598425196850416,False,False,,,
2007-12-31,14.5,14.86,14.0,14.23,74.473,34608,1.6838689999999996,0.0,0.0,0.0,,,,,,,52.085158233203586,48.92360029283407,0.0,,,,0.11833232607167952,0.11833232607167952,0.0,0.009219858156028327,False,False,,,
2008-01-02,14.23,14.71,13.87,14.11,73.8449,16440,1.5994821,0.0,0.0,0.0,,,,,,,44.905296110878275,44.682108423338676,33.0384370250225,,,,0.11335805102763997,0.11335805102763997,0.026181818181818084,-0.02013888888888893,False,False,,,
2008-01-03,14.5,14.66,14.1,14.16,74.1066,25000,1.49553389,0.0,0.0,0.0,,,,,,,49.275483411814236,47.22404005713572,32.534457782440946,,,,0.10561680014124293,0.10561680014124293,-0.009790209790209836,-0.03607896528250509,False,False,,,
2008-01-04,14.0,14.0,13.5,13.5,70.6525,20600,1.411980501,0.0,0.0,0.0,,,,,,,19.16913984423897,26.10875153132207,34.52102182880557,,,,0.10459114822222222,0.10459114822222222,-0.05130007027406891,-0.05130007027406891,False,False,,,
2008-01-07,13.5,13.75,13.11,13.45,70.3908,16603,1.3347824509000001,0.0,0.0,0.0,,,,,,,17.92463988447163,24.980515206755143,37.40264916674901,,,,0.0992403309219331,0.0992403309219331,-0.04677533664068034,-0.021818181818181848,False,False,,,
2008-01-08,13.48,13.75,13.03,13.3,69.6058,21872,1.2733042058100001,0.0,0.0,0.0,,,,,,,13.87195781871283,21.298952448231177,40.10278206013181,,,,0.09573715833157895,0.09573715833157895,-0.06073446327683607,-0.0699300699300699,False,False,,,
2008-01-09,13.17,13.4999,12.26,12.73,66.6227,34963,1.2699637852290002,0.0,0.0,0.0,,,,,,,6.0609454441453465,12.193740032010666,44.198530223304644,,,,0.09976149137698352,0.09976149137698352,-0.057037037037037,-0.10541110330288128,False,False,,,
2008-01-10,12.26,12.94,11.9501,12.15,63.5873,33612,1.2419574067061,1.4044899999999998,0.0,0.0,,,,,,,3.259559739258208,7.717584908915683,48.23628083566756,1761303.4045000002,,,0.1022187166013251,0.1022187166013251,-0.09665427509293678,-0.1389085754783841,False,False,,,
2008-01-11,12.16,12.25,11.28,11.3999,59.6616,37835,1.21476166603549,1.3827655,0.0,0.0,,,,,,,1.7186028441445842,4.726040118918235,52.60055553014646,842588.2853250001,,,0.10655897560816235,0.10655897560816235,-0.14286466165413536,-0.19492231638418078,False,False,75.0434469592909,,
2008-01-14,11.33,11.5,10.01,10.7,55.9986,47374,1.242285499431941,1.3881272250000003,0.0,0.0,,,,,,,1.0342641431985697,3.1884292444880913,57.361917016880675,660418.597825,,,0.11610144854504122,0.11610144854504122,-0.15946582875098203,-0.20740740740740748,False,False,76.51109776556909,,
2008-01-15,10.7,10.7,9.1,9.3,48.6717,47607,1.2780569494887468,1.3987208637500004,0.0,0.0,,,,,,,0.4712435411032061,1.707123408044481,61.884624281952675,581270.052825,,,0.1374254784396502,0.1374254784396502,-0.23456790123456783,-0.30855018587360583,False,False,85.2284936509171,,
2008-01-16,9.15,10.17,9.14,9.8999,51.8113,45795,1.253251254539872,1.3802848205625005,0.0,0.0,,,,,,,26.26913595000697,22.324806383190236,65.76123050915726,531932.39085,,,0.12659231452235598,0.12659231452235598,-0.13158010157983846,-0.25564661654135334,False,False,82.9162758518541,,
2008-01-17,10.1,10.48,8.96,9.05,47.3633,63963,1.2799261290858848,1.3872705795343754,0.0,0.0,13.282392,,,,,,16.93878289746432,15.98936650713675,66.58784787392763,495543.94835,,,0.14142830155645134,0.14142830155645134,-0.15420560747663536,-0.28908091123330715,False,False,86.95112842545439,,
2008-01-18,9.17,9.7,8.73,8.76,45.8456,47095,1.248933516177296,1.3664070505576567,0.0,0.0,12.960792,,,,,,14.333139165634535,14.161042342331399,67.59751797534757,462350.22835,,,0.14257231919832147,0.14257231919832147,-0.058064516129032406,-0.27901234567901234,False,False,86.17538729534513,,
