Date,Open,High,Low,Close,AdjClose,Volume
2021-06-15,19.9792,19.9792,19.9792,19.9792,19.8329,0
2021-06-16,20.04,20.04,19.835,19.835,19.6898,3000
2021-06-17,20.075,20.075,20.075,20.075,19.928,100
2021-06-18,19.89,19.915,19.81,19.861,19.7156,3500
2021-06-21,19.838,20.032,19.838,20.018,19.8714,2900
2021-06-22,20.08,20.207,20.08,20.207,20.059,1000
2021-06-23,20.25,20.29,20.22,20.227,20.0789,9000
2021-06-24,20.42,20.43,20.42,20.427,20.2774,1900
2021-06-25,20.43,20.449,20.405,20.405,20.2556,12200
2021-06-28,20.7,20.77,20.7,20.765,20.6129,4500
2021-06-29,20.69,20.89,20.69,20.875,20.7221,467100
2021-06-30,20.79,20.82,20.785,20.8,20.6477,12600
2021-07-01,20.76,20.77,20.7,20.746,20.5941,6400
2021-07-02,20.92,20.965,20.91,20.96,20.8065,2100
2021-07-06,21.04,21.09,20.96,21.015,20.8611,3000
2021-07-07,21.1,21.1,20.98,21.03,20.876,3200
2021-07-08,20.75,20.87,20.72,20.8,20.6477,4600
2021-07-09,20.83,21.07,20.83,21.07,20.9157,1300
2021-07-12,21.1,21.15,21.1,21.136,20.9812,3200
2021-07-13,21.24,21.24,21.11,21.11,20.9554,400
2021-07-14,21.17,21.17,21.094,21.094,20.9395,19500
2021-07-15,20.85,20.87,20.83,20.865,20.7122,33000
2021-07-16,20.83,20.83,20.668,20.668,20.5167,60700
2021-07-19,20.5,20.5,20.39,20.46,20.3102,2100
2021-07-20,20.59,20.89,20.58,20.808,20.6556,19400
2021-07-21,20.965,21.107,20.965,21.107,20.9524,1500
2021-07-22,21.18,21.21,21.16,21.21,21.0547,10900
2021-07-23,21.295,21.513,21.295,21.513,21.3555,5900
2021-07-26,21.49,21.54,21.49,21.503,21.3455,2400
2021-07-27,21.265,21.265,21.16,21.208,21.0527,1200
2021-07-28,21.37,21.43,21.34,21.375,21.2185,3500
2021-07-29,21.47,21.47,21.436,21.447,21.2899,900
2021-07-30,21.37,21.413,21.33,21.388,21.2314,3800
2021-08-02,21.53,21.57,21.373,21.373,21.2165,1100
2021-08-03,21.34,21.458,21.3,21.458,21.3009,800
2021-08-04,21.54,21.72,21.52,21.68,21.5212,40800
2021-08-05,21.65,21.714,21.65,21.714,21.555,3500
2021-08-06,21.74,21.74,21.652,21.66,21.5014,3200
2021-08-09,21.63,21.66,21.619,21.619,21.4607,5100
2021-08-10,21.51,21.54,21.457,21.457,21.2999,800
2021-08-11,21.36,21.43,21.36,21.409,21.2522,2700
2021-08-12,21.23,21.44,21.23,21.429,21.2721,1900
2021-08-13,21.5,21.5,21.46,21.47,21.3128,1700
2021-08-16,21.34,21.53,21.34,21.527,21.3694,2400
2021-08-17,21.25,21.36,21.15,21.25,21.0944,2200
2021-08-18,21.29,21.29,21.015,21.015,20.8611,1400
2021-08-19,20.99,21.25,20.99,21.151,20.9961,900
2021-08-20,21.3,21.36,21.3,21.353,21.1966,35300
2021-08-23,21.56,21.69,21.55,21.668,21.5093,2700
2021-08-24,21.73,21.73,21.677,21.677,21.5183,300
2021-08-25,21.72,21.73,21.72,21.73,21.5709,400
2021-08-26,21.76,21.76,21.58,21.59,21.4319,2000
2021-08-27,21.85,21.95,21.85,21.922,21.7615,1300
2021-08-30,22.1,22.1,22.06,22.082,21.9203,2400
2021-08-31,21.82,21.91,21.82,21.871,21.7108,1300
2021-09-01,21.93,21.93,21.811,21.811,21.6513,600
2021-09-02,21.81,21.81,21.74,21.751,21.5917,1800
2021-09-03,21.91,21.92,21.873,21.873,21.7128,1000
2021-09-07,21.65,21.74,21.64,21.715,21.556,5500
2021-09-08,21.57,21.57,21.5,21.559,21.4011,5000
2021-09-09,21.66,21.66,21.531,21.531,21.3733,1700
2021-09-10,21.69,21.69,21.476,21.476,21.3187,1000
2021-09-13,21.38,21.46,21.35,21.427,21.2701,2400
2021-09-14,21.43,21.45,21.36,21.364,21.2076,4900
2021-09-15,21.32,21.54,21.32,21.538,21.3803,2400
2021-09-16,21.48,21.64,21.48,21.615,21.4567,8700
2021-09-17,21.36,21.36,21.325,21.354,21.1976,3600
2021-09-20,20.94,20.963,20.75,20.963,20.8095,4800
2021-09-21,21.005,21.005,21.005,21.005,20.8512,100
2021-09-22,21.192,21.192,21.192,21.192,21.0368,0
2021-09-23,21.49,21.49,21.458,21.458,21.3029,3800
2021-09-24,21.34,21.49,21.34,21.468,21.3128,7600
2021-09-27,21.26,21.32,21.225,21.263,21.1093,10200
2021-09-28,20.57,20.65,20.54,20.54,20.3915,5200
2021-09-29,20.62,20.62,20.413,20.413,20.2654,2700
2021-09-30,20.51,20.53,20.37,20.37,20.2227,6400
2021-10-01,20.59,20.61,20.571,20.571,20.4223,11000
2021-10-04,20.0,20.038,19.97,20.038,19.8931,1100
2021-10-05,20.49,20.49,20.402,20.402,20.2545,2500
2021-10-06,20.33,20.432,20.23,20.432,20.2843,2600
2021-10-07,20.657,20.657,20.657,20.657,20.5077,100
2021-10-08,20.66,20.66,20.493,20.493,20.3449,3300
2021-10-11,20.505,20.505,20.386,20.386,20.2386,1900
2021-10-12,20.36,20.36,20.328,20.328,20.181,400
2021-10-13,20.5,20.53,20.5,20.528,20.3796,3000
2021-10-14,20.9,20.96,20.9,20.946,20.7946,700
2021-10-15,21.03,21.041,21.03,21.041,20.8889,800
2021-10-18,21.09,21.284,21.09,21.284,21.1301,8000
2021-10-19,21.45,21.54,21.45,21.511,21.3555,2000
2021-10-20,21.58,21.58,21.52,21.525,21.3694,500
2021-10-21,21.56,21.69,21.56,21.69,21.5332,1800
2021-10-22,21.74,21.74,21.58,21.656,21.4994,1900
2021-10-25,21.76,21.8,21.68,21.727,21.5699,1200
2021-10-26,21.91,21.91,21.731,21.731,21.5739,1200
2021-10-27,21.68,21.78,21.593,21.593,21.4369,2100
2021-10-28,21.84,21.855,21.8,21.853,21.695,7000
2021-10-29,21.85,21.995,21.847,21.995,21.836,2600
2021-11-01,21.882,21.916,21.85,21.916,21.7576,1900
2021-11-02,22.17,22.17,22.11,22.15,21.9899,3900
2021-11-03,22.1,22.33,22.1,22.305,22.1438,800
2021-11-04,22.37,22.73,22.37,22.72,22.5558,1000
2021-11-05,22.77,22.79,22.735,22.735,22.5706,400
2021-11-08,22.874,22.874,22.874,22.874,22.7086,100
2021-11-09,22.9,22.94,22.89,22.926,22.7603,14900
2021-11-10,22.83,22.83,22.435,22.435,22.2728,4000
2021-11-11,22.585,22.635,22.55,22.55,22.387,1400
2021-11-12,22.665,22.87,22.66,22.848,22.6828,1200
2021-11-15,22.96,22.96,22.879,22.904,22.7384,1100
2021-11-16,23.02,23.27,23.02,23.236,23.068,600
2021-11-17,23.25,23.25,23.121,23.121,22.9539,3800
2021-11-18,23.18,23.24,23.15,23.192,23.0243,11000
2021-11-19,23.37,23.47,23.3,23.332,23.1633,4400
2021-11-22,23.51,23.51,22.935,22.935,22.7692,1600
2021-11-23,22.78,22.78,22.53,22.74,22.5756,3000
2021-11-24,22.66,22.877,22.415,22.877,22.7116,2100
2021-11-26,22.82,22.82,22.443,22.443,22.2808,800
2021-11-29,22.7,23.078,22.7,23.078,22.9112,2300
2021-11-30,23.05,23.05,22.5,22.516,22.3532,1700
2021-12-01,22.75,22.8,22.167,22.167,22.0068,5600
2021-12-02,22.24,22.32,22.11,22.32,22.1586,800
2021-12-03,21.94,21.971,21.91,21.971,21.8122,700
2021-12-06,21.93,22.14,21.93,22.115,21.9551,900
2021-12-07,22.83,22.9,22.803,22.842,22.6769,1600
2021-12-08,22.85,22.949,22.85,22.949,22.7831,300
2021-12-09,22.74,22.74,22.654,22.654,22.4902,700
2021-12-10,23.04,23.102,23.04,23.102,22.935,600
2021-12-13,23.202,23.202,22.867,22.867,22.7017,1700
2021-12-14,22.24,22.405,22.24,22.397,22.2351,2100
2021-12-15,22.44,23.029,22.35,23.029,22.8625,800
2021-12-16,22.42,22.47,22.42,22.426,22.2639,700
2021-12-17,22.35,22.358,22.28,22.327,22.1656,700
2021-12-20,22.01,22.043,22.0,22.043,21.8836,400
2021-12-21,22.2,22.55,22.03,22.523,22.3602,2500
2021-12-22,22.53,22.735,22.53,22.735,22.5706,3000
2021-12-23,22.87,22.98,22.87,22.977,22.8139,3400
2021-12-27,23.24,23.398,23.24,23.398,23.2319,5200
2021-12-28,23.374,23.374,23.218,23.218,23.0532,2800
2021-12-29,23.15,23.31,23.14,23.281,23.1157,1300
2021-12-30,23.25,23.25,23.119,23.119,22.9549,1100
2021-12-31,22.98,22.98,22.98,22.98,22.8169,400
2022-01-03,23.04,23.04,22.994,22.994,22.8308,400
2022-01-04,22.53,22.767,22.53,22.767,22.6054,900
2022-01-05,22.04,22.04,22.0,22.0,21.8438,500
2022-01-06,22.1,22.141,22.0,22.0,21.8438,700
2022-01-07,21.76,21.76,21.687,21.687,21.5331,400
2022-01-10,21.065,21.687,21.065,21.687,21.5331,2600
2022-01-11,21.89,21.969,21.88,21.969,21.8131,1800
2022-01-12,22.04,22.1,22.04,22.06,21.9034,600
2022-01-13,21.63,21.63,21.493,21.493,21.3404,300
2022-01-14,21.49,21.691,21.49,21.691,21.537,1000
2022-01-18,21.1,21.1,21.008,21.008,20.8589,700
2022-01-19,20.91,20.91,20.738,20.738,20.5908,1000
2022-01-20,21.03,21.03,20.405,20.405,20.2602,900
2022-01-21,20.011,20.065,19.965,19.965,19.8233,5900
2022-01-24,19.48,20.183,19.3,20.183,20.0397,2500
2022-01-25,19.8,20.0,19.52,19.606,19.4668,3400
2022-01-26,19.91,20.04,19.53,19.561,19.4222,800
2022-01-27,19.99,19.99,19.41,19.447,19.309,2300
2022-01-28,19.7,20.082,19.7,20.082,19.9395,2400
2022-01-31,20.775,20.775,20.775,20.775,20.6275,100
2022-02-01,20.57,20.906,20.57,20.906,20.7576,800
2022-02-02,21.09,21.19,21.09,21.19,21.0396,6300
2022-02-03,20.243,20.243,20.243,20.243,20.0993,100
2022-02-04,20.384,20.403,20.384,20.403,20.2582,300
2022-02-07,20.28,20.368,20.154,20.154,20.0109,2800
2022-02-08,20.3,20.421,20.3,20.421,20.276,500
2022-02-09,20.94,20.985,20.94,20.985,20.836,500
2022-02-10,20.456,20.456,20.456,20.456,20.3108,0
2022-02-11,19.7,19.78,19.7,19.779,19.6386,1600
2022-02-14,19.74,19.74,19.722,19.722,19.582,1000
2022-02-15,20.08,20.266,20.08,20.266,20.1221,1900
2022-02-16,20.007,20.26,20.005,20.245,20.1013,1200
2022-02-17,19.618,19.618,19.578,19.578,19.439,300
2022-02-18,19.51,19.51,19.359,19.359,19.2216,2200
2022-02-22,19.475,19.475,19.145,19.145,19.0091,3600
2022-02-23,18.79,18.79,18.701,18.701,18.5683,1900
2022-02-24,19.49,19.494,19.49,19.494,19.3556,5000
2022-02-25,19.65,19.745,19.65,19.745,19.6048,1900
2022-02-28,19.677,19.677,19.677,19.677,19.5373,0
2022-03-01,19.257,19.257,19.257,19.257,19.1203,100
2022-03-02,19.62,19.71,19.62,19.663,19.5234,500
2022-03-03,19.59,19.59,19.328,19.328,19.1908,17100
2022-03-04,18.91,19.013,18.91,19.013,18.878,3900
2022-03-07,18.92,18.92,18.208,18.208,18.0788,10400
2022-03-08,18.565,18.58,18.232,18.232,18.1026,2900
2022-03-09,18.77,18.934,18.77,18.934,18.7996,700
2022-03-10,18.58,18.66,18.4,18.656,18.5236,6100
2022-03-11,18.66,18.66,18.274,18.274,18.1443,4500
2022-03-14,18.4,18.4,17.88,17.9,17.7729,2500
2022-03-15,18.26,18.52,18.26,18.5,18.3687,3400
2022-03-16,19.09,19.166,18.54,19.166,19.03,2200
2022-03-17,19.3,19.42,19.3,19.395,19.2573,3200
2022-03-18,19.74,19.841,19.73,19.841,19.7002,1300
2022-03-21,19.64,19.717,19.62,19.717,19.577,1200
2022-03-22,20.016,20.016,20.016,20.016,19.8739,100
2022-03-23,19.62,19.62,19.589,19.589,19.45,1700
2022-03-24,20.095,20.141,20.095,20.141,19.998,500
2022-03-25,19.91,20.07,19.91,20.07,19.9345,500
2022-03-28,20.09,20.323,20.08,20.323,20.1858,11400
2022-03-29,20.777,20.777,20.777,20.777,20.6367,100
2022-03-30,20.58,20.58,20.413,20.413,20.2752,2800
2022-03-31,20.445,20.445,20.178,20.178,20.0417,1200
2022-04-01,19.92,20.085,19.92,20.085,19.9494,600
2022-04-04,20.395,20.49,20.395,20.473,20.3347,900
2022-04-05,20.14,20.14,19.94,19.965,19.8302,500
2022-04-06,19.95,19.95,19.51,19.51,19.3783,1300
2022-04-07,19.541,19.541,19.541,19.541,19.409,100
2022-04-08,19.29,19.29,19.233,19.233,19.1031,600
2022-04-11,18.89,18.89,18.806,18.806,18.679,2000
2022-04-12,18.94,18.94,18.678,18.678,18.5519,300
2022-04-13,18.69,19.04,18.69,19.04,18.9114,600
2022-04-14,18.67,18.69,18.575,18.575,18.4496,5900
2022-04-18,18.54,18.74,18.51,18.62,18.4943,28000
2022-04-19,18.52,19.06,18.52,19.04,18.9114,1800
2022-04-20,19.03,19.16,18.919,18.919,18.7912,6700
2022-04-21,18.73,18.73,18.433,18.433,18.3085,100
2022-04-22,18.06,18.09,17.895,17.895,17.7742,3400
2022-04-25,17.81,18.14,17.81,18.14,18.0175,5700
2022-04-26,17.75,17.75,17.55,17.55,17.4315,1100
2022-04-27,17.47,17.79,17.47,17.59,17.4712,700
2022-04-28,17.89,18.53,17.89,18.381,18.2569,8400
2022-04-29,18.34,18.34,17.624,17.624,17.505,1600
2022-05-02,17.71,17.996,17.68,17.996,17.8745,2300
2022-05-03,17.97,18.04,17.97,18.014,17.8924,2800
2022-05-04,17.82,18.658,17.8,18.658,18.532,1500
2022-05-05,18.375,18.375,17.55,17.698,17.5785,3000
2022-05-06,17.46,17.68,17.26,17.506,17.3878,1200
2022-05-09,17.23,17.23,16.72,16.729,16.616,3000
2022-05-10,17.17,17.17,16.97,16.977,16.8624,1800
2022-05-11,16.88,16.88,16.526,16.526,16.4144,600
2022-05-12,16.34,16.537,16.34,16.537,16.4253,800
2022-05-13,17.14,17.32,17.14,17.238,17.1216,3100
2022-05-16,17.12,17.12,17.005,17.005,16.8902,28500
2022-05-17,17.39,17.594,17.39,17.555,17.4365,4600
2022-05-18,17.41,17.41,16.78,16.78,16.6667,3100
2022-05-19,16.79,16.96,16.69,16.704,16.5912,2400
2022-05-20,16.815,16.815,16.31,16.76,16.6468,2200
2022-05-23,16.88,17.03,16.78,16.985,16.8703,2400
2022-05-24,16.58,16.581,16.39,16.581,16.469,3900
2022-05-25,16.73,17.01,16.71,16.908,16.7938,700
2022-05-26,17.201,17.416,17.201,17.416,17.2984,400
2022-05-27,17.84,18.02,17.84,18.005,17.8834,1900
2022-05-31,18.04,18.04,17.882,17.882,17.7612,1400
2022-06-01,17.875,17.875,17.741,17.741,17.6212,3200
2022-06-02,17.945,18.295,17.887,18.295,18.1715,1700
2022-06-03,18.0,18.0,17.912,17.912,17.791,600
2022-06-06,17.97,17.97,17.92,17.95,17.8288,1500
2022-06-07,18.1,18.14,18.1,18.14,18.0175,600
2022-06-08,18.1,18.1,17.872,17.873,17.7523,400
2022-06-09,17.557,17.557,17.452,17.452,17.3341,300
2022-06-10,16.825,16.825,16.825,16.825,16.7114,100
2022-06-13,16.16,16.16,15.983,15.983,15.8751,400
2022-06-14,15.99,16.057,15.99,16.057,15.9486,200
2022-06-15,16.477,16.6,16.361,16.361,16.2505,47700
2022-06-16,15.55,15.55,15.5,15.53,15.4251,2300
2022-06-17,15.72,15.803,15.71,15.753,15.6466,600
2022-06-21,16.16,16.18,16.141,16.141,16.032,3400
2022-06-22,16.135,16.21,16.109,16.109,16.0002,1100
2022-06-23,16.236,16.236,16.236,16.236,16.1264,100
2022-06-24,16.69,16.798,16.69,16.798,16.6907,1000
2022-06-27,16.73,16.76,16.717,16.717,16.6103,1100
2022-06-28,16.301,16.301,16.287,16.287,16.183,600
2022-06-29,16.14,16.19,16.127,16.183,16.0797,1300
2022-06-30,15.99,16.18,15.98,15.99,15.8879,2200
2022-07-01,15.73,15.919,15.73,15.919,15.8173,1700
2022-07-05,16.04,16.078,16.04,16.078,15.9753,400
2022-07-06,16.27,16.27,16.205,16.205,16.1015,200
2022-07-07,16.628,16.628,16.628,16.628,16.5218,100
2022-07-08,16.68,16.69,16.66,16.69,16.5834,7700
2022-07-11,16.34,16.44,16.34,16.391,16.2863,4700
2022-07-12,16.205,16.205,16.205,16.205,16.1015,0
2022-07-13,16.192,16.192,16.192,16.192,16.0886,0
2022-07-14,16.3,16.3,16.3,16.3,16.1959,100
2022-07-15,16.53,16.627,16.507,16.627,16.5208,500
2022-07-18,16.72,16.72,16.49,16.49,16.3847,800
2022-07-19,17.068,17.068,17.068,17.068,16.959,0
2022-07-20,17.115,17.331,17.115,17.331,17.2203,1400
2022-07-21,17.3,17.548,17.3,17.548,17.4359,1000
2022-07-22,17.44,17.455,17.16,17.247,17.1369,3700
2022-07-25,17.142,17.179,17.142,17.161,17.0514,900
2022-07-26,17.081,17.081,16.87,16.902,16.7941,12700
2022-07-27,17.11,17.71,17.11,17.63,17.5174,5800
2022-07-28,17.904,17.904,17.876,17.876,17.7618,900
2022-07-29,17.968,18.137,17.968,18.137,18.0212,200
2022-08-01,18.2,18.26,18.06,18.11,17.9944,4100
2022-08-02,17.955,18.29,17.955,18.09,17.9745,3300
2022-08-03,18.19,18.55,18.19,18.52,18.4017,14100
2022-08-04,18.5,18.59,18.41,18.59,18.4713,26000
2022-08-05,18.355,18.572,18.355,18.572,18.4534,200
2022-08-08,18.52,18.52,18.3,18.4,18.2825,21000
2022-08-09,18.06,18.08,17.93,18.0,17.8851,2100
2022-08-10,18.53,18.54,18.48,18.54,18.4216,1400
2022-08-11,18.74,18.74,18.41,18.43,18.3123,2700
2022-08-12,18.83,18.87,18.83,18.87,18.7495,300
2022-08-15,18.87,19.0,18.85,18.981,18.8598,5600
2022-08-16,18.9,18.9,18.88,18.887,18.7664,200
2022-08-17,18.48,18.72,18.48,18.595,18.4763,400
2022-08-18,18.75,18.761,18.75,18.761,18.6412,3100
2022-08-19,18.391,18.407,18.391,18.407,18.2895,400
2022-08-22,17.88,17.88,17.88,17.88,17.7658,100
2022-08-23,17.97,17.97,17.932,17.932,17.8175,300
2022-08-24,17.93,17.988,17.93,17.952,17.8374,1000
2022-08-25,18.16,18.321,18.13,18.321,18.204,800
2022-08-26,17.525,17.525,17.525,17.525,17.4131,100
2022-08-29,17.304,17.304,17.304,17.304,17.1935,200
2022-08-30,17.328,17.328,17.12,17.12,17.0107,600
2022-08-31,17.07,17.07,17.031,17.031,16.9222,100
2022-09-01,16.64,16.87,16.64,16.87,16.7623,1000
2022-09-02,17.06,17.07,16.68,16.68,16.5735,4800
2022-09-06,16.571,16.571,16.571,16.571,16.4652,100
2022-09-07,16.919,16.919,16.9,16.9,16.7921,1600
2022-09-08,17.036,17.036,17.036,17.036,16.9272,100
2022-09-09,17.33,17.41,17.33,17.4,17.2889,3200
2022-09-12,17.47,17.514,17.47,17.514,17.4022,900
2022-09-13,16.615,16.615,16.615,16.615,16.5089,100
2022-09-14,16.558,16.676,16.558,16.676,16.5695,200
2022-09-15,16.291,16.291,16.291,16.291,16.187,0
2022-09-16,16.21,16.244,16.21,16.244,16.1403,500
2022-09-19,16.143,16.308,16.12,16.308,16.2039,19900
2022-09-20,16.13,16.18,16.126,16.126,16.023,600
