Date,Open,High,Low,Close,AdjClose,Volume
2005-03-03,15.14,15.15,15.08,15.15,13.5545,2400
2005-03-04,15.14,15.23,15.09,15.2,13.5992,7300
2005-03-07,15.27,15.31,15.24,15.27,13.6618,8600
2005-03-08,15.22,15.25,15.09,15.09,13.5008,4100
2005-03-09,15.02,15.09,14.96,14.96,13.3845,6300
2005-03-10,14.96,14.96,14.79,14.92,13.3487,3100
2005-03-11,14.85,14.85,14.75,14.78,13.2234,9000
2005-03-14,14.84,14.86,14.78,14.81,13.2503,6800
2005-03-15,14.88,14.88,14.74,14.74,13.1877,2800
2005-03-16,14.7,14.74,14.62,14.62,13.0803,9800
2005-03-17,14.65,14.72,14.61,14.72,13.1698,24100
2005-03-18,14.57,14.57,14.54,14.54,13.0087,3600
2005-03-21,14.51,14.52,14.46,14.52,12.9908,30700
2005-03-22,14.66,14.78,14.57,14.57,13.0356,36600
2005-03-23,14.5,14.5,14.43,14.43,12.9103,4300
2005-03-24,14.49,14.56,14.49,14.56,13.0266,900
2005-03-28,14.61,14.61,14.49,14.59,13.0535,4500
2005-03-29,14.54,14.57,14.45,14.45,12.9282,7200
2005-03-30,14.56,14.59,14.56,14.58,13.0445,4000
2005-03-31,14.66,14.68,14.66,14.67,13.125,2200
2005-04-01,14.77,14.77,14.64,14.68,13.134,6700
2005-04-04,14.52,14.52,14.52,14.52,12.9908,2000
2005-04-05,14.73,14.74,14.66,14.74,13.1877,15100
2005-04-06,14.79,14.86,14.77,14.86,13.295,45600
2005-04-07,14.78,14.88,14.78,14.87,13.304,1400
2005-04-08,14.92,14.92,14.77,14.77,13.2145,19200
2005-04-11,14.76,14.76,14.69,14.71,13.1608,3300
2005-04-12,14.47,14.8,14.47,14.8,13.2413,7400
2005-04-13,14.74,14.74,14.58,14.62,13.0803,1800
2005-04-14,14.63,14.63,14.35,14.35,12.8387,2200
2005-04-15,14.24,14.27,14.05,14.05,12.5703,1100
2005-04-18,14.05,14.08,13.99,14.02,12.5435,3400
2005-04-19,14.15,14.31,14.15,14.29,12.785,2800
2005-04-20,14.32,14.32,14.17,14.17,12.6777,5600
2005-04-21,14.32,14.49,14.26,14.49,12.964,4300
2005-04-22,14.26,14.33,14.06,14.06,12.5793,3400
2005-04-25,14.06,14.06,14.06,14.06,12.5793,0
2005-04-26,14.3,14.3,14.29,14.29,12.785,1100
2005-04-27,13.93,14.15,13.89,14.15,12.6598,38600
2005-04-28,14.0,14.0,13.9,13.9,12.4361,8900
2005-04-29,13.88,13.89,13.66,13.83,12.3735,4400
2005-05-02,13.93,14.01,13.92,13.92,12.454,700
2005-05-03,14.1,14.12,14.1,14.1,12.6151,1500
2005-05-04,14.17,14.32,14.12,14.29,12.785,12000
2005-05-05,14.3,14.3,14.21,14.21,12.7135,3000
2005-05-06,14.37,14.37,14.29,14.37,12.8566,2700
2005-05-09,14.33,14.4,14.33,14.39,12.8745,500
2005-05-10,14.38,14.38,14.2,14.2,12.7045,1100
2005-05-11,14.27,14.27,14.0,14.15,12.6598,2800
2005-05-12,14.11,14.11,14.11,14.11,12.624,500
2005-05-13,14.02,14.02,13.9,13.9,12.4361,4400
2005-05-16,14.07,14.13,14.06,14.13,12.6419,4100
2005-05-17,14.08,14.08,14.08,14.08,12.5972,300
2005-05-18,14.39,14.53,14.39,14.51,12.9819,10500
2005-05-19,14.61,14.66,14.57,14.63,13.0892,4500
2005-05-20,14.66,14.66,14.55,14.63,13.0892,11700
2005-05-23,14.67,14.72,14.67,14.72,13.1698,900
2005-05-24,14.85,14.85,14.75,14.8,13.2413,3800
2005-05-25,14.8,14.8,14.68,14.68,13.134,4500
2005-05-26,14.68,14.68,14.68,14.68,13.134,0
2005-05-27,14.96,15.05,14.96,15.05,13.465,700
2005-05-31,15.04,15.04,14.96,14.98,13.4024,3800
2005-06-01,15.04,15.06,15.04,15.05,13.465,600
2005-06-02,15.23,15.26,15.21,15.21,13.6082,5100
2005-06-03,15.3,15.36,15.18,15.26,13.6529,4900
2005-06-06,15.24,15.37,15.24,15.36,13.7424,5700
2005-06-07,15.58,15.58,15.38,15.38,13.7603,17800
2005-06-08,15.4,15.4,15.04,15.04,13.4561,10300
2005-06-09,15.13,15.29,15.13,15.28,13.6708,5800
2005-06-10,15.39,15.4,15.23,15.31,13.6976,15600
2005-06-13,15.39,15.4,15.39,15.4,13.7781,2000
2005-06-14,15.42,15.42,15.39,15.41,13.7871,15900
2005-06-15,15.57,15.57,15.32,15.5,13.8676,4600
2005-06-16,15.56,15.64,15.56,15.64,13.9929,8200
2005-06-17,15.79,15.79,15.61,15.68,14.0287,16200
2005-06-20,15.66,15.66,15.52,15.52,13.8855,3200
2005-06-21,15.62,15.62,15.46,15.46,13.8318,7200
2005-06-22,15.61,15.61,15.48,15.55,13.9124,2300
2005-06-23,15.58,15.6,15.37,15.38,13.7603,6100
2005-06-24,15.4,15.4,15.1,15.15,13.5545,27900
