Date,Open,High,Low,Close,AdjClose,Volume
2022-09-15,49.57,49.57,49.5433,49.5433,44.3304,200
2022-09-16,49.6069,49.6069,49.6069,49.6069,44.3873,0
2022-09-19,49.41,49.4606,49.41,49.4606,44.2564,201
2022-09-20,49.26,49.26,49.1816,49.1816,44.0067,101
2022-09-21,49.3247,49.3247,49.3247,49.3247,44.1348,0
2022-09-22,48.79,48.79,48.6964,48.6964,43.5726,211
2022-09-23,48.67,48.6898,48.58,48.6898,43.5667,300
2022-09-26,48.41,48.415,48.017,48.017,42.9647,17300
2022-09-27,47.74,47.74,47.74,47.74,42.7168,0
2022-09-28,48.32,48.693,48.32,48.693,43.5696,500
2022-09-29,48.501,48.501,48.501,48.501,43.3978,100
2022-09-30,48.287,48.287,48.287,48.287,43.2063,100
2022-10-03,48.859,48.859,48.859,48.859,43.7181,0
2022-10-04,49.01,49.01,49.01,49.01,43.8532,100
2022-10-05,48.559,48.559,48.559,48.559,43.4497,0
2022-10-06,48.333,48.333,48.333,48.333,43.2474,0
2022-10-07,48.09,48.09,48.09,48.09,43.03,0
2022-10-10,47.96,47.96,47.74,47.795,42.766,2200
2022-10-11,47.958,47.958,47.958,47.958,42.9119,0
2022-10-12,48.102,48.102,48.102,48.102,43.0407,0
2022-10-13,47.907,47.907,47.907,47.907,42.8663,0
2022-10-14,48.14,48.14,47.68,47.713,42.6927,400
2022-10-17,47.705,47.705,47.705,47.705,42.6855,0
2022-10-18,47.835,47.835,47.835,47.835,42.8018,100
2022-10-19,47.395,47.395,47.395,47.395,42.4081,100
2022-10-20,47.059,47.059,47.059,47.059,42.1075,0
2022-10-21,47.225,47.225,47.225,47.225,42.256,0
2022-10-24,47.169,47.169,47.169,47.169,42.2059,100
2022-10-25,47.675,47.677,47.675,47.677,42.6605,100
2022-10-26,47.879,47.879,47.879,47.879,42.8412,0
2022-10-27,48.195,48.195,48.195,48.195,43.124,500
2022-10-28,47.944,47.944,47.944,47.944,42.8994,300
2022-10-31,47.8,47.8,47.684,47.684,42.6667,1200
2022-11-01,47.51,47.539,47.51,47.539,42.7167,200
2022-11-02,47.58,47.58,47.468,47.468,42.6529,100
2022-11-03,47.282,47.282,47.282,47.282,42.4858,100
2022-11-04,47.232,47.232,47.232,47.232,42.4409,0
2022-11-07,47.071,47.071,47.071,47.071,42.2962,0
2022-11-08,47.337,47.337,47.337,47.337,42.5352,100
2022-11-09,47.493,47.493,47.493,47.493,42.6754,100
