Date,Open,High,Low,Close,AdjClose,Volume
2021-04-22,20.03,20.03,19.843,19.843,18.4531,2200
2021-04-23,19.92,20.11,19.92,20.057,18.6521,26000
2021-04-26,20.1,20.138,20.086,20.086,18.6791,5000
2021-04-27,20.11,20.11,20.09,20.09,18.6828,1900
2021-04-28,20.14,20.14,20.074,20.074,18.6679,3100
2021-04-29,20.16,20.2,20.09,20.18,18.7665,1700
2021-04-30,20.07,20.108,20.05,20.057,18.6521,471800
2021-05-03,20.083,20.083,20.083,20.083,18.6763,100
2021-05-04,19.94,20.121,19.93,20.121,18.7116,3000
2021-05-05,19.978,19.978,19.978,19.978,18.5786,0
2021-05-06,20.0,20.129,19.96,20.129,18.7191,1100
2021-05-07,20.241,20.32,20.241,20.302,18.88,9500
2021-05-10,20.111,20.111,20.111,20.111,18.7023,100
2021-05-11,19.8,19.98,19.8,19.909,18.5145,10100
2021-05-12,19.8,19.8,19.505,19.505,18.1388,8500
2021-05-13,19.81,19.876,19.73,19.79,18.4038,11300
2021-05-14,20.09,20.09,20.063,20.063,18.6577,100
2021-05-17,19.93,19.954,19.93,19.954,18.5563,200
2021-05-18,20.0,20.0,19.81,19.81,18.4224,400
2021-05-19,19.759,19.759,19.759,19.759,18.375,0
2021-05-20,20.019,20.019,19.94,19.94,18.5433,100
2021-05-21,19.995,19.995,19.935,19.935,18.5387,2609400
2021-05-24,21.93,22.43,20.16,20.21,18.7944,87400
2021-05-25,20.39,20.96,20.145,20.145,18.734,18400
2021-05-26,20.0,20.2,20.0,20.162,18.7498,5900
2021-05-27,20.245,20.245,20.16,20.202,18.787,8300
2021-05-28,20.245,20.25,20.209,20.209,18.7935,3900
2021-06-01,20.225,20.23,20.215,20.215,18.799,11100
2021-06-02,20.1,20.235,20.1,20.21,18.7944,1000
2021-06-03,19.89,20.21,19.89,20.153,18.7414,14800
2021-06-04,20.275,20.36,20.275,20.332,18.9079,19100
2021-06-07,20.32,20.34,20.3,20.3,18.8781,8700
2021-06-08,20.27,20.35,20.27,20.33,18.906,59600
2021-06-09,20.34,20.34,20.31,20.31,18.8874,102500
2021-06-10,20.39,20.45,20.36,20.436,19.0046,69700
2021-06-11,20.39,20.415,20.33,20.415,18.985,5500
2021-06-14,20.46,20.46,20.38,20.455,19.0222,14900
2021-06-15,20.46,20.46,20.37,20.417,18.9869,13300
2021-06-16,20.4,20.433,20.281,20.32,18.8967,15900
2021-06-17,20.342,20.359,20.336,20.336,18.9116,2900
2021-06-18,19.91,20.17,19.91,20.08,18.6735,10900
2021-06-21,20.06,20.33,20.06,20.295,18.8734,21600
2021-06-22,20.385,20.46,20.35,20.416,18.986,4700
2021-06-23,20.36,20.39,20.35,20.381,18.9534,4700
2021-06-24,20.53,20.53,20.43,20.491,19.0557,5100
2021-06-25,20.49,20.6,20.48,20.587,19.145,400700
2021-06-28,20.56,20.6,20.56,20.6,19.1571,700
2021-06-29,20.56,20.65,20.53,20.61,19.1664,3800
2021-06-30,20.625,20.66,20.62,20.645,19.1989,7400
2021-07-01,20.69,20.772,20.66,20.728,19.2761,2000
2021-07-02,20.875,20.92,20.875,20.88,19.4175,1900
2021-07-06,20.73,20.88,20.73,20.846,19.3859,6300
2021-07-07,20.85,20.98,20.85,20.915,19.45,6300
2021-07-08,20.77,20.79,20.735,20.741,19.2882,17900
2021-07-09,20.94,21.01,20.94,20.978,19.5086,7500
2021-07-12,21.005,21.035,21.0,21.035,19.5616,2300
2021-07-13,21.06,21.06,20.954,20.964,19.4956,11900
2021-07-14,21.04,21.04,20.983,20.983,19.5133,7500
2021-07-15,20.98,20.98,20.895,20.91,19.4454,8300
2021-07-16,20.757,20.757,20.757,20.757,19.3031,600
2021-07-19,20.48,20.48,20.35,20.454,19.0213,7000
2021-07-20,20.74,20.767,20.74,20.767,19.3124,1900
2021-07-21,20.865,20.92,20.859,20.883,19.4203,4300
2021-07-22,20.91,20.95,20.91,20.921,19.4556,800
2021-07-23,21.12,21.16,21.12,21.121,19.6416,800
2021-07-26,21.125,21.2,21.105,21.166,19.6834,2500
2021-07-27,21.1,21.116,20.98,21.059,19.5839,5200
2021-07-28,21.04,21.1,21.04,21.077,19.6007,7900
2021-07-29,21.17,21.175,21.17,21.175,19.6918,10400
2021-07-30,21.14,21.14,20.97,21.022,19.5495,10800
2021-08-02,21.15,21.16,20.997,20.997,19.5263,700
2021-08-03,21.1,21.149,21.05,21.149,19.6676,3300
2021-08-04,21.068,21.1,21.02,21.06,19.5849,29200
