Date,Open,High,Low,Close,AdjClose,Volume
2022-10-11,20.04,20.23,19.93,19.933,19.1187,502200
2022-10-12,19.96,19.98,19.829,19.829,19.0189,109500
2022-10-13,21.0,21.0,19.38,20.3,19.4707,105200
2022-10-14,20.64,20.64,19.72,19.77,18.9623,51000
2022-10-17,19.97,20.25,19.97,20.21,19.3843,22200
2022-10-18,20.35,20.664,20.24,20.45,19.6145,215300
2022-10-19,20.49,20.49,20.12,20.314,19.4841,132300
2022-10-20,20.23,20.39,19.94,20.03,19.2117,77400
2022-10-21,20.07,20.41,19.87,20.373,19.5407,85600
2022-10-24,20.41,20.77,20.33,20.713,19.8668,88000
2022-10-25,20.71,21.21,20.71,21.16,20.2955,99400
2022-10-26,21.5,21.51,21.12,21.159,20.2946,177900
2022-10-27,21.445,21.47,21.28,21.293,20.4231,26300
2022-10-28,21.48,21.833,21.45,21.833,20.941,10500
2022-10-31,21.84,21.84,21.57,21.624,20.7406,10200
2022-11-01,21.67,21.93,21.649,21.649,20.7645,19300
2022-11-02,21.69,21.69,21.2,21.211,20.3444,3900
2022-11-03,21.13,21.375,21.0,21.247,20.379,13800
2022-11-04,21.3,21.72,21.22,21.483,20.6053,6200
2022-11-07,21.57,21.71,21.481,21.665,20.7799,3900
2022-11-08,21.9,22.02,21.66,21.8,20.9094,22000
2022-11-09,21.85,21.85,21.298,21.298,20.4279,7800
2022-11-10,21.35,22.47,21.35,22.47,21.552,8500
2022-11-11,22.55,22.68,22.45,22.63,21.7055,5000
2022-11-14,22.71,22.71,22.33,22.33,21.4177,38200
2022-11-15,22.4,22.88,22.4,22.61,21.6863,19000
2022-11-16,22.56,22.56,22.37,22.439,21.5223,18300
2022-11-17,22.34,22.34,22.11,22.31,21.3985,14300
2022-11-18,22.35,22.46,22.131,22.36,21.4465,5800
2022-11-21,22.34,22.36,22.24,22.3,21.3889,6000
2022-11-22,22.35,22.63,22.35,22.625,21.7007,10100
2022-11-23,22.8,22.84,22.68,22.83,21.8973,6800
2022-11-25,22.885,22.885,22.856,22.856,21.9222,300
2022-11-28,22.775,22.8,22.483,22.5,21.5808,14900
2022-11-29,22.79,22.79,22.44,22.51,21.5904,16400
2022-11-30,22.5,23.202,22.45,23.202,22.2541,5400
2022-12-01,23.52,23.52,23.08,23.12,22.1754,16700
2022-12-02,22.91,23.18,22.89,23.16,22.2138,6300
2022-12-05,22.91,22.97,22.75,22.79,21.8589,15800
2022-12-06,23.03,23.03,22.41,22.52,21.6,17000
2022-12-07,22.593,22.593,22.46,22.489,21.5702,5000
2022-12-08,22.51,22.73,22.51,22.7,21.7726,5500
2022-12-09,22.69,22.879,22.64,22.64,21.7151,6500
2022-12-12,22.76,22.85,22.62,22.82,21.8877,20500
2022-12-13,23.29,23.31,22.9,22.93,21.9932,5200
2022-12-14,22.87,23.01,22.56,22.72,21.7918,10000
2022-12-15,22.4,22.45,22.14,22.218,21.3103,17600
2022-12-16,22.05,22.11,21.85,21.965,21.0676,8900
2022-12-19,22.21,22.21,21.73,21.79,20.8998,10800
2022-12-20,21.89,21.89,21.69,21.69,20.8039,12900
2022-12-21,22.08,22.18,21.99,22.1,21.1971,6600
2022-12-22,22.08,22.08,21.39,21.64,20.7954,18800
2022-12-23,21.88,21.88,21.565,21.77,20.9204,12500
2022-12-27,21.96,21.96,21.6,21.61,20.7666,2800
2022-12-28,21.6,21.67,21.37,21.465,20.6273,12100
2022-12-29,21.41,21.7,21.41,21.677,20.831,3700
2022-12-30,21.36,21.64,21.36,21.61,20.7666,2400
2023-01-03,21.9,22.15,21.25,21.475,20.6369,6700
2023-01-04,21.61,21.94,21.61,21.94,21.0837,2700
2023-01-05,21.621,21.75,21.621,21.69,20.8435,9100
2023-01-06,21.99,22.33,21.99,22.25,21.3816,4200
2023-01-09,22.52,22.71,22.378,22.378,21.5046,13800
2023-01-10,22.45,22.528,22.349,22.528,21.6488,1300
2023-01-11,22.61,22.716,22.61,22.716,21.8294,2500
2023-01-12,22.58,22.91,22.51,22.866,21.9736,4600
2023-01-13,22.91,22.946,22.64,22.946,22.0505,5700
2023-01-17,23.08,23.165,23.08,23.129,22.2263,3500
2023-01-18,23.035,23.035,22.743,22.764,21.8756,11300
2023-01-19,22.46,22.515,22.329,22.42,21.545,7200
2023-01-20,22.72,22.869,22.45,22.869,21.9765,1100
2023-01-23,22.9,23.33,22.9,23.289,22.3801,7800
2023-01-24,23.31,23.31,23.08,23.268,22.3599,9600
2023-01-25,22.913,23.26,22.913,23.236,22.3291,15700
2023-01-26,23.335,23.579,23.335,23.579,22.6588,2600
2023-01-27,23.69,23.93,23.58,23.808,22.8788,7900
2023-01-30,22.58,23.77,22.58,23.382,22.4694,7500
2023-01-31,23.441,23.707,23.441,23.707,22.7818,3800
2023-02-01,23.75,24.14,23.6,24.099,23.1585,3900
2023-02-02,24.22,24.425,24.22,24.295,23.3468,4300
2023-02-03,24.275,24.43,24.129,24.129,23.1873,1300
2023-02-06,24.09,24.22,24.09,24.136,23.194,5200
2023-02-07,24.13,24.45,24.0,24.449,23.4948,4900
2023-02-08,24.41,24.425,24.321,24.326,23.3766,4800
2023-02-09,24.6,24.62,24.169,24.219,23.2738,6400
2023-02-10,24.11,24.11,23.92,24.091,23.1508,7700
2023-02-13,24.33,24.33,24.0,24.239,23.293,5500
2023-02-14,24.56,24.59,24.16,24.589,23.6293,3700
2023-02-15,24.505,24.667,24.505,24.667,23.7043,3400
2023-02-16,24.59,24.68,24.241,24.241,23.2949,9400
2023-02-17,24.22,24.267,24.08,24.267,23.3199,2000
2023-02-21,23.93,23.93,23.718,23.718,22.7923,2200
2023-02-22,23.8,23.827,23.61,23.676,22.752,3600
2023-02-23,24.094,24.094,23.728,23.995,23.0585,14700
2023-02-24,23.55,23.73,23.55,23.686,22.7616,3400
2023-02-27,24.01,24.01,23.862,23.862,22.9307,4400
2023-02-28,24.17,24.17,23.787,23.794,22.8654,8300
2023-03-01,23.51,23.646,23.51,23.646,22.7231,1800
2023-03-02,23.57,23.679,23.3,23.66,22.7366,22500
2023-03-03,23.94,24.04,23.74,24.04,23.1018,9400
2023-03-06,24.23,24.23,23.888,23.888,22.9557,3900
2023-03-07,23.76,23.77,23.4,23.402,22.4887,5400
2023-03-08,23.395,23.493,23.335,23.493,22.5761,4000
2023-03-09,23.536,23.536,22.844,22.844,21.9524,9500
2023-03-10,22.7,22.791,22.42,22.42,21.545,4400
2023-03-13,22.0,22.64,22.0,22.402,21.5277,8400
2023-03-14,22.845,22.98,22.766,22.867,21.9745,2700
2023-03-15,22.56,22.69,22.405,22.663,21.7785,5500
2023-03-16,22.7,23.132,22.61,23.132,22.2292,3700
2023-03-17,23.099,23.1,22.791,22.901,22.0072,2000
2023-03-20,23.13,23.2,23.02,23.188,22.283,4500
2023-03-21,23.59,23.66,23.45,23.586,22.6655,3900
2023-03-22,23.599,23.65,23.153,23.153,22.2494,5600
2023-03-23,23.361,23.44,23.0,23.168,22.2638,7400
2023-03-24,22.98,23.179,22.98,23.179,22.2744,1900
2023-03-27,23.41,23.43,23.3,23.314,22.4041,3500
2023-03-28,23.24,23.32,23.17,23.301,22.3916,10800
2023-03-29,23.42,23.76,23.42,23.734,22.8077,4700
2023-03-30,24.11,24.11,23.753,23.828,22.898,3000
2023-03-31,23.984,24.26,23.984,24.26,23.3132,3900
2023-04-03,24.48,24.48,24.05,24.206,23.2613,2700
2023-04-04,24.155,24.155,23.94,24.0,23.0633,6600
2023-04-05,23.93,23.93,23.8,23.91,22.9768,7000
2023-04-06,23.81,23.9,23.799,23.865,22.9336,7400
2023-04-10,23.8,24.14,23.8,24.14,23.1979,3600
2023-04-11,24.38,24.39,24.27,24.27,23.3228,3000
2023-04-12,24.7,24.7,24.09,24.11,23.169,13400
2023-04-13,24.19,24.359,24.19,24.299,23.3507,4200
2023-04-14,24.2,24.35,24.0,24.064,23.1248,3800
2023-04-17,24.081,24.213,24.05,24.213,23.268,2500
2023-04-18,24.347,24.39,24.324,24.38,23.4285,9100
2023-04-19,24.14,24.46,24.14,24.374,23.4227,9500
2023-04-20,24.17,24.17,23.96,24.011,23.0739,3100
