Date,Open,High,Low,Close,AdjClose,Volume
2024-12-03,25.02,25.02,24.992,24.995,24.5012,42400
2024-12-04,25.0,25.07,24.976,24.976,24.4825,11300
2024-12-05,24.72,24.85,24.664,24.664,24.1767,45700
2024-12-06,24.72,24.72,24.72,24.72,24.2316,200
2024-12-09,25.4,25.4,25.075,25.075,24.5796,1700
2024-12-10,25.63,25.69,25.622,25.642,25.1354,38100
2024-12-11,25.92,26.23,25.872,26.152,25.6353,30600
2024-12-12,26.0,26.0,25.454,25.454,24.9511,5400
2024-12-13,25.14,25.14,24.919,24.919,24.4267,6700
2024-12-16,25.027,25.08,24.999,24.999,24.5051,9100
2024-12-17,24.715,24.86,24.715,24.841,24.3502,1800
2024-12-18,24.77,24.77,23.43,23.45,22.9867,900
2024-12-19,23.55,23.55,23.3,23.393,22.9308,5600
2024-12-20,23.86,24.2,23.86,24.051,23.5758,2400
2024-12-23,23.87,23.93,23.68,23.864,23.3925,271100
2024-12-24,23.92,24.13,23.897,24.085,23.6092,6100
2024-12-26,25.78,25.78,24.28,24.39,23.9081,2500
2024-12-27,24.28,24.28,23.91,23.923,23.4504,4800
2024-12-30,23.76,23.89,23.614,23.782,23.3121,1800
2024-12-31,23.83,23.99,23.83,23.954,23.4807,6200
2025-01-02,24.37,24.47,24.3,24.429,23.9464,43800
2025-01-03,24.27,24.37,24.254,24.254,23.7748,3200
2025-01-06,25.03,25.03,24.2,24.245,23.766,7600
2025-01-07,24.46,24.48,24.33,24.413,23.9307,4100
2025-01-08,24.3,24.68,24.3,24.596,24.1101,3500
2025-01-10,24.62,25.36,24.62,25.08,24.5845,17600
2025-01-13,24.445,24.64,24.445,24.575,24.0895,3900
2025-01-14,24.72,24.778,24.49,24.778,24.2885,2900
2025-01-15,24.912,25.29,24.912,25.208,24.71,6200
2025-01-16,25.61,25.695,25.582,25.634,25.1275,2200
2025-01-17,25.74,25.85,25.542,25.542,25.0374,116400
2025-01-21,26.0,26.0,25.64,25.907,25.3952,11700
2025-01-22,26.87,26.87,26.04,26.12,25.6039,11800
2025-01-23,25.69,26.19,25.69,26.069,25.554,15300
2025-01-24,25.78,26.44,25.78,26.263,25.7441,2900
2025-01-27,25.74,25.74,25.39,25.609,25.103,141100
2025-01-28,25.829,26.12,25.829,26.079,25.5638,30700
2025-01-29,25.8,26.23,25.8,26.059,25.5442,7300
2025-01-30,26.65,26.88,26.65,26.8,26.2705,3800
2025-01-31,26.74,26.92,26.477,26.477,25.9539,8300
2025-02-03,26.57,26.83,26.57,26.811,26.2813,16500
2025-02-04,26.51,27.08,26.51,27.029,26.495,9900
2025-02-05,27.5,27.5,27.11,27.166,26.6293,9000
2025-02-06,27.27,27.27,26.815,27.15,26.6136,8500
2025-02-07,27.55,27.55,27.16,27.206,26.6685,8300
2025-02-10,28.23,28.23,27.782,27.949,27.3968,8700
2025-02-11,27.95,27.95,27.72,27.812,27.2625,3600
2025-02-12,28.48,28.48,27.68,27.766,27.2174,9700
2025-02-13,27.921,28.294,27.921,28.294,27.735,4100
2025-02-14,28.45,28.45,27.418,27.418,26.8763,18900
2025-02-18,28.11,28.27,28.08,28.247,27.6889,17700
2025-02-19,28.54,28.54,28.04,28.226,27.6683,7300
2025-02-20,28.18,28.34,28.18,28.255,27.6968,4100
2025-02-21,28.16,28.23,27.99,27.996,27.4429,14200
2025-02-24,28.06,28.21,27.8,28.08,27.5252,14400
2025-02-25,28.18,28.18,26.85,27.175,26.6381,52000
2025-02-26,27.28,27.4,26.86,27.365,26.8243,21600
2025-02-27,26.99,26.99,26.49,26.518,25.9941,22500
2025-02-28,26.25,26.263,25.93,26.263,25.7441,10700
2025-03-03,26.31,26.87,26.31,26.564,26.0392,5100
2025-03-04,26.44,27.0,26.44,26.958,26.4254,5800
2025-03-05,26.87,27.13,26.87,27.13,26.594,2600
2025-03-06,26.92,27.05,26.801,26.807,26.2774,3400
