Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70
2003-05-29,2.47,2.47,2.28,2.37,2.3083,5700,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2003-05-30,2.31,2.39,2.3,2.32,2.2596,6400,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,
2003-06-02,2.32,2.45,2.32,2.44,2.3765,6300,0.0,0.0,0.0,0.0,,,,,,,78.26086956521732,,0.0,,,,0.0,0.0,,,False,False,,,
2003-06-03,2.44,2.44,2.3,2.3,2.2401,3300,0.0,0.0,0.0,0.0,,,,,,,33.0275229357798,34.86682808716705,0.0,,,,0.0,0.0,-0.029535864978903037,,False,False,,,
2003-06-04,2.35,2.4,2.35,2.4,2.3375,1900,0.0,0.0,0.0,0.0,,,,,,,58.640226628895164,57.05162320383181,0.0,,,,0.0,0.0,0.034482758620689724,,False,False,,,
2003-06-05,2.4,2.4,2.4,2.4,2.3375,0,0.0,0.0,0.0,0.0,,,,,,,58.64022662889517,57.05162320383181,0.0,,,,0.0,0.0,-0.016393442622950838,,False,False,,,
2003-06-06,2.27,2.27,2.26,2.26,2.2012,600,0.0,0.0,0.0,0.0,,,,,,,26.598136845486664,30.876564150158416,0.0,,,,0.0,0.0,-0.017391304347826098,-0.04641350210970474,False,False,,,
2003-06-09,2.3,2.3,2.26,2.26,2.2012,1400,0.0,0.0,0.0,0.0,,,,,,,26.598136845486664,30.876564150158416,0.0,,,,0.0,0.0,-0.05833333333333335,-0.025862068965517238,False,False,,,
2003-06-10,2.34,2.4,2.34,2.4,2.3375,400,0.0,0.0,0.0,0.0,,,,,,,67.07611397283958,61.92883260640933,0.0,,,,0.0,0.0,0.0,-0.016393442622950838,False,False,,,
2003-06-11,2.27,2.28,2.27,2.28,2.2207,3500,0.11000000000000014,0.0,0.0,0.0,,,,,,,39.248377033976894,40.92020244764429,0.0,,,,0.048245614035087786,0.048245614035087786,0.008849557522123908,-0.008695652173913104,False,False,,,
2003-06-12,2.26,2.26,2.15,2.2,2.1427,7600,0.1120000000000001,0.0,0.0,0.0,,,,,,,27.73995560653691,31.43971075932751,0.0,,,,0.05090909090909095,0.05090909090909095,-0.0265486725663715,-0.08333333333333326,False,False,,,
