Date,Open,High,Low,Close,AdjClose,Volume
2023-10-02,25.62,25.65,25.57,25.58,25.58,117100
2023-10-03,25.54,25.54,25.432,25.435,25.435,26500
2023-10-04,25.55,25.575,25.46,25.565,25.565,14800
2023-10-05,25.57,25.58,25.45,25.57,25.57,50200
2023-10-06,25.51,25.71,25.502,25.678,25.678,19000
2023-10-09,25.67,25.74,25.628,25.74,25.74,94900
2023-10-10,25.73,25.84,25.728,25.76,25.76,19300
2023-10-11,25.82,25.821,25.75,25.821,25.821,78500
2023-10-12,25.82,25.839,25.745,25.765,25.765,60800
2023-10-13,25.86,25.86,25.701,25.701,25.701,49200
2023-10-16,25.72,25.86,25.72,25.85,25.85,64400
2023-10-17,25.79,25.85,25.76,25.84,25.84,41500
2023-10-18,25.78,25.79,25.683,25.695,25.695,46000
2023-10-19,25.81,25.81,25.63,25.63,25.63,32700
2023-10-20,25.65,25.65,25.52,25.52,25.52,94400
2023-10-23,25.52,25.62,25.52,25.56,25.56,16700
2023-10-24,25.59,25.65,25.552,25.65,25.65,90100
2023-10-25,25.57,25.57,25.472,25.51,25.51,67100
2023-10-26,25.45,25.45,25.33,25.39,25.39,10200
2023-10-27,25.45,25.45,25.285,25.33,25.33,20600
2023-10-30,25.44,25.49,25.37,25.49,25.49,22800
2023-10-31,25.43,25.55,25.43,25.525,25.525,19000
2023-11-01,25.64,25.67,25.55,25.61,25.61,35300
2023-11-02,25.81,25.85,25.73,25.85,25.85,28700
2023-11-03,25.91,25.95,25.871,25.9,25.9,47800
2023-11-06,25.95,25.96,25.89,25.909,25.909,20500
2023-11-07,26.03,26.03,25.915,25.966,25.966,34400
2023-11-08,25.78,26.01,25.74,26.0,26.0,19900
2023-11-09,25.97,26.009,25.92,25.93,25.93,27200
2023-11-10,25.97,26.06,25.93,26.03,26.03,34500
2023-11-13,26.06,26.09,26.02,26.055,26.055,14400
2023-11-14,26.24,26.24,26.15,26.203,26.203,24300
2023-11-15,26.21,26.25,26.18,26.215,26.215,20100
2023-11-16,26.26,26.26,26.19,26.25,26.25,13700
2023-11-17,26.26,26.27,26.22,26.24,26.24,12600
2023-11-20,26.261,26.31,26.24,26.285,26.285,73200
2023-11-21,26.37,26.37,26.275,26.32,26.32,25700
2023-11-22,26.31,26.34,26.305,26.305,26.305,35500
2023-11-24,26.36,26.36,26.33,26.33,26.33,600
2023-11-27,26.33,26.37,26.302,26.355,26.355,21900
2023-11-28,26.36,26.38,26.35,26.35,26.35,34100
2023-11-29,26.4,26.41,26.353,26.365,26.365,19900
2023-11-30,26.36,26.37,26.35,26.36,26.36,13500
2023-12-01,26.39,26.41,26.35,26.385,26.385,23100
2023-12-04,26.4,26.41,26.3504,26.3802,26.3802,13261
2023-12-05,26.4,26.41,26.3501,26.3874,26.3874,11552
2023-12-06,26.42,26.42,26.37,26.4,26.4,21900
2023-12-07,26.41,26.42,26.39,26.406,26.406,7200
2023-12-08,26.47,26.47,26.42,26.45,26.45,13100
2023-12-11,26.47,26.47,26.432,26.45,26.45,17700
2023-12-12,26.46,26.49,26.44,26.48,26.48,57600
2023-12-13,26.49,26.51,26.46,26.49,26.49,40300
2023-12-14,26.505,26.56,26.48,26.48,26.48,16400
2023-12-15,26.5,26.54,26.46,26.53,26.53,19100
2023-12-18,26.452,26.538,26.452,26.505,26.505,16000
2023-12-19,26.55,26.55,26.51,26.51,26.51,4400
2023-12-20,26.54,26.55,26.5,26.52,26.52,71500
2023-12-21,26.52,26.55,26.505,26.55,26.55,66700
2023-12-22,26.6,26.6,26.52,26.55,26.55,27200
2023-12-26,26.545,26.57,26.5,26.55,26.55,7200
2023-12-27,26.55,26.57,26.501,26.52,26.52,47300
2023-12-28,26.62,26.62,26.53,26.57,26.57,122200
2023-12-29,26.61,26.74,26.53,26.59,26.59,128300
2024-01-02,26.51,26.59,26.431,26.53,26.53,411500
2024-01-03,26.51,26.53,26.41,26.46,26.46,95900
2024-01-04,26.47,26.51,26.41,26.41,26.41,146700
2024-01-05,26.46,26.5,26.42,26.45,26.45,27900
2024-01-08,26.48,26.575,26.462,26.575,26.575,24600
2024-01-09,26.61,26.61,26.5,26.57,26.57,67500
2024-01-10,26.63,26.64,26.55,26.58,26.58,88500
2024-01-11,26.73,26.73,26.52,26.64,26.64,53300
2024-01-12,26.72,26.72,26.607,26.65,26.65,45500
2024-01-16,26.67,26.67,26.558,26.61,26.61,31000
2024-01-17,26.62,26.62,26.482,26.545,26.545,19200
2024-01-18,26.63,27.01,26.569,26.65,26.65,22500
2024-01-19,26.68,26.76,26.56,26.76,26.76,21400
2024-01-22,26.84,26.84,26.75,26.79,26.79,25600
2024-01-23,26.85,26.85,26.75,26.82,26.82,28000
2024-01-24,26.888,26.97,26.81,26.81,26.81,23200
2024-01-25,26.91,26.91,26.83,26.87,26.87,108700
2024-01-26,26.92,26.92,26.82,26.86,26.86,10700
2024-01-29,26.94,26.94,26.84,26.92,26.92,33600
2024-01-30,26.96,26.98,26.862,26.92,26.92,18500
2024-01-31,26.9,27.11,26.81,26.81,26.81,23200
2024-02-01,27.4,27.4,26.81,26.9,26.9,21000
2024-02-02,26.87,26.99,26.87,26.97,26.97,54300
2024-02-05,26.95,27.21,26.8806,26.97,26.97,54179
2024-02-06,26.93,27.0104,26.93,26.99,26.99,15077
2024-02-07,26.97,27.35,26.97,27.04,27.04,29200
2024-02-08,27.09,27.09,27.01,27.06,27.06,15800
2024-02-09,27.11,27.11,27.01,27.08,27.08,47600
2024-02-12,27.14,27.14,27.0206,27.0697,27.0697,398978
2024-02-13,27.01,27.0599,26.95,27.0,27.0,20984
2024-02-14,27.1,27.1,26.987,27.08,27.08,13582
2024-02-15,27.07,27.17,27.031,27.11,27.11,39800
2024-02-16,27.07,27.13,27.067,27.09,27.09,18200
2024-02-20,27.11,27.11,27.04,27.06,27.06,22400
2024-02-21,27.08,27.1,27.02,27.09,27.09,14400
2024-02-22,27.2,27.24,27.121,27.14,27.14,6300
2024-02-23,27.17,27.22,27.155,27.16,27.16,32400
2024-02-26,27.26,27.26,27.14,27.16,27.16,65300
2024-02-27,27.28,27.28,27.167,27.21,27.21,15900
2024-02-28,27.2,27.25,27.17,27.195,27.195,9000
2024-02-29,27.28,27.63,27.17,27.22,27.22,16600
2024-03-01,27.225,27.275,27.21,27.23,27.23,41700
2024-03-04,27.28,27.29,27.18,27.2,27.2,150200
2024-03-05,27.214,27.28,27.171,27.21,27.21,7400
2024-03-06,27.17,27.28,27.17,27.21,27.21,16300
2024-03-07,27.65,27.65,27.236,27.265,27.265,15900
2024-03-08,27.2,27.33,27.2,27.24,27.24,38800
2024-03-11,27.255,27.32,27.23,27.26,27.26,15000
2024-03-12,27.285,27.319,27.231,27.319,27.319,23700
2024-03-13,27.3,27.34,27.25,27.295,27.295,16100
2024-03-14,27.37,27.37,27.251,27.302,27.302,12200
2024-03-15,27.3,27.35,27.26,27.305,27.305,35300
2024-03-18,27.2718,27.3599,27.2701,27.315,27.315,11479
2024-03-19,27.39,27.39,27.3048,27.3442,27.3442,14568
2024-03-20,27.42,27.42,27.29,27.36,27.36,27700
2024-03-21,27.45,27.57,27.32,27.32,27.32,28700
2024-03-22,27.39,27.41,27.35,27.35,27.35,17500
2024-03-25,27.49,27.49,27.34,27.3698,27.3698,43777
2024-03-26,27.4,27.41,27.35,27.35,27.35,16734
2024-03-27,27.47,27.47,27.35,27.35,27.35,53400
2024-03-28,27.44,27.45,27.36,27.41,27.41,69600
2024-04-01,27.72,27.72,27.35,27.35,27.35,195900
2024-04-02,27.37,27.37,27.28,27.31,27.31,122200
2024-04-03,27.36,27.6,27.29,27.3,27.3,28200
2024-04-04,27.4,27.449,27.21,27.21,27.21,68500
2024-04-05,27.31,27.35,27.257,27.3,27.3,43300
2024-04-08,27.41,27.41,27.3,27.34,27.34,39500
