Date,Open,High,Low,Close,AdjClose,Volume
2001-07-25,29.4772,30.9261,29.4772,29.737,25.7568,2439400
2001-07-26,28.8777,28.8777,27.9784,28.0783,24.3201,2675400
2001-07-27,28.1782,28.9876,28.1782,28.3781,24.5798,1398200
2001-07-30,28.3781,28.5279,28.3781,28.438,24.6317,766900
2001-07-31,28.438,28.6279,28.408,28.5779,24.7529,974600
2001-08-01,28.9776,29.8269,28.9776,29.4772,25.5318,1863700
2001-08-02,29.4572,29.677,28.478,28.6279,24.7961,785000
2001-08-03,28.3781,28.428,27.8784,27.9784,24.2336,1204500
2001-08-06,27.9784,28.1782,27.2789,27.7385,24.0259,1565500
2001-08-07,28.478,30.4764,28.1782,29.9169,25.9126,7815800
2001-08-08,29.677,29.727,28.0283,28.6678,24.8308,5274500
2001-08-09,28.0783,28.428,27.5287,28.3381,24.5451,2997300
2001-08-10,27.9784,28.3281,27.4088,27.9784,24.2336,3193700
2001-08-13,27.7286,27.8285,26.8292,27.2789,23.6277,4809800
2001-08-14,27.2789,28.0783,27.179,27.6786,23.9739,3667700
2001-08-15,27.7286,28.3781,27.6786,28.0583,24.3028,2622100
2001-08-16,28.0083,28.0783,27.2789,28.0783,24.3201,2132100
2001-08-17,27.6786,27.9784,26.5095,27.9784,24.2336,1747200
2001-08-20,27.6286,27.6986,26.7793,27.179,23.5412,2066600
2001-08-21,27.179,27.4188,27.0791,27.3189,23.6624,1870500
2001-08-22,27.0791,27.2389,26.3796,27.2389,23.5931,2549800
2001-08-23,27.129,27.169,26.7093,26.7293,23.1517,2343000
2001-08-24,26.2297,26.6993,26.0299,26.6694,23.0998,1909700
2001-08-27,26.5794,26.7793,26.2797,26.6394,23.0738,1461800
2001-08-28,26.0798,26.2797,25.84,25.9999,22.5199,2378300
2001-08-29,25.9999,26.7293,25.9299,26.3796,22.8488,2020500
2001-08-30,26.3796,27.2789,26.3796,26.9292,23.3248,2443000
2001-08-31,26.7793,27.179,26.4795,27.179,23.5412,1448000
2001-09-04,27.0791,27.9784,27.0691,27.7585,24.0432,1697200
2001-09-05,27.6286,27.8085,27.129,27.6286,23.9307,1655000
2001-09-06,27.5287,27.5787,26.9791,27.2189,23.5758,2030900
2001-09-07,26.4795,27.8485,26.3796,26.6394,23.0738,1748200
2001-09-10,26.4795,26.8093,26.2797,26.4196,22.8834,1020100
2001-09-17,25.0806,26.0199,24.7608,25.2305,21.8535,1665200
2001-09-18,25.2305,25.3404,24.6809,25.0806,21.7237,1687700
2001-09-19,24.7808,26.0998,24.7808,25.0007,21.6544,1494700
2001-09-20,24.9807,26.4695,24.8408,25.7301,22.2862,1993600
2001-09-21,24.9807,26.8292,24.9307,25.83,22.3728,1945900
2001-09-24,25.7801,27.0291,25.7801,26.6794,23.1084,1803600
2001-09-25,26.6794,26.9691,25.9799,26.2797,22.7623,1586600
2001-09-26,26.2297,26.9691,26.2297,26.7793,23.195,1020600
2001-09-27,26.5794,27.5787,26.5794,26.9791,23.3681,1637300
2001-09-28,26.9791,27.9784,26.9292,27.7286,24.0172,1019000
2001-10-01,27.7286,28.6378,27.4787,28.0883,24.3288,1090300
2001-10-02,28.1282,28.7278,28.0983,28.5279,24.7096,1174400
2001-10-03,28.5279,28.8777,28.3181,28.7777,24.926,814200
2001-10-04,28.7777,28.9776,28.2881,28.8377,24.9779,1239600
2001-10-05,28.6778,29.1774,28.5279,29.0275,25.1423,1076400
2001-10-08,28.8777,28.9176,28.478,28.6978,24.8567,398600
2001-10-09,28.478,28.7178,28.478,28.6878,24.8481,797100
2001-10-10,28.6279,29.2774,28.5879,28.9876,25.1077,717100
2001-10-11,28.9876,29.727,28.9876,29.3973,25.4626,1052100
2001-10-12,28.8777,29.797,28.8777,29.797,25.8088,1221500
2001-10-15,29.717,30.0268,29.5471,29.747,25.7655,720900
