Date,Open,High,Low,Close,AdjClose,Volume
1999-07-23,8.2576,8.964,8.1488,8.2576,6.7416,13917700
1999-07-26,7.1712,8.312,7.0624,7.1712,5.8545,2310400
1999-07-27,6.9808,7.6056,6.8452,6.9808,5.6993,942100
1999-07-28,6.2204,6.7908,6.0032,6.2204,5.0783,2238700
1999-07-29,6.7908,6.9536,5.5956,6.7908,5.544,716200
1999-07-30,7.4972,7.4972,6.7636,7.4972,6.1206,852400
1999-08-02,7.0624,7.4428,6.7092,7.0624,5.7658,410900
1999-08-03,6.0844,6.9808,6.0304,6.0844,4.9675,547600
1999-08-04,5.324,6.0844,5.2696,5.324,4.3465,583800
1999-08-05,5.7316,5.8672,4.672,5.7316,4.6792,470400
1999-08-06,5.4868,5.976,5.2152,5.4868,4.4796,273600
1999-08-09,5.0524,5.4328,4.9436,5.0524,4.1248,272000
1999-08-10,5.2152,5.324,4.808,5.2152,4.2578,162600
1999-08-11,5.1612,5.5412,5.1068,5.1612,4.2135,214200
1999-08-12,4.8624,5.2152,4.672,4.8624,3.9695,510900
1999-08-13,5.976,6.0304,4.8892,5.976,4.8788,604600
1999-08-16,6.5464,6.8452,5.65,6.5464,5.3445,615400
1999-08-17,6.3564,6.9536,5.7588,6.3564,5.1892,406900
1999-08-18,6.3564,6.9536,6.1932,6.3564,5.1892,800000
1999-08-19,5.9216,6.4104,5.8128,5.9216,4.8344,230800
1999-08-20,5.7856,6.0844,5.7044,5.7856,4.7235,166800
1999-08-23,5.65,5.976,5.5956,5.65,4.6126,135800
1999-08-24,5.6772,5.9216,5.65,5.6772,4.6348,139900
1999-08-25,5.4868,5.7588,5.324,5.4868,4.4796,142500
1999-08-26,5.5956,5.7588,5.1068,5.5956,4.5683,183100
1999-08-27,5.7588,5.7588,5.2152,5.7588,4.7013,75500
1999-08-30,6.1932,6.2476,5.65,6.1932,5.0562,386700
1999-08-31,5.976,6.302,5.8672,5.976,4.8788,196500
1999-09-01,5.9216,6.3564,5.7588,5.9216,4.8344,328600
1999-09-02,5.8672,6.0844,5.65,5.8672,4.7901,223400
1999-09-03,6.0304,6.1932,5.7856,6.0304,4.9231,168200
1999-09-07,5.976,6.0304,5.8128,5.976,4.8788,142300
1999-09-08,5.9216,6.628,5.8128,5.9216,4.8344,379400
1999-09-09,5.8944,6.0844,5.8128,5.8944,4.8122,191200
1999-09-10,5.8128,5.9216,5.65,5.8128,4.7457,142900
1999-09-13,5.6228,5.8672,5.5412,5.6228,4.5905,54100
1999-09-14,5.4056,5.7044,5.2968,5.4056,4.4131,94900
1999-09-15,5.5412,5.65,5.4056,5.5412,4.5239,52800
1999-09-16,5.4328,5.7588,5.3784,5.4328,4.4352,99500
1999-09-17,5.2152,5.5412,5.1612,5.2152,4.2578,160500
1999-09-20,5.0796,5.2152,4.9436,5.0796,4.1469,202100
1999-09-21,4.7808,5.0796,4.7808,4.7808,3.903,178000
1999-09-22,4.672,4.8892,4.672,4.672,3.8143,192600
1999-09-23,4.346,4.7808,4.346,4.346,3.5482,345400
1999-09-24,4.1288,4.346,3.8572,4.1288,3.3708,280300
1999-09-27,4.2376,4.5092,4.02,4.2376,3.4595,603100
1999-09-28,4.156,4.4004,4.02,4.156,3.393,64000
1999-09-29,4.1832,4.4548,4.0744,4.1832,3.4151,137000
1999-09-30,4.3188,4.346,4.156,4.3188,3.526,85100
1999-10-01,4.4548,4.4548,4.2916,4.4548,3.6369,143300
1999-10-04,4.2648,4.672,4.2376,4.2648,3.4817,147200
1999-10-05,4.2376,4.4004,4.2104,4.2376,3.4595,107300
1999-10-06,4.2376,4.4004,4.1288,4.2376,3.4595,159300
1999-10-07,4.4548,4.4548,4.2376,4.346,3.5482,108900
1999-10-08,4.346,4.4548,4.2916,4.346,3.5482,127700
1999-10-11,4.3732,4.998,4.346,4.5364,3.7034,799900
1999-10-12,4.5772,4.5904,4.2376,4.2916,3.5038,149800
1999-10-13,4.3188,4.4004,4.2376,4.2648,3.4817,60800
1999-10-14,4.346,4.346,4.02,4.1288,3.3708,117700
1999-10-15,4.1016,4.4548,3.6944,4.2376,3.4595,424300
1999-10-18,4.4004,4.4004,3.8028,3.9928,3.2599,166800
1999-10-19,4.3324,4.4004,4.1016,4.2376,3.4595,190300
1999-10-20,4.2648,4.346,4.2104,4.2648,3.4817,139000
1999-10-21,4.1832,4.1832,3.9116,3.9116,3.1934,241900
1999-10-22,4.02,4.02,3.9116,3.9388,3.2155,191200
1999-10-25,3.9928,4.2376,3.8028,4.0472,3.3043,114300
1999-10-26,4.02,4.0472,3.9116,3.9928,3.2599,51200
1999-10-27,3.9388,4.0744,3.6944,3.8572,3.149,105600
1999-10-28,3.8844,3.9116,3.6944,3.7756,3.0825,69900
1999-10-29,3.8572,4.02,3.7484,3.7756,3.0825,100000
