Date,Open,High,Low,Close,AdjClose,Volume
2011-07-20,60.0048,60.0048,32.5026,35.7728,11.1546,5849939
2011-07-21,38.363,39.0031,33.0026,33.2026,10.3532,978538
2011-07-22,33.2426,35.2528,33.0026,34.2727,10.6868,376794
2011-07-25,34.0027,35.8028,34.0027,35.6028,11.1016,266619
2011-07-26,36.4429,36.6029,34.7528,36.4349,11.3611,296982
2011-07-27,36.4229,36.4229,33.2626,33.5667,10.4667,253780
2011-07-28,33.8227,34.9454,33.7527,33.9027,10.5715,160050
2011-07-29,32.5026,33.0026,31.9025,32.2226,10.0476,166257
2011-08-01,32.9626,32.9626,30.1724,30.2224,9.4239,129743
2011-08-02,30.3024,30.3025,27.1122,27.3522,8.5289,330016
2011-08-03,27.8222,28.6223,27.3951,28.4773,8.8797,198216
2011-08-04,28.7523,29.6624,28.2522,28.4123,8.8594,231213
2011-08-05,28.8823,29.2423,25.122,28.1622,8.7815,208150
2011-08-08,25.662,27.0021,25.252,26.0921,8.136,240633
2011-08-09,26.0121,28.2322,26.0121,27.9622,8.7191,156355
2011-08-10,27.6022,28.0022,26.8321,27.3722,8.5351,60880
2011-08-11,27.9722,28.3222,26.7621,27.0021,8.4198,85842
2011-08-12,27.3822,27.5422,26.4321,26.6521,8.3106,110184
2011-08-15,26.9721,26.9721,25.252,25.522,7.9582,124090
2011-08-16,25.182,25.492,23.602,24.1019,7.5154,164506
2011-08-17,24.0319,24.2519,23.8119,24.1419,7.5279,59478
2011-08-18,23.8919,24.602,23.4319,23.9919,7.4811,68098
2011-08-19,23.5019,24.5419,23.5019,24.2019,7.5466,133283
2011-08-22,24.772,24.772,23.9019,23.9619,7.4717,88438
2011-08-23,24.1219,24.5519,23.5819,24.4819,7.6339,66593
2011-08-24,24.4919,26.9521,24.4919,26.2621,8.189,171506
2011-08-25,27.1021,34.1327,27.1021,30.2524,9.4332,593796
2011-08-26,31.0625,32.0025,28.0622,31.3825,9.7856,322435
2011-08-29,32.2526,33.8027,31.2825,33.0426,10.3033,287374
2011-08-30,33.4827,36.4529,32.8426,35.1328,10.955,616050
2011-08-31,36.2329,37.693,35.2728,37.1829,11.5943,413612
2011-09-01,37.553,37.992,36.2029,36.9029,11.507,209588
2011-09-02,35.5628,36.003,34.6627,34.9428,10.8958,171563
2011-09-06,32.8226,34.6527,32.0425,34.2527,10.6806,140599
2011-09-07,35.1528,36.4929,34.3612,36.0929,11.2544,126791
2011-09-08,36.0029,36.1219,34.6627,35.7228,11.139,59706
2011-09-09,34.7928,37.1328,34.4427,36.9329,11.5163,169671
2011-09-12,36.4829,37.493,35.5228,37.278,11.6239,178748
2011-09-13,37.503,37.503,36.0129,37.483,11.6879,87926
2011-09-14,37.453,37.453,34.5027,34.5127,10.7617,259857
2011-09-15,34.7528,34.7528,30.4024,30.8524,9.6203,264970
2011-09-16,30.9525,30.9525,28.5023,29.1923,9.1027,241486
2011-09-19,28.5023,29.9324,28.5023,28.7623,8.9686,90914
2011-09-20,28.7523,29.8264,26.7021,26.7721,8.348,123290
