Date,Open,High,Low,Close,AdjClose,Volume
2021-01-11,10.01,10.55,9.91,10.55,10.0183,206200
2021-01-12,10.94,10.94,10.35,10.45,9.9234,43293
2021-01-13,10.45,10.45,10.12,10.44,9.9139,96840
2021-01-14,10.95,10.95,10.05,10.37,9.8474,82356
2021-01-15,10.35,10.4632,10.25,10.31,9.7904,4756
2021-01-19,10.75,10.75,10.25,10.37,9.8474,42169
2021-01-20,10.4,10.46,10.25,10.46,9.9329,272751
2021-01-21,10.51,10.8,10.41,10.65,10.1133,43323
2021-01-22,10.5,10.745,10.5,10.65,10.1133,11408
2021-01-25,10.65,10.7461,10.5,10.52,9.9898,324909
2021-01-26,10.52,10.58,10.22,10.39,9.8664,215951
2021-01-27,10.29,10.37,10.25,10.3,9.7809,163712
2021-01-28,10.3,10.39,10.29,10.35,9.8284,28143
2021-01-29,10.35,10.4069,10.31,10.35,9.8284,143093
2021-02-01,10.35,10.51,10.35,10.47,9.9424,8685
2021-02-02,10.55,10.694,10.51,10.65,10.1133,6583
2021-02-03,10.69,10.69,10.53,10.59,10.0563,26153
2021-02-04,10.52,10.67,10.45,10.51,9.9803,382830
2021-02-05,10.51,10.7499,10.5,10.5,9.9709,96372
2021-02-08,10.59,10.675,10.5,10.56,10.0278,150392
2021-02-09,10.58,10.58,10.46,10.53,9.9993,66377
2021-02-10,10.53,10.81,10.52,10.75,10.2083,156978
2021-02-11,10.85,10.85,10.52,10.65,10.1133,133464
2021-02-12,10.56,10.8484,10.52,10.59,10.0563,144604
2021-02-16,10.78,10.78,10.51,10.52,9.9898,137631
2021-02-17,10.57,10.61,10.5,10.55,10.0183,87636
2021-02-18,10.51,10.7,10.49,10.67,10.1323,61494
2021-02-19,10.69,10.9965,10.6798,10.71,10.1703,105377
2021-02-22,10.8,10.88,10.52,10.52,9.9898,93620
2021-02-23,10.48,10.6,10.4,10.57,10.0373,188763
2021-02-24,10.57,10.64,10.45,10.5,9.9709,118151
2021-02-25,10.61,10.63,10.45,10.54,10.0088,117687
2021-02-26,10.5,10.55,10.42,10.47,9.9424,146130
2021-03-01,10.52,10.57,10.3,10.3,9.7809,38417
2021-03-02,10.3,10.325,9.9,10.08,9.572,115625
2021-03-03,10.1,10.15,10.1,10.1,9.591,59908
2021-03-04,10.11,10.17,9.85,10.0,9.496,158824
2021-03-05,10.03,10.18,9.93,10.04,9.534,111766
2021-03-08,9.9701,10.11,9.9701,10.02,9.515,41161
2021-03-09,10.09,10.15,9.91,9.92,9.4201,57856
2021-03-10,10.0,10.14,9.9,9.92,9.4201,132181
2021-03-11,9.98,10.12,9.93,9.97,9.4676,19559
2021-03-12,10.08,10.08,9.92,9.92,9.4201,252576
2021-03-15,9.93,10.01,9.92,9.92,9.4201,440014
2021-03-16,9.94,9.96,9.92,9.92,9.4201,46649
2021-03-17,9.92,9.9459,9.84,9.88,9.3821,71337
2021-03-18,9.86,9.932,9.84,9.86,9.3631,82761
2021-03-19,9.86,9.902,9.86,9.87,9.3726,73332
2021-03-22,9.85,9.98,9.85,9.85,9.3536,22484
2021-03-23,9.85,9.91,9.74,9.76,9.2681,48698
2021-03-24,9.79,9.85,9.75,9.76,9.2681,50952
2021-03-25,9.6495,9.78,9.6495,9.67,9.1827,13103
2021-03-26,9.7,9.87,9.7,9.8,9.3061,99725
2021-03-29,9.8,9.85,9.77,9.79,9.2966,2964
2021-03-30,9.89,9.89,9.7701,9.82,9.3251,29489
2021-03-31,9.78,9.84,9.75,9.75,9.2586,39976
2021-04-01,9.8,9.88,9.8,9.8,9.3061,55402
2021-04-05,9.81,9.815,9.7901,9.8,9.3061,31401
2021-04-06,9.88,9.94,9.7852,9.92,9.4201,29485
2021-04-07,9.85,9.96,9.83,9.9,9.4011,14600
2021-04-08,9.85,10.0,9.85,9.97,9.4676,49764
2021-04-09,9.9,10.0,9.89,9.98,9.4771,206117
2021-04-12,10.1,10.1,9.91,10.0,9.496,21695
2021-04-13,10.0,10.09,9.96,9.96,9.4581,57156
2021-04-14,9.9511,9.99,9.9345,9.99,9.4866,5386
2021-04-15,9.95,10.0,9.95,9.955,9.4533,83764
2021-04-16,9.95,10.0,9.94,9.95,9.4486,487561
2021-04-19,10.0,10.0,9.83,9.86,9.3631,11724
2021-04-20,9.845,9.88,9.82,9.85,9.3536,16507
2021-04-21,9.833,9.87,9.81,9.85,9.3536,8524
2021-04-22,9.81,9.93,9.81,9.89,9.3916,35920
2021-04-23,9.94,9.94,9.85,9.87,9.3726,1848
2021-04-26,9.97,9.97,9.84,9.95,9.4486,2836
2021-04-27,9.86,9.93,9.85,9.87,9.3726,7206
2021-04-28,9.89,9.93,9.85,9.92,9.4201,22458
2021-04-29,9.87,9.92,9.84,9.87,9.3726,46602
2021-04-30,9.87,9.88,9.85,9.88,9.3821,29844
2021-05-03,9.85,9.94,9.85,9.94,9.4391,46520
2021-05-04,9.85,9.9,9.85,9.9,9.4011,38638
2021-05-05,9.86,9.87,9.86,9.87,9.3726,1810
2021-05-06,9.86,9.87,9.79,9.84,9.3441,30180
2021-05-07,9.81,9.92,9.81,9.88,9.3821,15123
2021-05-10,9.82,9.85,9.8104,9.84,9.3441,1449
2021-05-11,9.77,9.83,9.74,9.76,9.2681,19584
2021-05-12,9.76,9.79,9.75,9.75,9.2586,28099
2021-05-13,9.76,9.78,9.75,9.76,9.2681,4638
2021-05-14,9.75,9.78,9.75,9.75,9.2586,13157
2021-05-17,9.75,9.81,9.75,9.76,9.2681,11156
2021-05-18,9.77,9.78,9.76,9.78,9.2871,1251
2021-05-19,9.76,9.78,9.76,9.78,9.2871,1628
2021-05-20,9.76,9.78,9.75,9.78,9.2871,13534
2021-05-21,9.78,9.78,9.78,9.78,9.2871,188
2021-05-24,9.77,9.77,9.76,9.77,9.2776,760
2021-05-25,9.77,9.8,9.72,9.8,9.3061,17368
2021-05-26,9.8,9.8,9.75,9.77,9.2776,19618
2021-05-27,9.76,9.77,9.72,9.73,9.2397,30642
2021-05-28,9.75,9.76,9.67,9.67,9.1827,7294
