Date,Open,High,Low,Close,AdjClose,Volume
2021-05-26,20.0,21.69,19.32,21.1,21.1,16606301
2021-05-27,20.71,21.76,20.6,20.85,20.85,3134474
2021-05-28,20.2,21.5,20.15,21.01,21.01,2095796
2021-06-01,21.0,23.05,20.9408,23.05,23.05,4299609
2021-06-02,22.36,24.0,22.24,23.8,23.8,6791657
2021-06-03,23.56,24.83,23.56,24.66,24.66,1317964
2021-06-04,24.65,24.69,24.29,24.54,24.54,959399
2021-06-07,24.4,24.5,23.465,23.63,23.63,827231
2021-06-08,23.4,23.9,23.2854,23.67,23.67,660185
2021-06-09,23.6,23.67,22.5785,22.83,22.83,1052245
2021-06-10,22.89,23.19,22.27,22.47,22.47,763839
2021-06-11,22.29,22.5899,21.67,22.06,22.06,480062
2021-06-14,22.02,22.28,21.23,21.4,21.4,800282
2021-06-15,21.35,21.73,20.6,20.91,20.91,1089664
2021-06-16,20.89,21.25,20.2601,20.59,20.59,325485
2021-06-17,20.71,20.9499,20.4,20.64,20.64,331470
2021-06-18,20.41,21.76,20.41,21.26,21.26,653023
2021-06-21,22.09,23.67,22.0,23.51,23.51,2044789
2021-06-22,23.25,24.5,22.555,22.92,22.92,1024297
2021-06-23,23.01,23.44,22.61,23.39,23.39,375180
2021-06-24,23.55,23.75,23.04,23.28,23.28,320898
2021-06-25,23.0,23.3005,21.93,21.93,21.93,646433
2021-06-28,22.66,24.13,22.48,24.11,24.11,1066216
2021-06-29,24.26,25.57,23.0501,23.62,23.62,1804334
2021-06-30,23.51,25.37,23.4755,24.98,24.98,793533
2021-07-01,25.39,25.45,23.65,24.12,24.12,899885
2021-07-02,24.25,26.71,24.23,25.95,25.95,1276051
2021-07-06,25.94,26.33,24.47,25.47,25.47,818938
2021-07-07,24.93,25.4106,23.65,24.27,24.27,506152
2021-07-08,23.54,24.01,22.8,23.38,23.38,438263
2021-07-09,23.42,24.36,23.03,24.32,24.32,275979
2021-07-12,24.32,25.5,23.85,25.17,25.17,411434
2021-07-13,25.17,25.8,24.81,24.97,24.97,342883
2021-07-14,25.02,25.35,24.82,24.91,24.91,388267
2021-07-15,24.68,24.81,24.12,24.61,24.61,372973
2021-07-16,24.62,24.7973,24.3,24.49,24.49,221203
2021-07-19,23.94,24.01,22.45,23.0,23.0,699431
2021-07-20,22.93,23.79,22.66,23.6,23.6,223758
2021-07-21,23.8,24.56,23.76,24.35,24.35,295475
2021-07-22,24.27,24.36,23.74,24.35,24.35,124677
2021-07-23,24.43,25.39,24.3917,24.97,24.97,870206
2021-07-26,24.97,26.92,24.804,26.0,26.0,1509678
2021-07-27,25.93,26.1751,25.18,26.0,26.0,725828
2021-07-28,26.25,26.61,25.71,25.95,25.95,243853
2021-07-29,26.0,26.64,25.93,26.02,26.02,359779
2021-07-30,26.0,26.27,25.75,26.08,26.08,737226
2021-08-02,26.2,27.0,26.11,26.72,26.72,463076
2021-08-03,26.62,29.07,25.9134,27.25,27.25,1879250
2021-08-04,27.19,27.94,27.19,27.67,27.67,414819
2021-08-05,27.94,27.97,26.13,26.56,26.56,409340
2021-08-06,26.78,27.9,26.4483,27.57,27.57,230099
2021-08-09,27.77,28.26,27.32,28.0,28.0,564990
2021-08-10,28.34,28.39,27.36,27.37,27.37,465889
2021-08-11,27.27,28.76,27.27,28.73,28.73,464590
2021-08-12,28.9,29.85,28.68,29.04,29.04,2272387
2021-08-13,30.72,32.0,27.06,28.9,28.9,3094144
2021-08-16,28.5,28.5,24.93,25.97,25.97,1972400
2021-08-17,25.65,25.91,24.31,25.03,25.03,1150725
2021-08-18,24.77,25.0199,23.65,23.73,23.73,738151
2021-08-19,23.39,24.19,22.73,23.82,23.82,748998
2021-08-20,24.07,25.42,24.07,25.17,25.17,710686
2021-08-23,25.59,26.09,25.25,26.0,26.0,501859
2021-08-24,26.08,26.44,25.425,25.61,25.61,559733
2021-08-25,25.4,26.24,25.18,25.46,25.46,535703
2021-08-26,25.3,25.3,24.16,24.46,24.46,397672
2021-08-27,24.53,25.48,24.2711,24.9,24.9,558972
2021-08-30,25.0,25.0,24.0,24.35,24.35,420784
2021-08-31,24.26,25.38,24.01,25.19,25.19,420708
2021-09-01,25.42,26.56,25.06,25.31,25.31,772785
2021-09-02,25.45,26.59,25.08,25.95,25.95,574625
2021-09-03,25.78,26.14,25.15,25.36,25.36,229835
2021-09-07,25.28,25.6,24.1,24.17,24.17,354966
2021-09-08,24.02,24.14,23.3,23.66,23.66,535668
2021-09-09,23.83,24.7,23.66,24.63,24.63,359546
2021-09-10,24.83,25.32,24.4,25.05,25.05,475669
2021-09-13,25.0,25.6553,24.5,25.57,25.57,585990
2021-09-14,25.5,26.93,25.48,26.22,26.22,1490783
2021-09-15,26.21,26.37,25.487,26.33,26.33,1152443
2021-09-16,25.81,27.9,25.81,27.87,27.87,974507
