Date,Open,High,Low,Close,AdjClose,Volume
2025-06-02,25.77,27.79,25.7,25.82,25.82,600300
2025-06-03,25.81,25.85,25.78,25.78,25.78,240200
2025-06-04,25.88,25.88,25.79,25.826,25.826,108200
2025-06-05,25.87,25.87,25.8,25.813,25.813,73500
2025-06-06,25.87,25.88,25.82,25.86,25.86,78600
2025-06-09,25.86,25.88,25.83,25.86,25.86,46100
2025-06-10,25.89,25.89,25.82,25.88,25.88,80700
2025-06-11,25.91,25.91,25.85,25.87,25.87,47500
2025-06-12,25.89,25.92,25.88,25.9,25.9,47200
2025-06-13,25.872,25.91,25.84,25.86,25.86,56900
2025-06-16,25.89,25.92,25.87,25.887,25.887,526900
2025-06-17,25.9,25.9,25.86,25.865,25.865,36200
2025-06-18,25.89,25.91,25.86,25.875,25.875,28800
2025-06-20,25.92,25.93,25.87,25.876,25.876,180300
2025-06-23,25.885,25.93,25.88,25.92,25.92,17400
2025-06-24,25.97,26.0,25.95,25.98,25.98,17400
2025-06-25,26.01,26.01,25.96,26.01,26.01,12900
2025-06-26,26.02,26.04,26.0,26.025,26.025,73600
2025-06-27,26.04,26.069,26.04,26.06,26.06,7900
2025-06-30,26.059,26.08,26.034,26.071,26.071,5900
2025-07-01,26.05,26.09,26.04,26.066,26.066,7700
2025-07-02,26.09,26.1,26.06,26.08,26.08,2200
2025-07-03,26.074,26.12,26.074,26.1,26.1,900
2025-07-07,26.1,26.1,26.06,26.07,26.07,19000
2025-07-08,26.07,26.09,26.044,26.07,26.07,16100
2025-07-09,26.081,26.11,26.074,26.09,26.09,2500
2025-07-10,26.12,26.12,26.07,26.105,26.105,7500
2025-07-11,26.11,26.11,26.08,26.1,26.1,500
2025-07-14,26.12,26.12,26.083,26.11,26.11,1900
2025-07-15,26.13,26.13,26.09,26.092,26.092,1500
2025-07-16,26.1,26.11,26.099,26.11,26.11,200
2025-07-17,26.14,26.14,26.1,26.13,26.13,9300
2025-07-18,26.157,26.157,26.13,26.135,26.135,5800
2025-07-21,26.131,26.18,26.13,26.145,26.145,2655
2025-07-22,26.15,26.16,26.14,26.14,26.14,2357
2025-07-23,26.179,26.2,26.179,26.18,26.18,2300
2025-07-24,26.2,26.21,26.17,26.184,26.184,4500
2025-07-25,26.22,26.22,26.184,26.205,26.205,1100
2025-07-28,26.19,26.23,26.19,26.2,26.2,5500
2025-07-29,26.24,26.24,26.205,26.205,26.205,2300
2025-07-30,26.23,26.23,26.18,26.189,26.189,7900
2025-07-31,26.22,26.22,26.17,26.171,26.171,2700
2025-08-01,26.16,26.17,26.15,26.16,26.16,7300
2025-08-04,26.21,26.24,26.19,26.24,26.24,2200
2025-08-05,26.23,26.23,26.2,26.2,26.2,2606
