Date,Open,High,Low,Close,AdjClose,Volume
2023-03-28,8.0,10.29,7.55,7.95,0.3975,6410000
2023-03-29,7.8,7.934,7.4,7.934,0.3967,1646000
2023-03-30,7.85,7.982,7.444,7.65,0.3825,194000
2023-03-31,7.42,7.74,7.38,7.45,0.3725,380000
2023-04-03,7.46,7.77,7.38,7.5,0.375,1644000
2023-04-04,7.414,7.95,6.21,7.29,0.3645,1446000
2023-04-05,7.17,7.48,6.826,7.48,0.374,876000
2023-04-06,7.26,7.66,7.0,7.35,0.3675,790000
2023-04-10,7.5,7.5,6.916,7.33,0.3665,438000
2023-04-11,7.17,7.48,6.86,7.38,0.369,2882000
2023-04-12,7.04,7.31,6.77,7.0,0.35,710000
2023-04-13,7.0,7.0,7.0,7.0,0.35,4000
2023-04-14,6.772,6.99,6.772,6.99,0.3495,36000
2023-04-17,7.14,7.75,7.14,7.75,0.3875,1036000
2023-04-18,7.75,7.8,7.0,7.6,0.38,386000
2023-04-19,7.31,7.7,7.04,7.44,0.372,82000
2023-04-20,6.65,8.19,6.65,7.6,0.38,284000
2023-04-21,7.56,7.56,7.31,7.32,0.366,20000
2023-04-24,7.63,7.63,7.38,7.48,0.374,26000
2023-04-25,7.19,7.65,7.17,7.42,0.371,40000
2023-04-26,7.3,7.59,7.1,7.38,0.369,366000
2023-04-27,7.15,7.23,6.69,7.15,0.3575,124000
2023-04-28,7.1,7.68,7.05,7.63,0.3815,88000
2023-05-01,8.0,9.75,7.6,9.6,0.48,8934000
2023-05-02,9.41,9.42,5.4,5.88,0.294,4054000
2023-05-03,5.41,5.95,5.15,5.5,0.275,888000
2023-05-04,5.1,5.78,5.05,5.6,0.28,550000
2023-05-05,5.6,6.35,5.3,5.7,0.285,1402000
2023-05-08,5.9,5.9,5.06,5.6,0.28,1272000
2023-05-09,5.35,5.826,5.25,5.698,0.2849,822000
2023-05-10,5.68,5.75,5.45,5.59,0.2795,560000
2023-05-11,5.62,6.2,5.54,5.54,0.277,1064000
2023-05-12,5.55,5.696,5.35,5.568,0.2784,286000
2023-05-15,5.41,5.79,5.2,5.58,0.279,618000
2023-05-16,5.55,5.68,5.3,5.58,0.279,190000
2023-05-17,5.4,5.61,5.282,5.558,0.2779,118000
2023-05-18,5.28,5.6,5.26,5.4,0.27,308000
2023-05-19,5.5,5.5,4.84,5.4,0.27,282000
2023-05-22,5.3,5.39,5.01,5.37,0.2685,300000
2023-05-23,5.188,5.45,5.1,5.45,0.2725,190000
2023-05-24,5.43,7.04,5.4,5.97,0.2985,1542000
2023-05-25,5.4,5.85,5.35,5.5,0.275,362000
2023-05-26,5.6,5.934,5.31,5.7,0.285,488000
2023-05-30,5.88,6.47,5.62,5.674,0.2837,252000
2023-05-31,6.09,6.362,5.47,5.722,0.2861,364000
2023-06-01,5.95,6.5,5.95,6.45,0.3225,326000
2023-06-02,6.05,6.55,6.002,6.55,0.3275,240000
2023-06-05,6.55,6.74,6.14,6.72,0.336,116000
2023-06-06,6.72,7.998,6.55,7.65,0.3825,738000
2023-06-07,7.28,8.97,7.198,8.02,0.401,1908000
2023-06-08,7.7,8.47,7.7,8.24,0.412,462000
2023-06-09,8.01,8.8,7.96,8.53,0.4265,1004000
2023-06-12,8.53,20.8,8.52,13.2,0.66,113476000
2023-06-13,10.56,11.21,8.75,9.11,0.4555,6854000
2023-06-14,8.57,9.13,8.15,8.87,0.4435,1784000
2023-06-15,8.79,9.18,8.52,8.8,0.44,580000
2023-06-16,8.862,10.26,8.36,9.41,0.4705,1694000
2023-06-20,9.82,12.28,9.66,10.39,0.5195,2028000
2023-06-21,10.39,12.87,10.36,11.14,0.557,3618000
2023-06-22,11.14,12.27,11.01,11.17,0.5585,1412000
2023-06-23,11.26,11.55,10.53,10.81,0.5405,1148000
2023-06-26,11.44,11.97,11.09,11.4,0.57,268000
2023-06-27,11.05,11.93,11.05,11.84,0.592,246000
2023-06-28,11.34,11.9,11.31,11.9,0.595,188000
2023-06-29,11.45,12.2,10.85,11.89,0.5945,1524000
2023-06-30,11.38,11.65,11.1,11.41,0.5705,216000
2023-07-03,11.21,11.35,10.45,10.8,0.54,1874000
2023-07-05,11.0,11.104,10.06,10.87,0.5435,1868000
2023-07-06,10.79,10.85,10.41,10.71,0.5355,1904000
2023-07-07,10.36,11.8,10.36,11.08,0.554,2190000
2023-07-10,10.81,11.31,10.81,11.12,0.556,1900000
2023-07-11,11.0,11.04,10.53,10.95,0.5475,1916000
2023-07-12,10.95,11.18,10.9,11.18,0.559,2084000
2023-07-13,10.93,11.15,10.85,10.93,0.5465,1612000
2023-07-14,10.9,10.9,9.89,10.56,0.528,1124000
2023-07-17,10.768,11.17,10.64,10.808,0.5404,1786000
2023-07-18,10.8,11.18,10.75,10.81,0.5405,2030000
2023-07-19,10.89,11.0,10.65,10.8,0.54,1546000
2023-07-20,10.8,10.99,10.56,10.6,0.53,1026000
2023-07-21,10.8,11.12,10.6,10.75,0.5375,2746000
2023-07-24,10.856,11.19,10.7,10.77,0.5385,2054000
2023-07-25,10.8,10.95,10.66,10.85,0.5425,1868000
2023-07-26,10.93,10.944,10.7,10.7,0.535,1874000
2023-07-27,10.73,11.154,10.0,10.77,0.5385,2682000
2023-07-28,10.8,10.85,10.56,10.56,0.528,1802000
2023-07-31,10.79,15.74,10.672,14.23,0.7115,3712000
2023-08-01,13.81,13.992,12.0,13.01,0.6505,2108000
2023-08-02,12.52,13.24,12.51,13.0,0.65,1874000
2023-08-03,12.72,13.15,11.33,12.6,0.63,2062000
2023-08-04,12.37,13.15,11.05,12.51,0.6255,7368000
2023-08-07,12.77,13.79,11.694,12.69,0.6345,5708000
2023-08-08,12.48,12.968,10.56,10.68,0.534,5330000
2023-08-09,11.5,11.8,9.81,10.15,0.5075,5910000
2023-08-10,10.31,10.75,9.82,10.19,0.5095,6262000
2023-08-11,10.1,11.53,10.092,10.65,0.5325,6118000
2023-08-14,11.15,11.19,10.65,10.65,0.5325,5542000
2023-08-15,10.95,11.9,10.8,11.83,0.5915,5524000
2023-08-16,11.614,12.05,11.11,11.43,0.5715,948000
2023-08-17,11.8,13.11,11.22,12.5,0.625,5498000
2023-08-18,11.83,13.5,11.83,12.87,0.6435,3540000
2023-08-21,12.51,14.98,12.24,14.292,0.7146,5356000
2023-08-22,14.29,15.39,13.51,13.6,0.68,4954000
2023-08-23,13.76,14.55,10.5,11.11,0.5555,7792000
2023-08-24,11.11,12.09,10.5,10.89,0.5445,6006000
2023-08-25,11.4,11.62,9.61,10.79,0.5395,6190000
2023-08-28,11.67,11.93,10.514,11.91,0.5955,5520000
2023-08-29,11.76,13.32,11.346,13.28,0.664,5260000
2023-08-30,12.77,14.2,12.77,13.99,0.6995,4866000
2023-08-31,13.8,14.43,11.7,13.13,0.6565,6008000
2023-09-01,12.374,14.18,12.374,13.992,0.6996,4768000
2023-09-05,13.7,14.1,12.862,12.93,0.6465,5610000
2023-09-06,13.05,13.89,11.3,11.61,0.5805,6664000
2023-09-07,11.89,12.16,9.84,10.6,0.53,6238000
2023-09-08,10.71,11.3,9.7,10.53,0.5265,6330000
2023-09-11,10.67,11.216,10.556,10.94,0.547,6230000
2023-09-12,10.73,11.28,10.42,10.97,0.5485,6630000
2023-09-13,10.83,11.27,10.83,11.22,0.561,6244000
2023-09-14,11.1,16.0,11.08,13.25,0.6625,7712000
2023-09-15,12.6,14.88,12.55,14.88,0.744,5500000
2023-09-18,14.6,15.39,13.75,15.1,0.755,5406000
2023-09-19,14.86,17.294,14.3,16.86,0.843,3656000
2023-09-20,16.87,17.3,16.644,17.01,0.8505,914000
2023-09-21,17.0,17.0,15.96,16.05,0.8025,982000
2023-09-22,15.98,19.0,15.98,18.78,0.939,2422000
2023-09-25,17.95,18.684,17.8,18.28,0.914,806000
2023-09-26,17.55,18.31,16.18,16.87,0.8435,1516000
2023-09-27,16.862,19.35,16.78,19.18,0.959,892000
2023-09-28,18.8,23.97,18.8,22.45,1.1225,982000
2023-09-29,23.0,25.63,22.65,23.4,1.17,2124000
2023-10-02,23.82,24.296,21.63,23.36,1.168,1866000
2023-10-03,22.89,24.44,22.3,23.15,1.1575,616000
2023-10-04,23.73,28.39,23.156,28.2,1.41,2116000
2023-10-05,27.64,29.82,22.61,23.37,1.1685,4486000
2023-10-06,23.02,23.02,12.0,13.77,0.6885,4148000
2023-10-09,14.06,18.92,14.06,17.75,0.8875,2436000
2023-10-10,16.43,18.75,16.43,18.37,0.9185,560000
2023-10-11,18.0,20.5,18.0,19.1,0.955,4542000
2023-10-12,18.76,20.2,16.98,17.72,0.886,3094000
2023-10-13,18.0,20.0,17.6,18.96,0.948,2430000
2023-10-16,19.2,20.0,17.746,18.22,0.911,842000
2023-10-17,18.0,19.29,17.95,18.13,0.9065,764000
2023-10-18,18.3,20.2,18.25,18.99,0.9495,1276000
2023-10-19,18.41,19.392,16.75,17.61,0.8805,2870000
2023-10-20,17.74,18.7,10.4,10.77,0.5385,5292000
2023-10-23,11.5,12.74,10.29,10.39,0.5195,1258000
2023-10-24,10.46,11.1,8.026,9.44,0.472,1108000
2023-10-25,9.2,11.07,9.0,9.37,0.4685,534000
2023-10-26,9.28,9.99,9.2,9.366,0.4683,630000
2023-10-27,9.3,9.97,9.3,9.41,0.4705,146000
