Date,Open,High,Low,Close,AdjClose,Volume
2024-11-01,24.891,25.1,24.89,24.91,24.91,1079700
2024-11-04,24.94,24.94,24.886,24.895,24.895,447700
2024-11-05,24.892,24.97,24.892,24.97,24.97,626100
2024-11-06,25.54,26.55,24.98,25.06,25.06,186900
2024-11-07,25.11,25.12,25.029,25.1,25.1,58500
2024-11-08,25.11,25.128,25.049,25.075,25.075,77200
2024-11-11,25.11,25.11,25.05,25.075,25.075,199300
2024-11-12,25.074,25.093,24.96,25.047,25.047,642400
2024-11-13,25.03,25.12,25.03,25.075,25.075,337500
2024-11-14,25.078,25.1,25.04,25.06,25.06,26300
2024-11-15,25.11,25.11,24.975,25.013,25.013,101200
2024-11-18,25.06,25.06,24.98,25.04,25.04,163700
2024-11-19,25.1,25.1,25.0,25.01,25.01,65700
2024-11-20,25.06,25.07,24.981,25.031,25.031,20600
2024-11-21,25.03,25.08,25.003,25.05,25.05,35200
2024-11-22,25.07,25.1,25.06,25.086,25.086,28700
2024-11-25,25.13,25.13,25.1,25.105,25.105,5700
2024-11-26,25.14,25.14,25.08,25.111,25.111,13100
2024-11-27,25.09,25.14,25.082,25.14,25.14,21000
2024-11-29,25.14,25.16,25.14,25.16,25.16,1200
2024-12-02,25.142,25.174,25.11,25.166,25.166,10100
2024-12-03,25.16,25.19,25.148,25.148,25.148,1300
2024-12-04,25.1488,25.18,25.1488,25.18,25.18,514
2024-12-05,25.19,25.21,25.179,25.2,25.2,10700
2024-12-06,25.181,25.24,25.181,25.2,25.2,3600
2024-12-09,25.2,25.22,25.181,25.19,25.19,12400
2024-12-10,25.16,25.16,25.16,25.16,25.16,200
2024-12-11,25.22,25.22,25.2,25.2,25.2,1900
2024-12-12,25.21,25.23,25.15,25.15,25.15,133900
2024-12-13,25.16,25.2,25.15,25.15,25.15,51700
2024-12-16,25.18,25.203,25.17,25.17,25.17,5100
2024-12-17,25.19,25.22,25.16,25.19,25.19,6500
2024-12-18,25.21,25.21,25.074,25.074,25.074,6300
2024-12-19,25.13,25.19,25.047,25.066,25.066,3300
2024-12-20,25.08,25.35,25.08,25.11,25.11,17800
2024-12-23,25.09,25.18,25.09,25.18,25.18,2200
2024-12-24,25.21,25.21,25.16,25.19,25.19,700
2024-12-26,25.23,25.23,25.23,25.23,25.23,400
2024-12-27,25.13,25.161,25.13,25.161,25.161,400
2024-12-30,25.09,25.169,25.08,25.16,25.16,12600
2024-12-31,25.12,25.13,25.09,25.1,25.1,2600
2025-01-02,25.132,25.14,25.08,25.14,25.14,6700
2025-01-03,25.13,25.19,25.13,25.17,25.17,400
2025-01-06,25.2,25.25,25.2,25.23,25.23,25600
2025-01-07,25.25,25.25,25.05,25.156,25.156,86100
2025-01-08,25.15,25.18,25.12,25.18,25.18,7700
2025-01-10,25.07,25.13,25.06,25.11,25.11,9300
2025-01-13,25.061,25.11,25.06,25.08,25.08,1700
2025-01-14,25.11,25.13,25.08,25.13,25.13,7200
2025-01-15,25.19,25.24,25.19,25.222,25.222,4800
2025-01-16,25.2,25.23,25.2,25.221,25.221,1200
2025-01-17,25.23,25.25,25.23,25.24,25.24,300
2025-01-21,25.26,25.28,25.26,25.28,25.28,1800
2025-01-22,25.31,25.35,25.31,25.31,25.31,3800
2025-01-23,25.34,25.35,25.3,25.33,25.33,2400
2025-01-24,25.33,25.38,25.32,25.37,25.37,4400
2025-01-27,25.25,25.3,25.25,25.289,25.289,7900
2025-01-28,25.339,25.36,25.3,25.33,25.33,700
2025-01-29,25.3,25.33,25.29,25.319,25.319,1500
2025-01-30,25.31,25.336,25.31,25.336,25.336,400
2025-01-31,25.34,25.36,25.3,25.322,25.322,73000
2025-02-03,25.27,25.32,25.26,25.27,25.27,2600
2025-02-04,25.26,25.321,25.26,25.321,25.321,14300
2025-02-05,25.28,25.339,25.27,25.338,25.338,8700
2025-02-06,25.32,25.38,25.32,25.36,25.36,7500
2025-02-07,25.34,25.34,25.32,25.325,25.325,1000
2025-02-10,25.32,25.32,25.32,25.32,25.32,2500
2025-02-11,25.32,25.392,25.305,25.32,25.32,111400
2025-02-12,25.34,25.38,25.21,25.324,25.324,12000
2025-02-13,25.33,25.387,25.33,25.387,25.387,81000
2025-02-14,25.39,25.39,25.38,25.38,25.38,300
2025-02-18,25.38,25.405,25.372,25.39,25.39,3200
2025-02-19,25.449,25.449,25.429,25.429,25.429,8300
2025-02-20,25.371,25.421,25.37,25.421,25.421,9100
2025-02-21,25.424,25.424,25.35,25.35,25.35,5200
2025-02-24,25.34,25.38,25.32,25.345,25.345,6100
2025-02-25,25.29,25.36,25.29,25.338,25.338,78500
2025-02-26,25.33,25.35,25.33,25.35,25.35,3500
2025-02-27,25.3,25.3,25.28,25.28,25.28,5500
2025-02-28,25.3,25.34,25.28,25.331,25.331,3800
2025-03-03,25.35,25.37,25.21,25.245,25.245,27800
2025-03-04,25.22,25.26,25.15,25.22,25.22,10200
2025-03-05,25.23,25.34,25.18,25.261,25.261,7200
2025-03-06,25.2,25.2,25.16,25.18,25.18,700
2025-03-07,25.15,25.2,25.15,25.2,25.2,1700
2025-03-10,25.05,25.085,25.02,25.067,25.067,4000
2025-03-11,25.021,25.06,25.01,25.03,25.03,9000
2025-03-12,25.04,25.05,25.0,25.019,25.019,3500
2025-03-13,24.96,24.983,24.927,24.927,24.927,1200
2025-03-14,25.01,25.05,25.01,25.048,25.048,2900
2025-03-17,25.04,25.12,25.04,25.09,25.09,5000
2025-03-18,25.02,25.13,25.02,25.13,25.13,11300
2025-03-19,25.04,25.168,25.04,25.168,25.168,800
2025-03-20,25.1,25.1,25.075,25.09,25.09,3700
2025-03-21,25.08,25.11,25.08,25.11,25.11,1800
2025-03-24,25.2,25.23,25.2,25.213,25.213,1100
2025-03-25,25.24,25.24,25.17,25.211,25.211,20800
2025-03-26,25.24,25.24,25.15,25.15,25.15,500
2025-03-27,25.14,25.19,25.14,25.162,25.162,2200
2025-03-28,25.02,25.02,25.015,25.02,25.02,7600
2025-03-31,25.01,25.053,25.01,25.053,25.053,100
2025-04-01,25.06,25.11,25.03,25.041,25.041,16500
2025-04-02,25.04,25.125,25.04,25.119,25.119,4700
2025-04-03,24.85,24.861,24.845,24.845,24.845,6200
2025-04-04,24.45,24.75,24.45,24.603,24.603,31600
2025-04-07,24.48,24.609,24.475,24.609,24.609,17100
2025-04-08,24.68,24.68,24.55,24.589,24.589,13700
2025-04-09,24.59,24.933,24.59,24.933,24.933,8600
2025-04-10,24.9,24.9,24.74,24.78,24.78,3600
2025-04-11,24.84,24.91,24.83,24.881,24.881,2000
2025-04-14,25.06,25.06,24.886,24.886,24.886,6100
2025-04-15,24.89,24.89,24.85,24.883,24.883,600
2025-04-16,24.79,24.79,24.68,24.758,24.758,3500
2025-04-17,24.8,24.82,24.72,24.74,24.74,19800
2025-04-21,24.68,24.69,24.54,24.69,24.69,289500
2025-04-22,24.65,24.79,24.65,24.768,24.768,1800
2025-04-23,24.851,24.9,24.849,24.863,24.863,2000
2025-04-24,24.92,24.957,24.885,24.957,24.957,5400
2025-04-25,25.0,25.04,24.93,25.004,25.004,22700
2025-04-28,25.01,25.024,24.97,25.024,25.024,3000
2025-04-29,25.03,25.06,25.03,25.06,25.06,600
2025-04-30,24.914,25.11,24.914,25.11,25.11,1200
2025-05-01,25.1,25.18,25.1,25.123,25.123,1200
2025-05-02,25.22,25.22,25.16,25.195,25.195,1700
2025-05-05,25.14,25.18,25.12,25.155,25.155,288500
2025-05-06,25.115,25.149,25.1,25.124,25.124,9200
2025-05-07,25.12,25.16,25.11,25.128,25.128,1500
2025-05-08,25.15,25.22,25.14,25.165,25.165,30600
2025-05-09,25.2,25.2,25.15,25.16,25.16,8700
2025-05-12,25.3,25.341,25.3,25.341,25.341,8500
2025-05-13,25.39,25.44,25.39,25.44,25.44,4300
2025-05-14,25.43,25.43,25.403,25.403,25.403,1400
2025-05-15,25.42,25.47,25.36,25.435,25.435,3500
2025-05-16,25.472,25.51,25.42,25.49,25.49,5100
2025-05-19,25.5,25.53,25.48,25.48,25.48,6300
2025-05-20,25.51,25.51,25.45,25.485,25.485,73100
2025-05-21,25.49,25.5,25.36,25.391,25.391,14200
2025-05-22,25.44,25.49,25.36,25.375,25.375,8500
2025-05-23,25.38,25.419,25.345,25.355,25.355,4300
2025-05-27,25.479,25.48,25.42,25.469,25.469,800
2025-05-28,25.52,25.52,25.405,25.48,25.48,21900
2025-05-29,25.48,25.5,25.44,25.466,25.466,13700
2025-05-30,25.5,25.5,25.465,25.47,25.47,2000
2025-06-02,25.43,25.54,25.43,25.508,25.508,4600
2025-06-03,25.53,25.57,25.51,25.55,25.55,6300
2025-06-04,25.58,25.59,25.52,25.557,25.557,3200
2025-06-05,25.57,25.58,25.515,25.515,25.515,1100
2025-06-06,25.58,25.62,25.55,25.59,25.59,10100
2025-06-09,25.58,25.63,25.57,25.59,25.59,4700
2025-06-10,25.65,25.65,25.59,25.624,25.624,2100
2025-06-11,25.64,25.64,25.605,25.605,25.605,3400
2025-06-12,25.64,25.659,25.6,25.629,25.629,13400
2025-06-13,25.58,25.66,25.576,25.576,25.576,7000
2025-06-16,25.68,25.69,25.638,25.638,25.638,10500
2025-06-17,25.66,25.66,25.576,25.599,25.599,6100
2025-06-18,25.62,25.67,25.58,25.61,25.61,52100
2025-06-20,25.57,25.604,25.57,25.604,25.604,2600
2025-06-23,25.62,25.669,25.61,25.669,25.669,800
2025-06-24,25.75,25.75,25.7,25.72,25.72,14100
2025-06-25,25.743,25.77,25.7,25.72,25.72,7600
2025-06-26,25.77,25.865,25.75,25.865,25.865,5000
2025-06-27,25.79,25.83,25.78,25.8,25.8,12500
2025-06-30,25.85,25.935,25.8,25.935,25.935,1800
2025-07-01,25.75,25.885,25.75,25.885,25.885,8200
2025-07-02,25.83,25.88,25.8,25.83,25.83,10800
2025-07-03,25.85,25.9,25.816,25.9,25.9,9900
2025-07-07,25.89,25.9,25.84,25.855,25.855,8100
2025-07-08,25.89,25.89,25.83,25.844,25.844,4300
2025-07-09,25.89,25.9,25.869,25.875,25.875,5300
2025-07-10,25.85,25.9,25.85,25.9,25.9,9500
2025-07-11,25.895,25.94,25.876,25.91,25.91,24700
2025-07-14,25.895,25.93,25.892,25.892,25.892,22500
2025-07-15,25.95,25.95,25.91,25.91,25.91,18200
2025-07-16,25.87,26.015,25.87,25.965,25.965,4100
2025-07-17,25.921,25.95,25.9,25.95,25.95,2100
2025-07-18,25.95,26.03,25.935,26.03,26.03,3000
2025-07-21,25.99,25.99,25.95,25.99,25.99,14000
2025-07-22,25.97,25.97,25.91,25.965,25.965,2700
2025-07-23,25.99,26.001,25.99,26.001,26.001,200
2025-07-24,25.96,26.02,25.96,26.0,26.0,8800
2025-07-25,26.04,26.05,26.035,26.035,26.035,800
2025-07-28,26.06,26.06,26.011,26.045,26.045,8500
2025-07-29,26.08,26.08,26.03,26.035,26.035,8900
2025-07-30,26.01,26.026,26.0,26.026,26.026,700
2025-07-31,26.06,26.08,26.0144,26.0144,26.0144,20554
2025-08-01,25.96,25.96,25.92,25.9392,25.9392,32195
2025-08-04,26.03,26.0699,26.03,26.03,26.03,2735
2025-08-05,26.05,26.0678,26.0091,26.0091,26.0091,1749
