Date,Open,High,Low,Close,AdjClose,Volume
2024-01-11,50.31,50.31,50.27,50.271,46.3771,214400
2024-01-12,50.39,50.39,50.39,50.39,46.4869,100
2024-01-16,50.027,50.027,50.027,50.027,46.152,100
2024-01-17,49.9,49.904,49.9,49.904,46.0386,100
2024-01-18,49.81,49.814,49.81,49.814,45.9555,200
2024-01-19,49.76,49.849,49.75,49.849,45.9878,4600
2024-01-22,50.08,50.09,49.997,49.997,46.1244,2500
2024-01-23,49.878,49.878,49.878,49.878,46.0146,100
2024-01-24,49.897,49.95,49.76,49.76,45.9057,1500
2024-01-25,50.03,50.06,50.02,50.06,46.1825,6000
2024-01-26,49.92,49.99,49.913,49.94,46.0718,2500
2024-01-29,50.1,50.225,50.08,50.225,46.3347,1900
2024-01-30,50.25,50.28,50.1,50.278,46.3836,4100
2024-01-31,50.52,50.58,50.39,50.435,46.5284,3600
2024-02-01,50.75,50.9,50.63,50.835,46.8975,2800
2024-02-02,50.33,50.38,50.25,50.377,46.4749,5100
2024-02-05,50.04,50.04,49.83,49.922,46.0552,2100
2024-02-06,49.98,50.21,49.98,50.176,46.2895,1100
2024-02-07,50.05,50.12,50.05,50.07,46.1917,900
2024-02-08,49.91,49.91,49.83,49.848,45.9869,1600
2024-02-09,49.81,49.83,49.8,49.8,45.9426,5900
2024-02-12,49.86,49.89,49.85,49.85,45.9887,1800
2024-02-13,49.351,49.351,49.351,49.351,45.5284,100
2024-02-14,49.57,49.57,49.57,49.57,45.7304,300
2024-02-15,49.77,49.77,49.732,49.732,45.8799,100
2024-02-16,49.5,49.55,49.5,49.55,45.712,1100
2024-02-20,49.6,49.73,49.6,49.685,45.8365,3600
2024-02-21,49.73,49.73,49.57,49.57,45.7304,1000
2024-02-22,49.599,49.599,49.599,49.599,45.7572,0
2024-02-23,49.78,49.78,49.76,49.78,45.9242,600
2024-02-26,49.608,49.608,49.608,49.608,45.7655,0
2024-02-27,49.65,49.65,49.57,49.57,45.7304,2000
2024-02-28,49.51,49.59,49.51,49.589,45.748,4300
2024-02-29,49.7,49.78,49.64,49.69,45.8411,3700
2024-03-01,49.32,49.67,49.25,49.67,46.0899,1600
2024-03-04,49.59,49.6,49.54,49.54,45.9693,3200
2024-03-05,49.77,49.79,49.75,49.79,46.2013,2200
