Date,Open,High,Low,Close,AdjClose,Volume
2025-04-15,50.51,50.54,50.4778,50.4778,49.6612,22551
2025-04-16,50.43,50.545,50.43,50.545,49.7273,20015
2025-04-17,50.69,50.7524,50.69,50.7524,49.9314,22256
2025-04-21,50.49,50.49,50.4726,50.4726,49.6561,115
2025-04-22,50.67,50.68,50.65,50.68,49.8601,13663
2025-04-23,50.9417,50.9417,50.9417,50.9417,50.1176,43
2025-04-24,51.2437,51.2437,51.2437,51.2437,50.4147,7
2025-04-25,51.295,51.295,51.295,51.295,50.4652,0
2025-04-28,51.3101,51.3101,51.3101,51.3101,50.48,1
2025-04-29,51.4215,51.4215,51.4215,51.4215,50.5896,5
2025-04-30,51.1841,51.1841,51.1841,51.1841,50.3561,0
2025-05-01,51.218,51.218,51.218,51.218,50.3894,74
2025-05-02,51.345,51.345,51.345,51.345,50.5144,2
2025-05-05,51.3397,51.3397,51.3397,51.3397,50.5092,5
2025-05-06,51.3023,51.3023,51.3023,51.3023,50.4724,8
2025-05-07,51.3363,51.3363,51.3363,51.3363,50.5058,26
2025-05-08,51.355,51.355,51.355,51.355,50.5242,51
2025-05-09,51.4,51.4,51.4,51.4,50.5685,9
2025-05-12,51.7495,51.7495,51.7495,51.7495,50.9123,25
2025-05-13,51.8686,51.87,51.825,51.825,50.9866,468
2025-05-14,51.705,51.705,51.705,51.705,50.8686,30
2025-05-15,51.8,51.83,51.8,51.83,50.9915,264
2025-05-16,51.5,51.5466,51.5,51.5466,51.0193,4535
2025-05-19,51.48,51.525,51.48,51.525,50.998,821
2025-05-20,51.4809,51.4809,51.4809,51.4809,50.9543,51
2025-05-21,51.42,51.42,51.2194,51.2194,50.6955,201
2025-05-22,51.22,51.285,51.22,51.285,50.7604,29751
2025-05-23,51.2231,51.2231,51.2231,51.2231,50.6992,30
2025-05-27,51.57,51.57,51.57,51.57,51.0425,20
2025-05-28,51.5502,51.5502,51.5502,51.5502,51.0229,18
2025-05-29,51.59,51.59,51.56,51.5809,51.0533,200
2025-05-30,51.6328,51.6328,51.6328,51.6328,51.1047,3
2025-06-02,51.6116,51.6116,51.6116,51.6116,51.0837,1
2025-06-03,51.7,51.7,51.7,51.7,51.1712,31
2025-06-04,51.805,51.805,51.805,51.805,51.2751,14
2025-06-05,51.72,51.72,51.72,51.72,51.191,51
2025-06-06,51.7,51.7,51.7,51.7,51.1712,0
2025-06-09,51.7678,51.7678,51.7678,51.7678,51.2383,90
2025-06-10,51.82,51.82,51.82,51.82,51.29,41
2025-06-11,51.845,51.845,51.845,51.845,51.3147,97
2025-06-12,51.8463,51.8463,51.8463,51.8463,51.316,2
2025-06-13,51.755,51.755,51.755,51.755,51.2256,1
2025-06-16,51.89,51.895,51.86,51.895,51.3642,10101
2025-06-17,51.6,51.6,51.56,51.6,51.3343,239581
2025-06-18,51.66,51.68,51.66,51.68,51.4139,3806
2025-06-20,51.79,51.79,51.79,51.79,51.5234,0
2025-06-23,51.75,51.85,51.74,51.845,51.5781,41511
2025-06-24,51.9,52.0018,51.9,52.0018,51.7341,129
2025-06-25,52.02,52.02,52.0026,52.0026,51.7349,300
2025-06-26,52.155,52.155,52.155,52.155,51.8865,3
2025-06-27,52.14,52.14,52.08,52.08,51.8119,256
2025-06-30,52.21,52.22,52.21,52.215,51.9462,323
2025-07-01,52.18,52.185,52.1601,52.185,51.9163,603
2025-07-02,52.15,52.31,52.15,52.255,51.986,2505
2025-07-03,52.33,52.33,52.32,52.32,52.0506,739
2025-07-07,52.24,52.24,52.155,52.155,51.8865,9918
2025-07-08,52.1,52.11,52.095,52.095,51.8268,975
2025-07-09,52.145,52.145,52.145,52.145,51.8765,0
2025-07-10,52.13,52.14,52.12,52.13,51.8616,809
2025-07-11,51.99,52.03,51.99,52.03,51.7621,393
2025-07-14,52.1,52.1,52.1,52.1,51.8318,3
2025-07-15,52.02,52.02,51.99,51.99,51.7223,125
2025-07-16,52.1046,52.1046,52.1046,52.1046,51.8363,0
2025-07-17,51.89,51.89,51.865,51.865,51.865,200
2025-07-18,51.935,51.935,51.935,51.935,51.935,100
2025-07-21,52.02,52.03,52.02,52.03,52.03,200
2025-07-22,52.04,52.065,52.04,52.065,52.065,100
2025-07-23,52.074,52.11,52.074,52.11,52.11,1000
2025-07-24,52.09,52.09,52.09,52.09,52.09,100
2025-07-25,52.04,52.1,51.92,52.1,52.1,1400
2025-07-28,52.065,52.065,52.065,52.065,52.065,100
2025-07-29,52.105,52.105,52.105,52.105,52.105,2
2025-07-30,52.07,52.07,52.0,52.0,52.0,100
2025-07-31,52.095,52.095,52.026,52.026,52.026,400
2025-08-01,52.06,52.06,52.03,52.03,52.03,300
2025-08-04,52.195,52.195,52.195,52.195,52.195,318
2025-08-05,52.2,52.2,52.2,52.2,52.2,1
