Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2018-09-04,7.0,10.24,7.0,7.3,3018,,0.0,,,0.0,0
2018-09-05,7.5,8.6925,7.5,8.52,15200,,0.0,,,0.0,0
2018-09-06,8.74,9.5,8.3,9.03,37350,,0.0,,,0.0,0
2018-09-07,9.03,9.1197,8.4,8.5,18088,,0.0,0.1643835616438356,,0.0,0
2018-09-10,9.0,9.0,8.6288,8.7,5081,,0.0,0.021126760563380254,,0.0,0
2018-09-11,8.96,9.3999,8.8,9.15,20373,,0.0,0.013289036544850585,,0.0,0
2018-09-12,8.9708,9.295,8.9708,9.295,6696,,0.0,0.09352941176470586,,0.0,0
2018-09-13,9.25,9.25,8.5527,8.6401,11959,,0.0,-0.006885057471264222,,0.0,0
2018-09-14,8.95,9.5,8.62,9.062,17792,,0.0,-0.009617486338797887,,0.0,0
2018-09-17,9.1,9.12,8.8,8.98,5241,,1.00186,-0.03388918773534155,,0.11156570155902004,0
2018-09-18,9.05,9.05,8.182,8.85,7656,,0.9884740000000001,0.024293700304394594,,0.11169197740112996,0
2018-09-19,8.42,8.949,8.05,8.15,6206,,0.9795266,-0.10064003531229304,,0.12018731288343558,0
2018-09-20,8.4,9.12,8.0541,8.26,8158,,0.98816394,-0.08017817371937641,,0.11963243825665859,0
2018-09-21,8.15,8.6333,8.15,8.6333,2254,,0.937677546,-0.024485875706214633,,0.10861171811474175,0
2018-09-24,8.64,8.7525,8.5825,8.6,3499,,0.8609097913999999,0.05521472392638027,,0.1001057896976744,0
2018-09-25,8.4794,8.6,8.4794,8.6,495,,0.7868788122599999,0.041162227602905554,,0.09149753630930231,0
2018-09-26,8.66,9.25,8.66,9.0269,7998,,0.7731909310339999,0.045590909617411635,,0.08565409288172018,0
2018-09-27,9.06,9.4,9.06,9.2,5727,,0.7331818379306,0.06976744186046502,,0.07969367803593479,0
2018-09-28,9.2,9.2,8.85,9.001,7094,,0.6948636541375399,0.04662790697674413,,0.0771984950713854,0
2018-10-01,9.05,9.2,8.5493,9.0,2391,,0.6904472887237858,-0.002979982053639585,,0.07671636541375398,0
2018-10-02,8.98,8.98,8.34,8.5,6065,,0.6874025598514073,-0.07608695652173902,,0.08087088939428322,0
2018-10-03,8.5,8.5757,8.3,8.5757,2568,,0.6462323038662665,-0.04725030552160869,,0.07535621626995657,0
2018-10-04,8.36,8.5,8.25,8.25,5804,,0.6141790734796398,-0.08333333333333337,,0.0744459483005624,0
2018-10-05,8.3,8.75,8.25,8.7499,5134,,0.6027611661316759,0.029400000000000093,,0.06888777770393671,0
2018-10-08,8.51,9.396,8.35,9.28,13486,,0.6470850495185083,0.08212740650908956,,0.06972899240501168,0
2018-10-09,9.1,9.4,8.65,8.9,6186,,0.6573765445666575,0.07878787878787885,,0.07386253309737724,0
2018-10-10,8.5,8.5,8.3999,8.4,2495,,0.6416488901099917,-0.039989028446039354,,0.07638677263214187,0
2018-10-11,8.4,8.4,8.25,8.25,8215,,0.5924840010989926,-0.11099137931034475,,0.07181624255745364,0
2018-10-12,8.34,8.5,8.1356,8.2,5848,,0.5696756009890933,-0.07865168539325851,,0.06947263426696261,0
