Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2019-10-07,23.3,23.325,23.242,23.297,503015,,0.0,,,0.0,0
2019-10-08,23.297,23.419,23.288,23.419,435736,,0.0,,,0.0,0
2019-10-09,23.419,23.455,23.373,23.419,182457,,0.0,,,0.0,0
2019-10-10,23.419,23.436,23.279,23.288,249842,,0.0,-0.0003863158346568696,,0.0,0
2019-10-11,23.325,23.344,23.251,23.251,199326,,0.0,-0.007173662410862924,,0.0,0
2019-10-14,23.307,23.363,23.279,23.353,127651,,0.0,-0.0028182245185532917,,0.0,0
2019-10-15,23.353,23.4,23.297,23.363,177386,,0.0,0.003220542768807899,,0.0,0
2019-10-16,23.4,23.4,23.297,23.353,192388,,0.0,0.0043869080899745505,,0.0,0
2019-10-17,23.344,23.4,23.325,23.4,177202,,0.0,0.002012589388943553,,0.0,0
2019-10-18,23.409,23.409,23.334,23.344,33888,,0.10139999999999887,-0.0008132517228095493,,0.004343728581219965,0
2019-10-21,23.373,23.38,23.325,23.325,265606,,0.09675999999999894,-0.0011989894232005138,,0.004148338692390095,0
2019-10-22,23.373,23.373,23.334,23.353,145643,,0.09188399999999923,-0.0020085470085469126,,0.0039345694343338854,0
2019-10-23,23.373,23.446,23.356,23.409,165484,,0.0919955999999993,0.002784441398217874,,0.003929924388055847,0
2019-10-24,23.436,23.557,23.419,23.557,132835,,0.09759603999999934,0.009946409431939918,,0.004142974062911209,0
2019-10-25,23.52,23.566,23.465,23.557,184590,,0.09793643599999932,0.008735494369031649,,0.0041574239504181066,0
2019-10-28,23.53,23.576,23.419,23.576,352588,,0.10384279239999938,0.007134008287410953,,0.004404597573803842,0
2019-10-29,23.502,23.612,23.502,23.59,173885,,0.10445851315999939,0.0014008574945876262,,0.00442808449173376,0
2019-10-30,23.568,23.789,23.511,23.789,655393,,0.12181266184399968,0.009848452689221965,,0.005120545707848151,0
2019-10-31,23.673,23.947,23.65,23.864,2042869,,0.1393313956595998,0.012215812690872019,,0.005838559992440487,0
2019-11-01,23.752,23.789,23.659,23.696,98048,,0.14589825609364,0.004493429419245576,,0.006157083731163065,0
2019-11-04,23.688,23.715,23.603,23.663,131682,,0.1425084304842758,-0.005296565639581363,,0.006022416028579462,0
2019-11-05,23.65,23.674,23.603,23.646,91760,,0.13535758743584803,-0.009135098893731097,,0.005724333394055993,0
2019-11-06,23.641,23.743,23.603,23.688,270289,,0.13582182869226292,-0.00033760972316010385,,0.005733782028548756,0
2019-11-07,23.658,23.734,23.557,23.724,110417,,0.13993964582303695,0.0025778641761400323,,0.005898653086454095,0
2019-11-08,23.691,23.827,23.662,23.773,99083,,0.1424456812407335,0.005370887253657974,,0.00599191020236123,0
2019-11-11,23.818,23.835,23.776,23.78,23974,,0.13440111311666028,0.0038838230327593593,,0.005651855051163174,0
2019-11-12,23.771,23.835,23.752,23.78,42625,,0.12926100180499445,0.002360478839993352,,0.005435702346719699,0
2019-11-13,23.78,23.78,23.65,23.696,71908,,0.12933490162449526,-0.0032389685777982624,,0.005458090041546897,0
2019-11-14,23.706,23.743,23.659,23.724,108441,,0.12480141146204571,-0.002354920100925195,,0.005260555195668762,0
2019-11-15,23.696,23.789,23.65,23.767,33252,,0.12622127031584143,-0.0005466778805719441,,0.005310778403493981,0
2019-11-18,23.743,23.759,23.696,23.734,66481,,0.12069914328425708,0.001603646185010188,,0.005085495208740924,0
2019-11-19,23.701,23.727,23.65,23.696,52241,,0.1170292289558317,-0.001180239419996565,,0.00493877569867622,0
2019-11-20,23.688,23.835,23.65,23.789,61451,,0.12382630606024876,0.0009256532166450615,,0.0052051917298015365,0
2019-11-21,23.692,23.835,23.692,23.822,42872,,0.12574367545422396,0.003707761017948785,,0.005278468451608764,0
2019-11-22,23.812,23.835,23.715,23.835,65508,,0.12516930790880168,0.0058659689399054304,,0.005251491835905252,0
2019-11-25,23.782,23.882,23.696,23.762,70210,,0.1312523771179215,-0.0011349783513389111,,0.0055236249944416085,0
2019-11-26,23.776,23.928,23.724,23.882,83989,,0.13852713940612943,0.002518680211569313,,0.005800483184244595,0
2019-11-27,23.864,23.882,23.734,23.789,233434,,0.13947442546551644,-0.0019299349695824919,,0.005862979758103175,0
2019-11-29,23.789,23.789,23.724,23.724,73456,,0.13202698291896492,-0.001599191987206483,,0.0055651232051494234,0
2019-12-02,23.734,23.78,23.696,23.752,26609,,0.1272242846270684,-0.005443430198475929,,0.00535636092232521,0
2019-12-03,23.733,23.91,23.715,23.734,294745,,0.13400185616436158,-0.0023119929379125104,,0.00564598702976159,0
2019-12-04,23.743,23.873,23.688,23.864,71898,,0.13910167054792566,0.0059011970999831576,,0.005828933563020686,0
2019-12-05,23.873,23.9,23.734,23.882,98921,,0.1417915034931328,0.005473223307510988,,0.005937170400013935,0
2019-12-06,23.835,23.891,23.789,23.891,13713,,0.13781235314381918,0.0066149827252042215,,0.005768379437604922,0
2019-12-09,23.847,23.882,23.734,23.827,56853,,0.1397311178294369,-0.0015504525645323453,,0.005864402477417924,0
2019-12-10,23.82,23.873,23.715,23.743,65026,,0.14155800604649332,-0.005820283058370457,,0.005962094345554198,0
2019-12-11,23.743,23.743,23.678,23.743,56240,,0.13390220544184378,-0.006194801389644677,,0.0056396498101269335,0
2019-12-12,23.743,23.752,23.65,23.724,99938,,0.13071198489765942,-0.004322827044949018,,0.005509694187222198,0
2019-12-13,23.706,23.808,23.668,23.743,142540,,0.13164078640789353,0.0,,0.005544404094170642,0
2019-12-16,23.743,23.956,23.743,23.891,68107,,0.13977670776710427,0.0062334161647643604,184469.9,0.005850600969700066,0
2019-12-17,23.965,24.011,23.859,24.011,49825,,0.1409990369903936,0.012097454054965429,175406.1,0.005872268418241373,0
2019-12-18,24.096,24.096,23.91,24.04,115646,,0.14549913329135422,0.012508950006317576,169004.3,0.006052376592818396,0
2019-12-19,23.984,24.011,23.915,24.011,69301,,0.1434492199622188,0.0050228119375497204,166741.18,0.005974312605148423,0
2019-12-20,24.021,24.067,23.995,24.021,64803,,0.13630429796599683,0.00041647578193337864,163040.4,0.005674380665500888,0
2019-12-23,24.031,24.105,24.009,24.096,45436,,0.13227386816939715,0.0023294509151414733,159962.6,0.0054894533602837465,0
2019-12-24,24.086,24.113,23.975,24.077,24449,,0.13284648135245725,0.002748740160759766,157898.56,0.005517567859469919,0
2019-12-26,23.956,24.113,23.956,24.021,82464,,0.13526183321721152,0.0,156000.12,0.005630982607602162,0
2019-12-27,24.003,24.077,23.994,24.077,19006,,0.13003564989549057,-0.0007885126162018308,152532.48,0.005400824433919947,0
2019-12-30,24.087,24.2,24.087,24.163,44690,,0.12933208490594128,0.0035718735722889416,149882.24,0.005352484579975222,0
2019-12-31,24.16,24.304,24.16,24.219,30315,,0.130798876415347,0.008242787560884146,149810.78,0.005400672051502828,0
2020-01-02,24.268,24.446,24.234,24.361,52458,,0.14041898877381231,0.011795489471279508,145547.82,0.0057640896832565295,0
2020-01-03,24.408,24.408,24.314,24.379,17983,,0.1357770898964312,0.00893928734014815,142994.62,0.00556942819215026,0
2020-01-06,24.361,24.408,24.219,24.247,46936,,0.14109938090678809,0.0011561170981460034,140623.66,0.005819251078763892,0
