Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2005-02-25,7.6,7.65,7.5,7.6,720924,,0.0,,,0.0,0
2005-02-28,7.81,7.85,7.46,7.57,1490422,,0.0,,,0.0,0
2005-03-01,7.57,7.63,7.37,7.4,745474,,0.0,,,0.0,0
2005-03-02,7.62,7.68,7.4,7.43,1756699,,0.0,-0.022368421052631593,,0.0,0
2005-03-03,7.8,7.92,7.43,7.55,2303457,,0.0,-0.0026420079260238705,,0.0,0
2005-03-04,7.65,7.69,7.5,7.53,810020,,0.0,0.0175675675675675,,0.0,0
2005-03-07,7.7,7.95,7.55,7.88,1595537,,0.0,0.060565275908479155,,0.0,0
2005-03-08,7.88,8.01,7.69,7.69,869165,,0.0,0.018543046357615944,,0.0,0
2005-03-09,7.7,7.79,7.56,7.6,689385,,0.0,0.009296148738379806,,0.0,0
2005-03-10,7.63,7.7,7.4,7.5,470435,,0.30299999999999994,-0.048223350253807085,,0.04039999999999999,0
2005-03-11,7.54,7.54,7.23,7.32,926945,,0.3036999999999999,-0.04811443433029905,,0.041489071038251356,0
2005-03-14,7.29,7.49,7.05,7.15,773230,,0.31733,-0.05921052631578938,,0.04438181818181818,0
2005-03-15,7.25,7.27,6.81,6.92,585675,,0.33159700000000003,-0.07733333333333337,,0.04791864161849711,0
2005-03-16,6.86,6.87,6.47,6.68,1268184,,0.34343730000000006,-0.08743169398907114,,0.051412769461077854,0
2005-03-17,6.73,6.84,6.67,6.7,457027,,0.32609357000000005,-0.06293706293706292,,0.04867068208955225,0
2005-03-18,6.66,6.76,6.52,6.58,655810,,0.31748421300000007,-0.049132947976878616,,0.048249880395136786,0
2005-03-21,6.6,6.65,6.5,6.62,504008,,0.3007357917000001,-0.008982035928143617,,0.045428367326284,0
2005-03-22,6.66,6.7,6.37,6.42,416493,,0.3036622125300001,-0.04179104477611939,,0.04729941005140188,0
2005-03-23,6.38,6.4,5.84,5.96,1294276,,0.33129599127700005,-0.0942249240121581,,0.05558657571761746,0
2005-03-24,6.02,6.4,5.99,6.31,1213185,,0.34216639214930006,-0.046827794561933644,,0.054226052638557856,0
2005-03-28,6.32,6.4,6.3,6.38,609614,,0.3179497529343701,-0.006230529595015577,,0.04983538447247181,0
2005-03-29,6.35,6.46,6.16,6.17,508452,,0.3161547776409331,0.03523489932885915,,0.05124064467438137,0
2005-03-30,6.25,6.41,6.16,6.36,654072,,0.30953929987683976,0.007923930269413848,,0.048669701238496815,0
2005-03-31,6.41,6.41,6.15,6.24,592498,,0.30458536988915574,-0.021943573667711602,,0.048811757995057006,0
2005-04-01,6.26,6.26,5.75,5.89,1637549,,0.32512683290024014,-0.04538087520259326,,0.055199801850635,0
2005-04-04,5.84,6.18,5.75,6.05,1420615,,0.33561414961021613,-0.04874213836477992,,0.05547341315871341,0
2005-04-05,6.0,6.07,5.86,6.01,653447,,0.32305273464919454,-0.03685897435897445,,0.05375253488339344,0
2005-04-06,6.05,6.08,5.96,6.0,346272,,0.3027474611842751,0.018675721561969505,,0.050457910197379184,0
2005-04-07,6.07,6.32,6.0,6.2,969876,,0.3044727150658476,0.024793388429752206,,0.04910850242997542,0
2005-04-08,6.22,6.24,6.1,6.11,796803,,0.2880254435592629,0.016638935108153063,,0.0471400071291756,0
2005-04-11,6.2,6.26,5.77,5.96,1382388,,0.3082228992033366,-0.00666666666666671,,0.051715251544184,0
