Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2005-02-25,7.06,7.27,7.06,7.15,24668,,0.0,,,0.0,0
2005-02-28,7.01,7.17,7.0,7.15,69985,,0.0,,,0.0,0
2005-03-01,7.09,7.21,6.91,6.99,154527,,0.0,,,0.0,0
2005-03-02,6.98,7.0,6.91,7.0,30711,,0.0,-0.020979020979021046,,0.0,0
2005-03-03,7.05,7.05,6.89,6.91,51085,,0.0,-0.03356643356643363,,0.0,0
2005-03-04,6.81,6.96,6.81,6.91,44600,,0.0,-0.011444921316165924,,0.0,0
2005-03-07,6.8,6.97,6.8,6.91,114376,,0.0,-0.01285714285714279,,0.0,0
2005-03-08,6.92,6.96,6.9,6.91,70276,,0.0,0.0,,0.0,0
2005-03-09,6.92,6.99,6.89,6.91,69184,,0.0,0.0,,0.0,0
2005-03-10,7.0,7.01,6.91,6.91,43539,,0.15099999999999997,0.0,,0.02185238784370477,0
2005-03-11,7.05,7.16,6.94,6.95,80032,,0.1609,0.005788712011577379,,0.023151079136690646,0
2005-03-14,7.28,7.28,6.85,6.9,175160,,0.18781000000000006,-0.0014471780028942893,,0.027218840579710152,0
2005-03-15,6.99,7.0,6.89,6.98,67247,,0.18002900000000008,0.01013024602026058,,0.025792120343839552,0
2005-03-16,7.25,7.25,6.96,6.98,104757,,0.19102610000000006,0.004316546762589857,,0.02736763610315187,0
2005-03-17,7.12,7.12,6.86,7.05,57640,,0.19792349000000004,0.021739130434782483,,0.028074253900709226,0
2005-03-18,7.1,7.35,6.95,7.13,112073,,0.21813114099999997,0.021489971346704717,,0.030593427910238426,0
2005-03-21,8.0,8.15,7.31,7.96,211068,,0.2983180269,0.1404011461318051,,0.03747713905778894,0
2005-03-22,7.99,7.99,7.66,7.73,68698,,0.30148622421,0.09645390070922,,0.039002098862871926,0
2005-03-23,7.73,7.73,7.35,7.51,71630,,0.30933760178900005,0.05329593267882182,,0.041190093447270315,0
2005-03-24,7.63,7.65,7.35,7.42,67175,,0.30840384161010015,-0.06783919597989951,,0.04156386005526956,0
2005-03-28,7.93,7.93,7.16,7.39,44695,,0.35456345744909007,-0.04398447606727052,,0.04797881697551963,0
2005-03-29,7.51,7.63,7.2,7.25,39517,,0.36210711170418103,-0.03462050599201061,,0.04994580851092152,0
2005-03-30,7.18,7.71,7.07,7.35,38481,,0.3898964005337629,-0.009433962264150941,,0.053047129324321485,0
2005-03-31,7.3,7.43,7.24,7.33,21500,,0.36990676048038656,-0.008119079837618393,,0.050464769506191894,0
2005-04-01,7.23,7.35,7.23,7.29,10313,,0.34491608443234784,0.0055172413793103114,,0.0473135918288543,0
