Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2022-01-07,21.0,21.0,17.45,18.07,2160106,,0.0,,,0.0,0
2022-01-10,18.45,18.45,16.0,16.72,701998,,0.0,,,0.0,0
2022-01-11,16.5,21.37,16.5,20.08,749400,,0.0,,,0.0,0
2022-01-12,19.01,22.0,18.21,20.26,472094,,0.0,0.12119535141117876,,0.0,0
2022-01-13,20.78,23.16,19.84,21.01,638497,,0.0,0.25657894736842124,,0.0,0
2022-01-14,21.37,21.97,20.17,20.61,301587,,0.0,0.02639442231075706,,0.0,0
2022-01-18,20.58,21.24,18.705,19.35,402350,,0.0,-0.04491609081934844,,0.0,0
2022-01-19,19.4,22.22,19.4,21.28,285288,,0.0,0.012851023322227428,,0.0,0
2022-01-20,20.5,21.41,20.14,20.29,197766,,0.0,-0.015526443474041751,,0.0,0
2022-01-21,20.12,21.465,17.01,18.52,200160,,3.0909999999999993,-0.042894056847545325,,0.16690064794816412,0
2022-01-24,18.0,20.1,17.52,19.11,291545,,3.0399,-0.10197368421052644,,0.15907378335949765,0
2022-01-25,19.56,19.89,17.96,18.84,189400,,2.9289099999999997,-0.07146377525874814,,0.15546231422505305,0
2022-01-26,18.84,19.99,18.01,19.66,129683,,2.834018999999999,0.06155507559395246,,0.1441515259409969,0
2022-01-27,19.88,20.4,18.3665,18.94,223505,,2.7539670999999992,-0.008895866038723055,,0.14540480992608232,0
2022-01-28,19.19,20.83,18.81,20.0,266883,,2.6805703899999993,0.06157112526539277,,0.13402851949999997,0
2022-01-31,20.96,24.5,20.14,23.18,332660,,2.8625133509999996,0.17904374364191256,,0.12349065362381362,0
2022-02-01,23.2,23.85,22.28,23.36,357891,,2.7332620159,0.23336853220696918,,0.11700607944777397,0
2022-02-02,23.98,23.98,21.01,22.41,236139,,2.75693581431,0.12050000000000005,,0.1230225709196787,0
2022-02-03,22.04,23.345,21.56,22.74,180362,,2.659742232879,-0.018981880931837836,,0.1169631588777045,0
