Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2020-09-25,59.4,78.96,54.6,62.64,176302.58262812,,0.0,,,0.0,0
2020-09-28,60.12,62.142,50.46,57.48,31792.333206164,,0.0,,,0.0,0
2020-09-29,57.0,57.24,51.6,54.0,12553.166616454,,0.0,,,0.0,0
2020-09-30,55.08,55.08,51.0,52.8,7068.33330506,,0.0,-0.1570881226053641,,0.0,0
2020-10-01,56.28,56.28,51.12,52.2,6613.33330688,,0.0,-0.09185803757828803,,0.0,0
2020-10-02,52.2,59.4,50.52,57.24,10567.749957729,,0.0,0.06000000000000005,,0.0,0
2020-10-05,60.0,60.0,53.16,53.64,6321.083308049,,0.0,0.015909090909090873,,0.0,0
2020-10-06,57.0,59.28,54.24,57.0,6545.583307151,,0.0,0.09195402298850563,,0.0,0
2020-10-07,58.44,58.44,55.32,56.4,5051.416646461,,0.0,-0.014675052410901501,,0.0,0
2020-10-08,55.842,56.4,51.6,54.24,5714.16664381,,8.093999999999998,0.01118568232662187,,0.14922566371681412,0
2020-10-09,54.48,57.6,51.6,56.16,6142.833308762,,7.884599999999997,-0.01473684210526327,,0.1403952991452991,0
2020-10-12,56.52,57.0,53.4,55.08,3805.333318112,,7.456139999999996,-0.023404255319148914,,0.13536928104575158,0
2020-10-13,54.96,55.08,50.4,50.52,3747.416651677,,7.178525999999996,-0.06858407079646012,,0.14209275534441798,0
2020-10-14,53.04,56.52,50.4,54.72,6082.333309004,,7.072673399999997,-0.02564102564102555,,0.12925207236842098,0
2020-10-15,52.44,55.8,50.88,51.72,9774.833294234,,6.857406059999997,-0.061002178649237515,,0.13258712412993034,0
2020-10-16,51.96,53.4,51.24,51.6,1307.416661437,,6.387665453999997,0.0213776722090262,,0.12379196616279063,0
2020-10-19,51.6,52.8,47.76,52.08,7623.499969506,,6.252898908599997,-0.04824561403508776,,0.12006334309907829,0
2020-10-20,51.6,54.0,48.9,52.56,4896.083313749,,6.137609017739997,0.016241299303944468,,0.1167733831381278,0
2020-10-21,54.0,54.54,49.8,52.08,4890.083313773,,5.997848115965998,0.009302325581395321,,0.11516605445403222,0
2020-10-22,50.76,53.64,49.56,53.64,5355.333311912,,5.806063304369398,0.02995391705069128,,0.1082412994848881,0
