Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
1984-11-05,6.5625,6.5625,6.5625,6.5625,1.6216,28800,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1984-11-06,6.6563,6.6563,6.5313,6.6563,1.6447,18933,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1984-11-07,6.4688,6.7188,6.4688,6.4688,1.5984,2667,0.0,0.0,0.0,0.0,,,,,,,25.0099986668444,,0.0,,,,0.0,0.0,,,False,False,,,,0
1984-11-08,6.4688,6.5938,6.4688,6.4688,1.5984,6667,0.0,0.0,0.0,0.0,,,,,,,25.0099986668444,27.283304246655007,0.0,,,,0.0,0.0,-0.014278095238095201,,False,False,,,,0
1984-11-09,6.6563,6.6563,6.5313,6.6563,1.6447,3467,0.0,0.0,0.0,0.0,,,,,,,72.09440771930694,68.28395026923401,0.0,,,,0.0,0.0,0.0,,False,False,,,,0
1984-11-12,6.6563,6.6563,6.5313,6.6563,1.6447,4800,0.0,0.0,0.0,0.0,,,,,,,72.09440771930694,68.28395026923401,0.0,,,,0.0,0.0,0.02898528320554039,,False,False,,,,0
1984-11-13,6.6563,6.6563,6.5313,6.6563,1.6447,42933,0.0,0.0,0.0,0.0,,,,,,,72.09440771930694,68.28395026923401,0.0,,,,0.0,0.0,0.02898528320554039,0.0142933333333332,False,False,,,,0
1984-11-14,6.5625,6.6875,6.5625,6.5625,1.6216,8000,0.0,0.0,0.0,0.0,,,,,,,34.99549228872833,40.92259877872628,0.0,,,,0.0,0.0,-0.014091912924597771,-0.0140919129245977,False,False,,,,0
1984-11-15,6.4688,6.5938,6.4688,6.4688,1.5984,6933,0.0,0.0,0.0,0.0,,,,,,,19.75964156352171,26.682330822380862,0.0,,,,0.0,0.0,-0.028168802487868683,0.0,False,False,,,,0
1984-11-16,6.4688,6.4688,6.4688,6.4688,1.5984,12533,0.11875,0.0,0.0,0.0,,,,,,,19.75964156352171,26.682330822380862,0.0,,,,0.018357346030175612,0.0183573460301756,-0.028168802487868683,0.0,False,False,,,,0
1984-11-19,6.4688,6.4688,6.4688,6.4688,1.5984,6400,0.10687499999999998,0.0,0.0,0.0,,,,,,,19.75964156352171,26.682330822380848,0.0,,,,0.016521611427158047,0.016521611427158,-0.014278095238095201,-0.0281688024878686,False,False,,,,0
