Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2023-09-14,56.1,66.28,55.54,63.59,63.59,130534500,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2023-09-15,68.63,69.0,60.75,60.75,60.75,74568900,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2023-09-18,57.95,58.741,55.02,58.0,58.0,34571900,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,0.0,,,False,False,,,,0
2023-09-19,56.25,56.78,53.88,55.17,55.17,18308600,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.1324107564082403,,False,False,,,,0
2023-09-20,55.17,55.4,51.52,52.91,52.91,16369500,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.12905349794238685,,False,False,,,,0
2023-09-21,51.78,52.8,49.85,52.16,52.16,14980700,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.1006896551724139,,False,False,,,,0
2023-09-22,52.9,52.9,50.355,51.32,51.32,8430200,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,-0.069784303063259,-0.1929548671174713,False,False,,,,0
2023-09-25,51.12,54.5,50.02,54.44,54.44,12896500,0.0,0.0,0.0,0.0,,,,,,,53.30196196064828,43.46136894170651,0.0,,,,0.0,0.0,0.028917028917028853,-0.1038683127572016,False,False,,,,0
2023-09-26,53.93,54.53,52.7,53.52,53.52,6283500,0.0,0.0,0.0,0.0,,,,,,,43.13298616773943,37.11874882849837,0.0,,,,0.0,0.0,0.026073619631902023,-0.0772413793103448,False,False,,,,0
2023-09-27,54.4,54.41,51.789,52.99,52.99,6866700,4.725599999999998,0.0,0.0,0.0,,,,,,,37.028496075506574,33.37727311772039,0.0,,,,0.089179090394414,0.089179090394414,0.03254091971940776,-0.0395142287475076,False,False,,,,0
2023-09-28,53.5,56.5,52.86,55.49,55.49,8765800,4.6170399999999985,0.0,0.0,0.0,,,,,,,68.53582598863623,59.22587752430472,0.0,,,,0.08320490178410521,0.0832049017841052,0.01928728875826602,0.0487620487620488,False,False,,,,0
2023-09-29,56.21,56.79,53.08,53.52,53.52,7797500,4.526335999999999,0.0,0.0,0.0,,,,,,,43.06623696699908,42.074511028984695,0.0,,,,0.08457279521674138,0.0845727952167413,0.0,0.026073619631902,False,False,,,,0
2023-10-02,53.475,54.19,51.91,52.26,52.26,8857100,4.301702399999999,0.0,0.0,0.0,,,,,,,31.747280431451458,33.74161221262379,0.0,,,,0.08231347876004591,0.0823134787600459,-0.013776184185695484,0.0183164458300857,False,False,,,,0
2023-10-03,51.96,52.235,50.8,51.57,51.57,4687700,4.017532159999999,0.0,0.0,0.0,,,,,,,26.11025083313696,29.47873214741962,33.48766984472152,,,,0.07790444366879967,0.0779044436687996,-0.07064335916381337,-0.0527185892725936,False,False,,,,0
2023-10-04,51.97,53.81,51.31,53.46,53.46,6206500,3.8657789439999997,0.0,0.0,0.0,,,,,,,57.27774667892393,51.74442553946873,30.828422066967985,,,,0.072311615114104,0.072311615114104,-0.0011210762331839152,-0.0011210762331839,False,False,,,,0
2023-10-05,53.9,53.9,52.09,52.51,52.51,2984400,3.660201049599999,0.0,0.0,0.0,,,,,,,43.45702382187978,42.70749834825055,28.38406189829718,,,,0.06970483811845361,0.0697048381184536,0.004783773440489858,-0.0090583128892244,False,False,,,,0
2023-10-06,52.72,54.21,51.55,54.08,54.08,4004900,3.56018094464,0.0,0.0,0.0,,,,,,,64.61979344115127,58.62857616309388,27.099405798637328,,,,0.06583174823668639,0.0658317482366863,0.048671708357572285,-0.0254099837808614,False,False,,,,0
2023-10-09,54.32,55.8,53.37,54.25,54.25,7197700,3.4471628501760003,0.0,0.0,0.0,,,,,,,66.64731363145893,60.224380486059765,23.60061478387662,,,,0.06354217235347466,0.0635421723534746,0.014777403666292432,0.0136397608370701,True,True,,,,0
2023-10-10,55.24,55.86,54.2,55.71,55.71,5138100,3.2684465651584,0.0,0.0,0.0,,,,,,,80.81242713984393,72.41050461716716,20.7136088168093,,,,0.05866893852375516,0.0586689385237551,0.06094077318605984,0.06601607347876,True,True,,,,0
2023-10-11,56.17,56.33,54.38,54.68,54.68,4454700,3.1366019086425596,3.5677999999999983,0.0,0.0,,,,,,,55.75451390491608,56.21125110079304,19.1844432380077,1128107085.05,,,0.0573628732377937,0.0573628732377937,0.011094674556213047,0.0603063796781073,False,False,,,,0
2023-10-12,54.75,54.75,51.41,51.85,51.85,7323100,3.156941717778304,3.5564099999999983,0.0,0.0,,,,,,,24.475950865629727,30.892751463937472,20.28738246790209,732057779.05,,,0.060886050487527564,0.0608860504875275,-0.044239631336405516,-0.030115974560419,False,False,53.14015175341811,,,0
2023-10-13,52.5,52.56,50.0,50.78,50.78,6454600,3.0972475460004736,3.5065894999999982,0.0,0.0,,,,,,,18.56816911013064,25.176126459219446,22.869325687116152,521942974.7,,,0.060993453052392156,0.0609934530523921,-0.08849398671692699,-0.0329461055037135,False,False,51.65095975787808,,,0
2023-10-16,51.04,52.35,51.04,52.09,52.09,3316800,2.944522791400426,3.4097600249999984,0.0,0.0,,,,,,,43.57805462663664,42.53473110515789,25.08241987501392,430323070.3,,,0.056527602061824264,0.0565276020618242,-0.04736649597659104,-0.0367973372781064,False,False,51.04670437900389,,,0
2023-10-17,51.0,52.76,50.65,52.29,52.29,2549700,2.8610705122603837,3.3447720237499987,0.0,0.0,,,,,,,47.2856818053402,45.12614927033168,25.824891354531637,386484987.85,,,0.05471544295774304,0.054715442957743,0.008486017357762776,-0.0361290322580645,True,True,48.30477971275386,,,0
2023-10-18,52.28,52.7,51.275,51.9,51.9,2268900,2.7174634610343458,3.248783422562499,0.0,0.0,54.0516,,,,,,39.66223970335327,40.39045019964653,26.46129547983253,349067271.1,,,0.0523596042588506,0.0523596042588506,0.022055927530523878,-0.0683898761443188,False,False,46.101471962244034,,,0
2023-10-19,52.0,52.7,49.53,49.74,49.74,4553400,2.7627171149309113,3.244844251434374,0.0,0.0,53.497600000000006,,,,,,16.954210926378494,22.75559499638706,29.524815562012694,321321911.3,,,0.055543166765800386,0.0555431667658003,-0.04511422537915144,-0.0903438185808339,False,False,48.2232440532356,,,0
2023-10-20,49.74,49.74,46.5,47.87,47.87,8079700,2.8104454034378206,3.244602038862655,0.0,0.0,52.982400000000005,,,,,,9.724235860709824,15.130175251594451,34.67121119247041,319028780.05,,,0.05870995202502237,0.0587099520250223,-0.08452859055268702,-0.0767598842815815,False,False,49.680326181818565,,,0
2023-10-23,47.22,51.88,46.5,50.21,50.21,9979300,3.067400863094039,3.3513719369195223,0.0,0.0,52.6708,,,,,,49.85884620188239,45.56481878929593,33.92237103341904,308977539.7,,,0.06109143324226327,0.0610914332422632,-0.03256262042389202,-0.0112248916896415,False,False,47.92678993362387,,,0
2023-10-24,52.0,52.892,51.05,52.37,52.37,7211700,3.0288607767846356,3.3179033400735465,0.0,0.0,52.5588,,,,,,68.96378857802809,62.23342124055885,31.293921451083424,311046730.15,,,0.05783579867833943,0.0578357986783394,0.05287494973864093,0.005375311960069,True,True,50.33889151031463,,,0
