Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2022-11-10,3.22,3.75,2.12,2.67,2.67,1465800,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2022-11-11,2.47,2.936,2.15,2.8,2.8,298300,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2022-11-14,2.69,2.8,2.51,2.76,2.76,89000,0.0,0.0,0.0,0.0,,,,,,,68.4210526315789,,0.0,,,,0.0,0.0,,,False,False,,,,0
2022-11-15,2.57,3.0,2.57,2.63,2.63,266400,0.0,0.0,0.0,0.0,,,,,,,26.94300518134716,31.36729222520105,0.0,,,,0.0,0.0,-0.014981273408239737,,False,False,,,,0
2022-11-16,2.6,2.668,2.26,2.305,2.305,169600,0.0,0.0,0.0,0.0,,,,,,,8.231104075979417,10.972178805876853,0.0,,,,0.0,0.0,-0.1767857142857142,,False,False,,,,0
2022-11-17,2.39,2.66,2.25,2.45,2.45,128000,0.0,0.0,0.0,0.0,,,,,,,37.34972308523572,35.802840183334595,0.0,,,,0.0,0.0,-0.11231884057970998,,False,False,,,,0
2022-11-18,2.38,2.58,2.33,2.53,2.53,77000,0.0,0.0,0.0,0.0,,,,,,,50.379801005670224,46.732060100999576,0.0,,,,0.0,0.0,-0.03802281368821292,-0.0524344569288389,True,True,,,,0
2022-11-21,2.56,2.77,2.23,2.24,2.24,66500,0.0,0.0,0.0,0.0,,,,,,,23.642525417346548,25.63682588422175,0.0,,,,0.0,0.0,-0.02819956616052055,-0.1999999999999998,False,False,,,,0
2022-11-22,2.3,2.44,2.23,2.39,2.39,54400,0.0,0.0,0.0,0.0,,,,,,,45.91331406979329,43.29118619606388,0.0,,,,0.0,0.0,-0.02448979591836742,-0.1340579710144926,False,False,,,,0
2022-11-23,2.316,2.368,2.15,2.24,2.24,54300,0.5194000000000001,0.0,0.0,0.0,,,,,,,31.939758477262544,32.88246874410706,0.0,,,,0.23187500000000003,0.231875,-0.11462450592885365,-0.1482889733840303,False,False,,,,0
2022-11-25,2.274,2.946,2.27,2.47,2.47,47600,0.5380600000000001,0.0,0.0,0.0,,,,,,,59.96449098130957,55.00167012123863,0.0,,,,0.21783805668016196,0.2178380566801619,0.1026785714285714,0.0715835140997831,False,False,,,,0
2022-11-28,2.53,2.53,2.21,2.31,2.31,140100,0.516254,0.0,0.0,0.0,,,,,,,41.94299514387997,42.12498419500096,0.0,,,,0.22348658008658007,0.22348658008658,-0.03347280334728031,-0.0571428571428571,False,False,,,,0
2022-11-29,2.85,2.86,2.22,2.32,2.32,5496300,0.5286286,0.0,0.0,0.0,,,,,,,43.53394113764293,43.23249203561337,0.0,,,,0.2278571551724138,0.2278571551724138,0.03571428571428559,-0.0830039525691699,False,False,,,,0
