Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
1984-11-05,5.0,5.0,5.0,5.0,10.0,1550,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1984-11-06,4.7,4.7,4.7,4.7,9.4,435,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1984-11-07,5.0,5.0,5.0,5.0,10.0,785,0.0,0.0,0.0,0.0,,,,,,,60.0,,0.0,,,,0.0,0.0,,,False,False,,,,0
1984-11-08,5.3125,5.3125,5.3125,5.3125,10.625,200,0.0,0.0,0.0,0.0,,,,,,,79.35483870967742,76.1061946902655,0.0,,,,0.0,0.0,0.0625,,True,True,,,,0
1984-11-09,4.7,4.7,4.7,4.7,9.4,1545,0.0,0.0,0.0,0.0,,,,,,,32.756324900133166,35.294117647058826,0.0,,,,0.0,0.0,0.0,,False,False,,,,0
1984-11-12,4.7,4.7,4.7,4.7,9.4,300,0.0,0.0,0.0,0.0,,,,,,,32.756324900133166,35.294117647058826,0.0,,,,0.0,0.0,-0.05999999999999994,,False,False,,,,0
1984-11-14,4.7,4.7,4.7,4.7,9.4,245,0.0,0.0,0.0,0.0,,,,,,,32.756324900133166,35.294117647058826,0.0,,,,0.0,0.0,-0.11529411764705877,-0.0599999999999999,False,False,,,,0
1984-11-15,4.7,4.7,4.7,4.7,9.4,500,0.0,0.0,0.0,0.0,,,,,,,32.75632490013315,35.294117647058826,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,,0
1984-11-16,4.7,4.7,4.7,4.7,9.4,945,0.0,0.0,0.0,0.0,,,,,,,32.75632490013315,35.294117647058826,0.0,,,,0.0,0.0,0.0,-0.0599999999999999,False,False,,,,0
1984-11-19,4.7,4.7,4.7,4.7,9.4,538,0.15249999999999994,0.0,0.0,0.0,,,,,,,32.75632490013315,35.294117647058826,0.0,,,,0.03244680851063828,0.0324468085106382,0.0,-0.1152941176470587,False,False,,,,0
