Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2024-08-28,3.9,4.05,2.62,2.62,2.62,1810400,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-08-29,3.38,3.95,2.7,2.9,2.9,5248800,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-08-30,2.88,3.0,2.4,3.0,3.0,509200,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,,0
2024-09-03,2.91,3.135,2.69,3.07,3.07,188500,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.17175572519083948,,True,True,,,,0
2024-09-04,3.09,3.3,2.72,2.76,2.76,427600,0.0,0.0,0.0,0.0,,,,,,,35.96021423106349,42.25844004656575,0.0,,,,0.0,0.0,-0.048275862068965614,,False,False,,,,0
2024-09-05,2.65,3.0,1.5,1.81,1.81,2918100,0.0,0.0,0.0,0.0,,,,,,,9.118246192647206,12.57941550190597,0.0,,,,0.0,0.0,-0.3966666666666666,,False,False,,,,0
2024-09-06,1.43,1.45,1.22,1.3,1.3,631300,0.0,0.0,0.0,0.0,,,,,,,5.695071339856412,8.371127680836352,0.0,,,,0.0,0.0,-0.5765472312703583,-0.5038167938931297,False,False,,,,0
2024-09-09,1.26,1.28,1.1,1.19,1.19,390600,0.0,0.0,0.0,0.0,,,,,,,5.078267446414827,7.636448634539704,0.0,,,,0.0,0.0,-0.5688405797101449,-0.5896551724137931,False,False,,,,0
2024-09-10,1.19,1.44,1.15,1.4,1.4,474500,0.0,0.0,0.0,0.0,,,,,,,27.548721966506704,24.502442410694385,0.0,,,,0.0,0.0,-0.22651933701657467,-0.5333333333333334,False,False,,,,0
2024-09-11,1.39,1.55,1.32,1.46,1.46,171100,0.7194999999999998,0.0,0.0,0.0,,,,,,,34.22215150777755,29.412745450250995,0.0,,,,0.4928082191780821,0.4928082191780821,0.12307692307692308,-0.5244299674267101,True,True,,,,0
2024-09-12,1.43,1.6,1.38,1.53,1.53,146800,0.6695499999999999,0.0,0.0,0.0,,,,,,,43.3531241278768,35.898074211270185,0.0,,,,0.43761437908496725,0.4376143790849672,0.2857142857142858,-0.4456521739130434,True,True,,,,0
2024-09-13,1.49,1.54,1.162,1.28,1.28,426400,0.6403949999999999,0.0,0.0,0.0,,,,,,,24.863383163027564,24.97242716506024,0.0,,,,0.5003085937499999,0.5003085937499999,-0.08571428571428563,-0.2928176795580111,False,False,,,,0
