Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2024-11-12,6.0,6.0,5.48,5.75,5.75,18334,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-11-13,5.73,6.64,5.73,5.96,5.96,35855,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-11-14,6.49,6.72,5.85,5.85,5.85,26300,0.0,0.0,0.0,0.0,,,,,,,55.99999999999993,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-11-15,5.95,6.4,5.915,6.0,6.0,38900,0.0,0.0,0.0,0.0,,,,,,,76.84210526315786,76.47058823529409,0.0,,,,0.0,0.0,0.04347826086956519,,False,False,,,,0
2024-11-18,6.01,6.7,6.01,6.3,6.3,15100,0.0,0.0,0.0,0.0,,,,,,,90.43478260869564,89.0091590341382,0.0,,,,0.0,0.0,0.057046979865771785,,True,True,,,,0
2024-11-19,6.3,6.38,6.18,6.22,6.22,11300,0.0,0.0,0.0,0.0,,,,,,,73.23943661971828,74.83083145368279,0.0,,,,0.0,0.0,0.06324786324786325,,False,False,,,,0
2024-11-20,5.85,6.45,5.85,6.45,6.45,15300,0.0,0.0,0.0,0.0,,,,,,,85.2962515114873,84.37293755935804,0.0,,,,0.0,0.0,0.07499999999999996,0.1217391304347825,False,False,,,,0
2024-11-21,6.4,6.4,6.0,6.18,6.18,8800,0.0,0.0,0.0,0.0,,,,,,,47.5625379273144,52.951397658278346,0.0,,,,0.0,0.0,-0.01904761904761909,0.0369127516778522,False,False,,,,0
2024-11-22,6.24,6.26,6.2,6.22,6.22,3600,0.0,0.0,0.0,0.0,,,,,,,52.25612376450364,56.175274644272,0.0,,,,0.0,0.0,0.0,0.0632478632478632,False,False,,,,0
2024-11-25,6.21,6.4,6.15,6.3,6.3,17400,0.5130000000000001,0.0,0.0,0.0,,,,,,,62.36267724918935,62.94600484154474,0.0,,,,0.08142857142857145,0.0814285714285714,-0.023255813953488413,0.05,True,True,,,,0
2024-11-26,6.09,6.45,5.945,6.182,6.182,17600,0.5122000000000001,0.0,0.0,0.0,,,,,,,42.47131925258263,48.27734493365205,0.0,,,,0.08285344548689745,0.0828534454868974,0.00032362459546941835,-0.0187301587301585,False,False,,,,0
2024-11-27,6.5,6.5,6.0,6.176,6.176,5600,0.5109800000000001,0.0,0.0,0.0,,,,,,,41.46263082258809,47.52647306299735,0.0,,,,0.08273639896373058,0.0827363989637305,-0.0070739549839227145,-0.0070739549839227,False,False,,,,0
2024-11-29,6.39,6.39,6.15,6.15,6.15,3600,0.48388200000000003,0.0,0.0,0.0,,,,,,,35.91784343815938,43.60773014660324,0.0,,,,0.07868,0.07868,-0.023809523809523725,-0.0465116279069767,False,False,,,,0
