Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2021-11-03,21.42,32.44,21.2,28.89,577.8,1915640,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2021-11-04,26.644,27.63,24.5,25.95,519.0,371090,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2021-11-05,26.77,28.4,25.148,26.03,520.6,173565,0.0,0.0,0.0,0.0,,,,,,,3.921568627451066,,0.0,,,,0.0,0.0,,,False,False,,,,0
2021-11-08,25.89,26.5,23.95,24.56,491.2,108985,0.0,0.0,0.0,0.0,,,,,,,1.884570082449983,1.884570082449983,0.0,,,,0.0,0.0,-0.14987885081343033,,False,False,,,,0
2021-11-09,24.1,24.35,20.9,21.75,435.0,233585,0.0,0.0,0.0,0.0,,,,,,,0.7570380884788506,0.865748812601467,0.0,,,,0.0,0.0,-0.161849710982659,,False,False,,,,0
2021-11-10,21.93,22.06,20.25,20.62,412.4,165355,0.0,0.0,0.0,0.0,,,,,,,0.5562798783138021,0.6711930767677217,0.0,,,,0.0,0.0,-0.20783711102573954,,False,False,,,,0
2021-11-11,20.98,21.89,20.83,21.24,424.8,62225,0.0,0.0,0.0,0.0,,,,,,,18.371860730593557,14.695351661010577,0.0,,,,0.0,0.0,-0.1351791530944626,-0.264797507788162,False,False,,,,0
2021-11-12,21.68,21.98,21.01,21.15,423.0,61455,0.0,0.0,0.0,0.0,,,,,,,17.682099878113632,14.30445455608131,0.0,,,,0.0,0.0,-0.02758620689655178,-0.1849710982658959,False,False,,,,0
2021-11-15,21.22,22.616,20.69,21.04,420.8,83180,0.0,0.0,0.0,0.0,,,,,,,16.543394286907386,13.71014405886838,0.0,,,,0.0,0.0,0.020368574199805867,-0.1917018824433346,False,False,,,,0
2021-11-16,21.62,23.185,21.26,23.03,460.6,100455,3.3212999999999995,0.0,0.0,0.0,,,,,,,69.62506667835822,56.90182503275561,0.0,,,,0.14421623968736427,0.1442162396873642,0.08427495291902076,-0.0622964169381106,False,False,,,,0
2021-11-17,23.37,25.45,22.47,24.64,492.8,162940,3.2871699999999997,0.0,0.0,0.0,,,,,,,82.85719705826921,72.01322623441536,0.0,,,,0.13340787337662335,0.1334078733766233,0.1650118203309694,0.1328735632183908,True,True,,,,0
2021-11-18,24.41,28.73,24.24,26.76,535.2,169325,3.4074529999999994,0.0,0.0,0.0,,,,,,,90.78557084998346,82.67710274383427,0.0,,,,0.12733381913303435,0.1273338191330343,0.2718631178707225,0.2977691561590689,True,True,,,,0
2021-11-19,26.76,27.0,24.28,24.4,488.0,75045,3.338707699999999,0.0,0.0,0.0,,,,,,,51.225560091655886,52.809990325136965,0.0,,,,0.13683228278688522,0.1368322827868852,0.05948762483716874,0.1487758945386064,False,False,,,,0
2021-11-22,24.5,24.74,21.01,21.83,436.6,110330,3.3778369299999995,0.0,0.0,0.0,,,,,,,29.92514075023506,34.64024611800957,36.304199108116215,,,,0.15473371186440676,0.1547337118644067,-0.11404220779220786,0.0321513002364066,False,False,,,,0
2021-11-23,21.86,22.33,18.35,18.9,378.0,146055,3.4380532369999997,0.0,0.0,0.0,,,,,,,17.488890501076,22.744667862789317,34.97685701201795,,,,0.18190757867724866,0.1819075786772486,-0.2937219730941705,-0.1017110266159696,False,False,,,,0
2021-11-24,19.45,20.6,18.903,20.29,405.8,179625,3.2642479132999993,0.0,0.0,0.0,,,,,,,36.32063033508633,36.53108930614371,33.8391352153623,,,,0.16087964087235088,0.1608796408723508,-0.1684426229508197,-0.1189752496743379,False,False,,,,0
2021-11-26,19.65,20.07,18.74,19.75,395.0,84535,3.0928231219699995,0.0,0.0,0.0,,,,,,,32.057073035973815,33.44002932628007,33.0660573714422,,,,0.15659863908708857,0.1565986390870885,-0.09528172240036636,-0.1984577922077922,False,False,,,,0
2021-11-29,20.26,20.34,18.64,18.82,376.4,140555,2.9535408097729996,0.0,0.0,0.0,,,,,,,24.597814014351314,27.999690316896377,31.740964881759783,,,,0.1569362810718916,0.1569362810718916,-0.004232804232804144,-0.296711509715994,False,False,,,,0
2021-11-30,18.77,19.88,18.33,19.24,384.8,137285,2.8131867287956998,0.0,0.0,0.0,,,,,,,34.86484501431933,34.42376889651392,31.107443381234702,,,,0.14621552644468294,0.1462155264446829,-0.051749630359783194,-0.2114754098360656,False,False,,,,0
2021-12-01,18.37,18.48,15.61,16.06,321.2,389880,2.8948680559161297,3.062149999999999,0.0,0.0,,,,,,,13.691661172920064,18.110845987633155,33.89558488527029,5987528.220000001,,,0.18025330360623473,0.1802533036062347,-0.18683544303797472,-0.2643151626202473,False,False,,,,0
2021-12-02,16.36,16.9,15.49,16.07,321.4,165940,2.7463812503245166,2.9795424999999987,0.0,0.0,,,,,,,13.938193019639698,18.27323225758597,36.39998711045722,3353719.0300000003,,,0.17090113567669674,0.1709011356766967,-0.14612114771519658,-0.1497354497354496,False,False,125.46334276815362,,,0
2021-12-03,16.12,16.35,13.91,14.19,283.8,293155,2.7157431252920654,2.952565374999999,0.0,0.0,,,,,,,7.719821719218388,12.205978977776326,39.93220374292732,3080223.2275,,,0.19138429353714345,0.1913842935371434,-0.2624740124740125,-0.3006407097092163,False,False,127.00987089075215,,,0
2021-12-06,14.545,16.34,14.18,14.72,294.4,222475,2.660168812762859,2.91293710625,0.0,0.0,,,,,,,22.36620150222336,21.94737144962721,42.95981799933027,3018069.9799999995,,,0.18071798999747682,0.1807179899974768,-0.083437110834371,-0.2546835443037974,False,False,128.7247024155407,,,0
2021-12-07,15.34,16.55,14.83,16.05,321.0,108235,2.577151931486573,2.858790250937499,0.0,0.0,,,,,,,51.400891751781685,43.079360581135006,44.752421749880014,2971094.9875,,,0.16057021379978648,0.1605702137997864,-0.001244555071561848,-0.147183846971307,True,True,134.42122802547024,,,0
2021-12-08,16.05,16.3,14.76,14.92,298.4,106640,2.4734367383379157,2.792850738390624,0.0,0.0,20.836,,,,,,34.8095157807101,32.96797526861957,46.3739621587879,2796624.74,,,0.1657799422478496,0.1657799422478496,0.051444679351656086,-0.2245322245322244,False,False,130.67484684950054,,,0
2021-12-09,15.0,15.438,14.9,15.24,304.8,30305,2.279893064504124,2.680108201471093,0.0,0.0,20.29,,,,,,42.670114392231454,38.42500209710424,47.7638539378518,2649236.1450000005,,,0.14959928244777718,0.1495992824477771,0.03532608695652173,-0.0510585305105851,False,False,130.7441275467825,,,0
2021-12-10,15.39,15.78,13.6,13.96,279.2,136070,2.2699037580537116,2.655102791397538,0.0,0.0,19.8104,,,,,,24.75820656194645,26.79226506915984,50.53981261469563,2678130.055,,,0.16260055573450655,0.1626005557345065,-0.13021806853582552,-0.1313005600497822,False,False,132.04722234433223,,,0
2021-12-13,14.25,14.33,12.56,12.96,259.2,108215,2.2199133822483406,2.610847651827661,0.0,0.0,19.2876,,,,,,16.594800950444167,20.36888034560684,53.81353659706269,2683264.7125,,,0.17128961282780406,0.171289612827804,-0.13136729222520105,-0.0866807610993656,False,False,133.2071750857498,,,0
2021-12-14,12.89,15.37,12.89,15.24,304.8,84070,2.2459220440235064,2.604305269236278,0.0,0.0,18.9148,,,,,,60.79957022500676,53.93938273462605,52.10724870210053,2659820.6925,,,0.1473702128624348,0.1473702128624348,0.0,0.0353260869565217,False,False,148.74393313148883,,,0
2021-12-15,14.66,14.9,13.77,14.73,294.6,67145,2.1683298396211557,2.547590005774464,0.0,0.0,18.634,,,,,,51.620031499187526,47.91490115656847,50.64471622070438,2593599.0525,,,0.14720501287312665,0.1472050128731266,0.055157593123209114,-0.0822429906542056,False,False,143.3889906552563,,,0
2021-12-16,14.9,15.0,13.5,13.87,277.4,43125,2.10149685565904,2.495210505485741,0.0,0.0,18.364,,,,,,37.3546223259636,38.29761657917162,49.89317829792474,2422764.16,,,0.15151383241954147,0.1515138324195414,0.07021604938271597,-0.0703753351206435,False,False,139.8908765735265,,,0
2021-12-17,13.7,15.4,13.7,14.45,289.0,144675,2.0613471700931365,2.455449980211454,0.0,0.0,18.0924,,,,,,51.0417582862999,47.7314941337049,47.284065326953005,2300734.9975,,,0.1426537833974489,0.1426537833974489,-0.05183727034120744,-0.0518372703412074,False,False,136.2358664973022,,,0
2021-12-20,14.1,14.44,13.67,14.03,280.6,52085,1.9332124530838228,2.3716774812008814,0.0,0.0,17.8076,,,,,,41.251833384817466,41.591685331874544,45.12787448116767,2245717.725,,,0.13779133664175502,0.137791336641755,-0.04752206381534296,0.0050143266475644,False,False,134.28470409319465,,,0
2021-12-21,14.709,15.15,14.21,14.45,289.0,44755,1.8518912077754408,2.309093607140837,0.0,0.0,17.543999999999997,,,,,,54.37756345231953,50.14269426597161,39.78984890546507,2157628.0175,,,0.12815856109172602,0.128158561091726,0.04181687094448461,0.1149691358024689,False,False,131.9346819830324,,,0
2021-12-22,14.73,18.0,14.5,17.41,348.2,149190,2.0217020869978968,2.3711389267837952,0.0,0.0,17.319200000000002,,,,,,86.4295967137188,79.01363861084361,40.138821845131964,2149475.9375,,,0.11612303773681198,0.1161230377368119,0.20484429065743948,0.1423884514435696,True,True,142.62471288944883,,,0
