Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2024-03-21,10.15,10.16,10.14,10.15,10.15,7139223,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-03-22,10.14,10.16,10.14,10.15,10.15,402975,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-03-25,10.1541,10.16,10.13,10.13,10.13,151717,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-03-26,10.15,10.15,10.13,10.14,10.14,138704,0.0,0.0,0.0,0.0,,,,,,,42.85714285714285,39.99999999999999,0.0,,,,0.0,0.0,-0.0009852216748768017,,False,False,,,,0
2024-03-27,10.1576,10.1576,10.14,10.15,10.15,3947,0.0,0.0,0.0,0.0,,,,,,,65.21739130434783,60.869565217391305,0.0,,,,0.0,0.0,0.0,,True,True,,,,0
2024-03-28,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,,,,,,,65.21739130434783,60.869565217391305,0.0,,,,0.0,0.0,0.001974333662388972,,False,False,,,,0
2024-04-01,10.17,10.17,10.15,10.15,10.15,3071,0.0,0.0,0.0,0.0,,,,,,,65.21739130434783,60.869565217391305,0.0,,,,0.0,0.0,0.0009861932938854956,0.0,False,False,,,,0
2024-04-02,10.16,10.17,10.155,10.16,10.16,113191,0.0,0.0,0.0,0.0,,,,,,,85.01170960187353,78.55251544571934,0.0,,,,0.0,0.0,0.0009852216748769127,0.0009852216748769,False,False,,,,0
2024-04-03,10.17,10.17,10.1601,10.1699,10.1699,9779,0.0,0.0,0.0,0.0,,,,,,,91.87667781508028,86.56597598460904,0.0,,,,0.0,0.0,0.001960591133004952,0.0039387956564658,True,True,,,,0
2024-04-04,10.17,10.17,10.17,10.17,10.17,419,0.015769999999999663,0.0,0.0,0.0,,,,,,,91.93266294602758,86.63323855788103,0.0,,,,0.001550639134709898,0.0015506391347098,0.0019704433497536034,0.0029585798816567,True,True,,,,0
2024-04-05,10.16,10.17,10.16,10.17,10.17,25749,0.015192999999999676,0.0,0.0,0.0,,,,,,,91.93266294602758,86.63323855788103,0.0,,,,0.001493903638151394,0.0014939036381513,0.0009842519685039353,0.0019704433497536,False,False,,,,0
2024-04-08,10.1799,10.1799,10.1799,10.1799,10.1799,2008,0.01466369999999971,0.0,0.0,0.0,,,,,,,96.81783306240376,92.89459833525028,0.0,,,,0.0014404561930863476,0.0014404561930863,0.0009832938376974631,0.0029458128078816,False,False,,,,0
2024-04-09,10.18,10.18,10.1799,10.18,10.18,3134,0.013207329999999717,0.0,0.0,0.0,,,,,,,96.84676396842758,92.93914378739116,0.0,,,,0.0012973801571708955,0.0012973801571708,0.000983284169124854,0.0029556650246305,True,True,,,,0
2024-04-10,10.16,10.16,10.16,10.16,10.16,100,0.0138865969999997,0.0,0.0,0.0,,,,,,,25.981887774753787,34.7852600068548,32.027257215637455,,,,0.0013667910433070572,0.001366791043307,-0.000983284169124854,0.0,False,False,,,,0
2024-04-11,10.18,10.18,10.1699,10.1699,10.1699,2658,0.014497937299999685,0.0,0.0,0.0,,,,,,,52.03916807073253,53.845800620991135,29.73498664074021,,,,0.00142557324064147,0.0014255732406414,-0.000982327920706516,0.0,False,False,,,,0
2024-04-12,10.18,10.19,10.16,10.19,10.19,23570,0.016048143569999652,0.0,0.0,0.0,,,,,,,76.85421543570112,74.23287771515348,29.682906812002216,,,,0.001574891420019593,0.0015748914200195,0.0009823182711197198,0.0019665683382497,True,True,,,,0
2024-04-15,10.19,10.19,10.19,10.19,10.19,24775,0.014443329212999687,0.0,0.0,0.0,,,,,,,76.85421543570112,74.23287771515348,29.63826695879822,,,,0.0014174022780176338,0.0014174022780176,0.0029527559055118058,0.0019665683382497,False,False,,,,0
