Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2021-02-11,76.0,79.6,70.0,70.31,70.31,43502700,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2021-02-12,75.71,84.8,71.51,75.46,75.46,21414200,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2021-02-16,79.15,79.6,70.378,78.89,78.89,13163000,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,,0
2021-02-17,76.78,78.698,75.0,77.32,77.32,3769600,0.0,0.0,0.0,0.0,,,,,,,74.45308262520331,77.6968836011719,0.0,,,,0.0,0.0,0.09970132271369625,,False,False,,,,0
2021-02-18,75.45,76.4,73.63,74.0,74.0,3166400,0.0,0.0,0.0,0.0,,,,,,,41.12653550384501,47.7006377527845,0.0,,,,0.0,0.0,-0.01934799893983563,,False,False,,,,0
2021-02-19,75.01,75.7,70.19,71.75,71.75,5095500,0.0,0.0,0.0,0.0,,,,,,,28.26501020985981,35.363767393617735,0.0,,,,0.0,0.0,-0.09050576752440109,,False,False,,,,0
2021-02-22,71.054,72.44,64.81,67.2,67.2,8045300,0.0,0.0,0.0,0.0,,,,,,,14.505171297865886,20.834740528000022,0.0,,,,0.0,0.0,-0.13088463528194505,-0.0442326838287583,False,False,,,,0
2021-02-23,65.0,66.99,61.62,65.47,65.47,4379800,0.0,0.0,0.0,0.0,,,,,,,11.353051149727335,17.24327844414435,0.0,,,,0.0,0.0,-0.11527027027027026,-0.1323880201431221,False,False,,,,0
2021-02-24,65.58,70.44,61.9,68.5,68.5,3710900,0.0,0.0,0.0,0.0,,,,,,,43.569684940695005,40.99547467362616,0.0,,,,0.0,0.0,-0.04529616724738672,-0.1317023703891494,False,False,,,,0
2021-02-25,67.58,70.33,61.17,63.98,63.98,3359100,7.7311999999999985,0.0,0.0,0.0,,,,,,,24.029016165898952,26.09735341436061,0.0,,,,0.12083776180056266,0.1208377618005626,-0.04791666666666672,-0.1725297465080185,False,False,,,,0
2021-02-26,64.61,70.88,64.512,67.31,67.31,2438100,7.648079999999998,0.0,0.0,0.0,,,,,,,49.20447966529464,45.53875878462041,0.0,,,,0.11362472143812209,0.113624721438122,0.028104475332213275,-0.0904054054054054,False,False,,,,0
2021-03-01,68.51,74.75,67.5,74.51,74.51,3848100,7.627271999999998,0.0,0.0,0.0,,,,,,,75.51733378606622,69.02784394941817,0.0,,,,0.1023657495638169,0.1023657495638169,0.08773722627737235,0.0384668989547039,True,True,,,,0
2021-03-02,73.0,73.76,67.52,67.87,67.87,1417200,7.5635448,0.0,0.0,0.0,,,,,,,43.99270196890375,45.10626816250998,0.0,,,,0.11144165021364372,0.1114416502136437,0.06080025007814949,0.0099702380952382,False,False,,,,0
2021-03-03,67.5,68.354,61.38,62.01,62.01,2896000,7.50459032,0.0,0.0,0.0,,,,,,,28.334550316987247,32.040540901317215,22.173660743620907,,,,0.12102225963554267,0.1210222596355426,-0.07874015748031504,-0.0528486329616618,False,False,,,,0
2021-03-04,62.0,64.35,58.577,59.64,59.64,3985600,7.331431288,0.0,0.0,0.0,,,,,,,23.302886969961666,27.711892226021604,24.559852013331515,,,,0.1229280900067069,0.1229280900067069,-0.19957052744598047,-0.1293430656934306,False,False,,,,0
2021-03-05,60.61,62.29,57.53,61.65,61.65,3036800,7.0742881592,0.0,0.0,0.0,,,,,,,37.436554742960034,37.29183739590309,27.12729208419308,,,,0.11474919966261152,0.1147491996626115,-0.09164579342861356,-0.0364176305095341,False,False,,,,0
2021-03-08,59.43,63.47,57.55,60.5,60.5,1920700,6.958859343279999,0.0,0.0,0.0,,,,,,,32.324446908789966,33.86790615981417,27.843726438985914,,,,0.11502246848396694,0.1150224684839669,-0.024350911143363962,-0.1011736740454612,False,False,,,,0
2021-03-09,62.49,63.93,61.3,63.3,63.3,1393100,6.605973408951999,0.0,0.0,0.0,,,,,,,54.84439023843733,49.05330479850673,27.852069213717204,,,,0.10435976949371246,0.1043597694937124,0.06136820925553321,-0.1504496040799893,False,False,,,,0
2021-03-10,65.3,65.5,61.04,62.91,62.91,2215100,6.391376068056799,0.0,0.0,0.0,,,,,,,51.27926258043489,47.047025433271365,25.78911544898286,,,,0.10159555027907803,0.101595550279078,0.020437956204379493,-0.0730808899366437,False,False,,,,0
2021-03-11,71.1,76.49,67.1,69.76,69.76,8697600,7.110238461251119,7.17695,0.0,0.0,,,,,,,82.0392085094283,72.95321333384902,27.97531781279911,500145046.85,,,0.10192428986885205,0.101924289868852,0.15305785123966942,0.1249798419609742,False,False,,,,0
2021-03-12,67.67,72.2,63.0,69.26,69.26,2837400,7.319214615126008,7.2781025,0.0,0.0,,,,,,,76.73482502977882,69.63751810797163,26.362447071835824,357037221.2,,,0.10567736955134287,0.1056773695513428,0.0941548183254346,0.1613011401743795,False,False,94.60655518838226,,,0
2021-03-15,69.44,74.8,69.12,73.47,73.47,2601500,7.155293153613407,7.198197375000001,0.0,0.0,,,,,,,87.19311013885815,79.89569322897378,26.330421226785923,285798054.85,,,0.09739067855741673,0.0973906785574167,0.167858845970434,0.1917274939172748,False,False,93.52144572870152,,,0
