Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
1994-04-28,12.75,12.75,12.75,12.75,1.0602,200,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1994-04-29,13.75,13.75,13.75,13.75,1.1433,200,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1994-06-03,13.75,13.75,13.75,13.75,1.1433,700,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,False,False,,,,0
1994-06-07,13.0,13.0,13.0,13.0,1.081,100,0.0,0.0,0.0,0.0,,,,,,,37.209302325581405,42.85714285714285,0.0,,,,0.0,0.0,0.019607843137254832,,False,False,,,,0
1994-06-20,13.0,13.0,13.0,13.0,1.081,500,0.0,0.0,0.0,0.0,,,,,,,37.209302325581405,42.85714285714285,0.0,,,,0.0,0.0,-0.054545454545454564,,False,False,,,,0
1994-06-30,13.0,13.0,13.0,13.0,1.081,500,0.0,0.0,0.0,0.0,,,,,,,37.209302325581405,42.85714285714285,0.0,,,,0.0,0.0,-0.054545454545454564,,False,False,,,,0
1994-07-12,13.0,13.0,13.0,13.0,1.081,200,0.0,0.0,0.0,0.0,,,,,,,37.209302325581405,42.85714285714285,0.0,,,,0.0,0.0,0.0,0.0196078431372548,False,False,,,,0
1994-07-26,13.0,13.0,13.0,13.0,1.081,100,0.0,0.0,0.0,0.0,,,,,,,37.209302325581405,42.85714285714285,0.0,,,,0.0,0.0,0.0,-0.0545454545454545,False,False,,,,0
1994-07-27,14.5,14.5,14.5,14.5,1.2057,100,0.0,0.0,0.0,0.0,,,,,,,94.0405573182508,90.17487112099464,0.0,,,,0.0,0.0,0.11538461538461542,0.0545454545454544,False,False,,,,0
1994-08-16,13.0,13.0,13.0,13.0,1.081,1500,0.475,0.0,0.0,0.0,,,,,,,39.887656885404176,42.85714285714285,0.0,,,,0.036538461538461534,0.0365384615384615,0.0,0.0,False,False,,,,0
1994-08-17,13.5,13.5,13.5,13.5,1.1225,1600,0.4774999999999999,0.0,0.0,0.0,,,,,,,53.326140042023965,53.66349490329608,0.0,,,,0.035370370370370365,0.0353703703703703,0.03846153846153855,0.0384615384615385,False,False,,,,0
1994-08-19,14.25,14.25,14.25,14.25,1.1849,300,0.5047499999999999,0.0,0.0,0.0,,,,,,,68.94622794605225,66.37951339926448,0.0,,,,0.03542105263157894,0.0354210526315789,-0.017241379310344862,0.0961538461538462,True,True,,,,0
1994-08-29,13.625,13.625,13.625,13.625,1.1329,1000,0.5167749999999999,0.0,0.0,0.0,,,,,,,48.610825752411806,50.868660779236905,0.0,,,,0.03792844036697247,0.0379284403669724,0.04807692307692313,0.0480769230769231,False,False,,,,0
1994-08-30,14.125,14.125,14.125,14.125,1.1744,1000,0.5150974999999999,0.0,0.0,0.0,,,,,,,62.04457780209916,60.67124403615313,20.048964728410656,,,,0.03646707964601769,0.0364670796460176,0.04629629629629628,0.0865384615384614,False,False,,,,0
1994-09-13,13.75,13.75,13.75,13.75,1.1433,100,0.5010877499999998,0.0,0.0,0.0,,,,,,,47.944612993153456,50.579689020613074,18.36928221989251,,,,0.03644274545454544,0.0364427454545454,-0.03508771929824561,-0.0517241379310344,False,False,,,,0
1994-09-14,13.5,13.75,13.0,13.75,1.1433,16000,0.5259789749999999,0.0,0.0,0.0,,,,,,,47.944612993153456,50.579689020613074,17.40224548960493,,,,0.03825301636363636,0.0382530163636363,0.00917431192660545,0.0576923076923077,False,False,,,,0
1994-09-15,13.0,13.5,13.0,13.5,1.1225,13800,0.5483810775,0.0,0.0,0.0,,,,,,,35.75599801177293,42.25065153377494,16.573356863644143,,,,0.040620820555555555,0.0406208205555555,-0.04424778761061943,0.0,False,False,,,,0
1994-09-16,13.25,13.5,13.25,13.5,1.1225,3600,0.51854296975,0.0,0.0,0.0,,,,,,,35.75599801177293,42.25065153377494,15.8628808985349,,,,0.038410590351851855,0.0384105903518518,-0.018181818181818188,-0.0526315789473684,False,False,,,,0
1994-09-19,13.375,13.375,13.375,13.375,1.1121,1300,0.47918867277500005,0.0,0.0,0.0,,,,,,,27.804027326856968,36.85588143642384,15.253901499869832,,,,0.03582719048785047,0.0358271904878504,-0.027272727272727226,-0.018348623853211,False,False,,,,0
1994-09-20,13.75,13.75,13.75,13.75,1.1433,200,0.4687698054975001,0.4875,0.0,0.0,,,,,,,63.91607649962857,58.203174767397016,13.73582670516221,29205.625,,,0.03409234949072728,0.0340923494907272,0.0185185185185186,-0.0265486725663717,False,False,,,,0
1994-09-23,13.75,14.125,13.75,13.75,1.1433,1300,0.4593928249477501,0.4818749999999999,0.0,0.0,,,,,,,63.91607649962857,58.203174767397016,14.410699720016792,29971.875,,,0.033410387268927276,0.0334103872689272,0.0185185185185186,0.0,False,False,74.61926195258657,,,0
1994-09-28,13.75,14.125,13.75,14.125,1.1744,3300,0.45095354245297503,0.4765312499999999,0.0,0.0,,,,,,,83.02283157439136,73.89359232519278,14.989162304177862,32165.0,,,0.031925914509945134,0.0319259145099451,0.05607476635514019,0.0272727272727273,False,False,70.29142509576867,,,0
1994-10-05,13.75,13.75,13.75,13.75,1.1433,200,0.44335818820767753,0.4714546874999999,0.0,0.0,,,,,,,46.27126694237877,49.24500141588965,15.484987376315924,31821.25,,,0.032244231869649274,0.0322442318696492,0.0,0.0185185185185186,False,False,71.00501745198868,,,0
1994-10-06,13.5,13.5,13.5,13.5,1.1225,400,0.42402236938690974,0.460381953125,0.0,0.0,,,,,,,32.07339568191803,37.98287038794302,13.657464244963291,32026.25,,,0.03140906439903035,0.0314090643990303,-0.018181818181818188,0.0,False,False,68.26170286824468,,,0
1994-10-07,14.25,14.25,14.25,14.25,1.1849,100,0.4566201324482188,0.47486285546875,0.0,0.0,13.57,,,,,,71.46875552695352,67.61141744924188,16.508925148103497,31772.5,,,0.03204351806654167,0.0320435180665416,0.008849557522123908,0.0654205607476634,False,False,70.71723783280295,,,0
1994-10-14,14.25,14.25,14.25,14.25,1.1849,200,0.410958119203397,0.4511197126953125,0.0,0.0,13.63,,,,,,71.46875552695352,67.61141744924188,18.953034493652243,31590.0,,,0.028839166259887507,0.0288391662598875,0.036363636363636376,0.0363636363636363,False,False,70.71723783280295,,,0
1994-10-26,13.5,13.5,13.5,13.5,1.1225,1200,0.4448623072830573,0.4660637270605469,0.0,0.0,13.62,,,,,,31.00689034403085,36.55996428667127,17.206744190029145,32270.0,,,0.03295276350244869,0.0329527635024486,0.0,-0.0181818181818181,False,False,73.72309291390687,,,0
1994-11-18,14.625,14.625,14.625,14.625,1.2161,1000,0.5128760765547515,0.4990105407075195,0.0,0.0,13.655,,,,,,69.65778215378438,66.93294454458885,19.05871290859769,32936.25,,,0.03506844967895737,0.0350684496789573,0.026315789473684292,0.0353982300884956,False,False,78.75461760053248,,,0
1994-11-21,14.0,14.875,14.0,14.875,1.2368,1100,0.5490884688992763,0.5178100136721435,0.0,0.0,13.73,,,,,,74.43225076570491,71.04097908475818,17.241909642943646,33681.875,,,0.036913510514237066,0.036913510514237,0.04385964912280693,0.0818181818181817,True,True,68.89488567165769,,,0
1994-11-22,14.0,14.75,14.0,14.75,1.2265,17600,0.5816796220093486,0.5356695129885363,0.0,0.0,13.8,,,,,,66.57533099971894,65.60723663859758,15.684649700954465,45686.875,,,0.039435906576904996,0.0394359065769049,0.09259259259259256,0.0925925925925925,False,False,55.43407179159507,,,0
1994-11-23,14.75,14.75,14.75,14.75,1.2265,1300,0.5235116598084137,0.5088860373391094,0.0,0.0,13.87,,,,,,66.57533099971894,65.60723663859758,14.34985546496373,45565.625,,,0.03549231591921449,0.0354923159192144,0.008547008547008517,0.0350877192982457,False,False,54.2014424769615,,,0
1994-11-30,13.75,13.75,13.75,13.75,1.1433,200,0.5711604938275723,0.5334417354721539,0.0,0.0,13.9,,,,,,22.95666192279096,31.423779228961536,16.216730540492627,45489.375,,,0.04153894500564162,0.0415389450056416,-0.07563025210084029,-0.0350877192982456,False,False,56.98521438087933,,,0
1994-12-02,14.75,14.875,14.625,14.875,1.2368,1600,0.626544444444815,0.5630196486985463,0.0,0.0,13.975,,,,,,63.41048231134464,61.50750268573839,15.336896423733918,45998.125,,,0.04212063492065984,0.0421206349206598,0.008474576271186418,0.1018518518518518,False,False,61.30396076661621,,,0
1994-12-16,14.5,14.5,14.5,14.5,1.2057,2000,0.6013900000003336,0.5536186662636189,0.0,0.0,13.975,,,,,,50.22455800376442,51.47185624062758,14.005324352180008,46741.875,,,0.04147517241381611,0.0414751724138161,-0.016949152542372836,-0.0085470085470085,False,False,60.98289077076953,,,0
