Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2020-02-11,25.19,25.38,25.19,25.35,15.749,1377100,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2020-02-12,25.55,25.55,25.3,25.38,15.7676,410800,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2020-02-13,25.38,25.38,25.25,25.38,15.7676,121600,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,False,False,,,,0
2020-02-14,25.38,25.45,25.36,25.37,15.7614,128100,0.0,0.0,0.0,0.0,,,,,,,57.14285714286004,62.790697674421374,0.0,,,,0.0,0.0,0.0007889546351085297,,False,False,,,,0
2020-02-18,25.385,25.43,25.35,25.4,15.7801,111800,0.0,0.0,0.0,0.0,,,,,,,85.36585365853807,85.04672897196411,0.0,,,,0.0,0.0,0.0007880220646176994,,False,False,,,,0
2020-02-19,25.4,25.55,25.4,25.48,15.8298,153800,0.0,0.0,0.0,0.0,,,,,,,95.97315436241686,95.21753570242532,0.0,,,,0.0,0.0,0.003940110323089163,,True,True,,,,0
2020-02-20,25.48,25.594,25.35,25.51,15.8484,213900,0.0,0.0,0.0,0.0,,,,,,,97.13945172824847,96.43122676579996,0.0,,,,0.0,0.0,0.005518328734726019,0.0063116370808677,True,True,,,,0
2020-02-21,25.58,25.59,25.52,25.568,15.8844,111200,0.0,0.0,0.0,0.0,,,,,,,98.44529377469746,97.84258171055346,0.0,,,,0.0,0.0,0.006614173228346676,0.0074074074074075,True,True,,,,0
2020-02-24,25.36,25.49,24.84,25.48,15.8298,219300,0.0,0.0,0.0,0.0,,,,,,,48.28276409849077,54.35583699605348,0.0,,,,0.0,0.0,0.0,0.0039401103230891,False,False,,,,0
2020-02-25,25.53,25.54,25.27,25.34,15.7428,125100,0.22119999999999962,0.0,0.0,0.0,,,,,,,21.788594573282182,27.978294459825637,0.0,,,,0.008729281767955786,0.0087292817679557,-0.006664053312426588,-0.0011824990145842,False,False,,,,0
2020-02-26,25.35,25.43,25.25,25.25,15.6869,112400,0.21707999999999963,0.0,0.0,0.0,,,,,,,14.248996454628056,19.75937722323819,0.0,,,,0.008597227722772263,0.0085972277227722,-0.012437421777221624,-0.0059055118110236,False,False,,,,0
2020-02-27,25.15,25.2,24.455,24.96,15.5067,165500,0.2748719999999999,0.0,0.0,0.0,,,,,,,5.331713622564308,8.735039951777011,0.0,,,,0.011012499999999996,0.0110124999999999,-0.020408163265306145,-0.0204081632653061,False,False,,,,0
2020-02-28,24.8,24.8,24.058,24.49,15.2147,1133300,0.3375848,0.0,0.0,0.0,,,,,,,2.1145964439155165,3.960318951812312,0.0,,,,0.013784597795018377,0.0137845977950183,-0.0335438042620364,-0.039984319874559,False,False,,,,0
2020-03-02,24.4,24.48,24.0,24.24,15.0594,75400,0.35282631999999986,0.0,0.0,0.0,,,,,,,1.4274018542716362,2.853930958879573,56.20539583003256,,,,0.014555541254125408,0.0145555412541254,-0.040000000000000036,-0.0519399249061327,False,False,,,,0
2020-03-03,24.32,24.68,24.25,24.3,15.0967,170600,0.361543688,0.0,0.0,0.0,,,,,,,11.7517116025291,10.82590673327134,55.90429953645316,,,,0.014878341069958846,0.0148783410699588,-0.02644230769230771,-0.0463108320251177,False,False,,,,0
2020-03-04,24.36,24.74,24.35,24.72,15.3576,112400,0.36938931919999973,0.0,0.0,0.0,,,,,,,57.97200981585112,49.50245862729309,54.66805845694131,,,,0.014942933624595459,0.0149429336245954,0.009391588403429907,-0.0244672454617206,True,True,,,,0
2020-03-05,24.62,24.733,24.35,24.58,15.2706,32400,0.37075038727999965,0.0,0.0,0.0,,,,,,,45.94111372135956,41.502298522390895,53.60842324593115,,,,0.015083416895036603,0.0150834168950366,0.014026402640264113,-0.0265346534653465,False,False,,,,0
2020-03-06,24.03,24.5,23.82,24.1,14.9724,29300,0.40967534855199955,0.0,0.0,0.0,,,,,,,22.2228251429827,23.868427613858927,55.32412829245781,,,,0.01699897711834023,0.0169989771183402,-0.008230452674897082,-0.0344551282051281,False,False,,,,0
2020-03-09,23.47,24.0,21.38,21.38,13.2826,30300,0.6407078136967999,0.0,0.0,0.0,,,,,,,4.124239535902873,5.669093179068753,59.99516269382013,,,,0.029967624588250696,0.0299676245882506,-0.13511326860841422,-0.1269906084115966,False,False,,,,0
2020-03-10,22.6,22.6,21.46,21.81,13.5497,34700,0.69863703232712,0.5270999999999999,0.0,0.0,,,,,,,19.64308573965758,18.730697320515333,63.998906466416415,6093511.529999999,,,0.03203287631027602,0.032032876310276,-0.11269324654190394,-0.1002475247524752,False,False,,,,0
2020-03-11,21.84,21.88,20.09,20.34,12.6365,26100,0.807773329094408,0.5902449999999998,0.0,0.0,,,,,,,10.733784791168546,11.483148955731892,67.99955263502116,4374580.98,,,0.039713536336991546,0.0397135363369915,-0.15601659751037344,-0.1629629629629629,False,False,49.63937883023258,,,0
2020-03-12,16.45,17.0,14.75,15.42,9.5799,50200,1.2859959961849672,0.8402327499999999,0.0,0.0,,,,,,,3.2754392874098954,4.2113306316094565,72.11622839059248,3891979.98,,,0.08339792452561395,0.0833979245256139,-0.27876520112254444,-0.3762135922330096,False,False,106.34799313685431,,,0
2020-03-13,16.51,18.2,16.5,18.0,11.1827,100500,1.4353963965664704,0.9372211124999998,0.0,0.0,,,,,,,37.458134764078686,33.60767090472281,71.81287387934685,3828119.58,,,0.07974424425369281,0.0797442442536928,-0.1746905089408528,-0.2676973148901546,False,False,123.88720471211366,,,0
2020-03-16,14.75,15.821,14.0,14.0,8.6977,36500,1.6918567569098237,1.0903600568749998,0.0,0.0,,,,,,,20.5603112617048,20.562788728086787,72.61952055863361,3691174.73,,,0.12084691120784455,0.1208469112078445,-0.31170108161258603,-0.4190871369294606,False,False,148.8754275648034,,,0
2020-03-17,14.2,14.2,12.5,12.77,7.9335,53600,1.692671081218841,1.1208420540312498,0.0,0.0,22.984720000000003,,,,,,17.01906116034941,17.73965881015316,73.78860492245236,3583412.33,,,0.13255059367414573,0.1325505936741457,-0.1718547341115435,-0.4027128157156221,False,False,149.97780762283946,,,0
2020-03-18,11.3,12.01,8.0,8.0,4.9701,33100,2.0004039730969567,1.3032999513296877,0.0,0.0,22.29072,,,,,,8.501384984505037,10.374639697147488,75.72791608511764,3400711.13,,,0.2500504966371196,0.2500504966371196,-0.5555555555555556,-0.6331957817514902,False,False,213.8577886003541,,,0
2020-03-19,8.05,10.5,8.05,10.09,6.2685,150400,2.0503635757872614,1.3631349537632031,0.0,0.0,21.67912,,,,,,31.14870454903705,27.86962069661409,77.39018279597359,3203758.48,,,0.20320749016722114,0.2032074901672211,-0.27928571428571425,-0.5039331366764995,False,False,236.80070433278576,,,0
2020-03-20,10.51,12.5,9.53,10.06,6.2499,220300,2.1423272182085356,1.4434782060750428,0.0,0.0,21.06632,,,,,,30.983584361348196,27.765889864336287,74.22932398792184,3172411.3,,,0.21295499186963573,0.2129549918696357,-0.21221613155833985,-0.3476005188067445,False,False,236.6649818280249,,,0
2020-03-23,10.087,10.23,9.0,9.7,6.0262,142700,2.051094496387682,1.4328042957712908,0.0,0.0,20.43952,,,,,,28.284700060802635,26.205309696012502,71.84149307400227,2962232.6,,,0.2114530408647095,0.2114530408647095,0.2124999999999999,-0.4611111111111111,False,False,236.1556006261925,,,0
2020-03-24,10.2,12.688,10.2,12.46,7.7409,141400,2.144785046748914,1.5105640809827263,0.0,0.0,19.92192,,,,,,64.17333055642142,53.13252178725192,64.98061365950723,2891823.1,,,0.17213363136026594,0.1721336313602659,0.23488602576808737,-0.1099999999999999,False,False,258.69859512525346,,,0
2020-03-25,12.97,15.578,12.8,15.326,9.5215,65500,2.2421065420740223,1.59093587693359,0.0,0.0,19.51576,,,,,,79.86674459513152,68.86316744351117,56.30859621480992,2800110.75,,,0.14629430654273928,0.1462943065427392,0.5234592445328032,0.2001566170712607,True,True,272.5738122121883,,,0
2020-03-26,15.47,17.117,15.47,16.45,10.2198,135700,2.19699588786662,1.6009390830869106,0.0,0.0,19.15336,,,,,,83.9918384853757,73.51208275598317,50.56488171472074,2705180.0,,,0.13355598102532645,0.1335559810253264,0.6958762886597938,1.05625,True,True,274.66954890080814,,,0
2020-03-27,16.2,16.2,14.7,14.7,9.1326,80500,2.152296299079958,1.6083921289325651,0.0,0.0,18.71864,,,,,,56.8087810751334,56.118356787953374,44.526056232153095,1376621.65,,,0.1464147142231264,0.1464147142231264,0.17977528089887618,0.4568880079286421,False,False,276.5837534583177,,,0
2020-03-30,14.9,15.4,14.565,14.97,9.3003,35400,2.020566669171962,1.569722522485937,0.0,0.0,18.29824,,,,,,59.81836071348329,58.15512059426907,39.139958968355664,1311733.75,,,0.13497439339826064,0.1349743933982606,-0.023228500587237355,0.4880715705765408,False,False,276.97626225526113,,,0
2020-03-31,15.0,15.0,13.9,14.0,8.6977,87200,1.9285100022547659,1.54623639636164,0.0,0.0,17.844640000000002,,,,,,43.488457456927215,47.57713881574395,33.67790299131537,1165494.75,,,0.13775071444676898,0.1377507144467689,-0.14893617021276595,0.4432989690721651,False,False,277.1898919495857,,,0
2020-04-01,13.71,13.73,12.74,13.05,8.1075,32500,1.861659002029289,1.5319245765435583,0.0,0.0,17.35664,,,,,,31.040032574223545,38.44546177868664,30.813046580371665,1047774.6,,,0.14265586222446658,0.1426558622244665,-0.11224489795918358,0.0473515248796148,False,False,277.05646203367536,,,0
2020-04-02,13.87,14.8,13.0,13.8,8.5734,182300,1.8554931018263603,1.5453283477163804,0.0,0.0,16.910239999999998,,,,,,48.497991966547296,48.791432481748174,26.434781035935835,1133742.0,,,0.13445602187147537,0.1344560218714753,-0.07815631262525047,-0.0995693592587759,False,False,278.6873152684185,,,0
2020-04-03,13.5,14.0,11.45,14.0,8.6977,172900,1.9249437916437244,1.5955619303305617,0.0,0.0,16.49064,,,,,,53.233744701948126,51.67914054652498,25.07011254227138,1219465.5,,,0.13749598511740888,0.1374959851174088,0.0,-0.1489361702127659,True,True,279.0984366397167,,,0
2020-04-06,14.3,15.29,14.201,15.01,9.3251,80900,1.861449412479352,1.5802838338140333,0.0,0.0,16.12144,,,,,,72.43437114213799,64.9772747247707,21.532439090665065,1247790.25,,,0.12401395153093617,0.1240139515309361,0.15019157088122603,0.0210884353741496,True,True,278.8619658723449,,,0
2020-04-07,15.75,16.33,15.25,16.15,10.0334,129900,1.8073044712314164,1.5672696421233314,1.44185,0.0,15.79544,,,,,,83.73820891469394,75.23442453349602,20.09902863298889,1314844.15,,,0.11190739759946851,0.1119073975994685,0.17028985507246364,0.0788243152972609,True,True,280.4520184362343,,,0
2020-04-08,17.131,18.35,16.7,18.28,11.3567,83800,1.8465740241082749,1.598906160017165,1.46080375,0.0,15.53784,,,,,,92.43382544208303,85.68140322566433,21.532243817246755,1364893.65,,,0.1010160844698181,0.1010160844698181,0.3057142857142858,0.3057142857142858,True,True,283.8418414824179,,,0
2020-04-09,18.5,20.04,18.4,19.38,12.0401,110700,1.8379166216974472,1.6069608520163066,1.46828365625,0.0,15.32984,,,,,,94.64995006183038,88.90431387920613,24.46220427150144,1433457.75,,,0.09483573899367632,0.0948357389936763,0.2911392405063291,0.4850574712643676,True,True,265.6634991728701,,,0
2020-04-13,19.0,19.0,17.95,18.32,11.3815,237500,1.7971249595277023,1.598112809415491,1.46732656484375,0.0,15.098639999999998,,,,,,66.49698161322817,68.96078807027507,25.953065743562743,1560557.75,,,0.09809634058557327,0.0980963405855732,0.1343653250773995,0.327536231884058,False,False,261.0875938208562,,,0
2020-04-14,18.55,19.39,18.55,19.05,11.835,86600,1.7244124635749323,1.5717071689447164,1.457393400722656,0.0,15.005439999999998,,,,,,74.3716559734303,74.2623488677012,27.680996819339907,1617494.25,,,0.09052033929527203,0.090520339295272,0.04212253829321666,0.3607142857142857,False,False,243.6499105653578,,,0
2020-04-15,18.77,18.99,18.55,18.9,11.7419,66700,1.601971217217439,1.5181218104974803,1.4334585657045895,0.0,14.88904,,,,,,69.3477586496914,70.94258491984996,29.16208059857748,1646302.15,,,0.08476038186335656,0.0847603818633565,-0.024767801857585203,0.2591605596269153,False,False,240.5447078535297,,,0
2020-04-16,18.96,19.345,18.38,19.07,11.8475,93000,1.538274095495695,1.4904657199726066,1.4217471015619751,0.0,14.83824,,,,,,72.50518367878726,72.78125186500442,30.932178953128417,1721737.65,,,0.08066460909783403,0.080664609097834,0.040938864628820903,0.1808049535603717,False,False,157.73598987103497,,,0
2020-04-17,19.32,19.9,19.31,19.53,12.1333,54300,1.4674466859461253,1.4574424339739762,1.4069534240229258,0.0,15.00264,,,,,,80.61139002430271,77.84019381330015,33.230262801025745,1698884.8,,,0.07513807915750768,0.0751380791575076,0.025196850393700787,0.0683807439824946,True,True,141.1479990539566,,,0
2020-04-20,18.7,19.58,18.7,19.2,11.9282,12400,1.4087020173515126,1.4285703122752773,1.3937795884223525,0.0,15.050639999999998,,,,,,61.19630151029283,66.09052568559797,32.95111304263981,1599977.9,,,0.07336989673705795,0.0733698967370579,0.015873015873015817,-0.0092879256965944,False,False,141.7108805614807,,,0
2020-04-21,18.95,19.27,17.81,18.26,11.3443,21700,1.4138318156163614,1.4301417966615135,1.3954350987117938,0.0,15.22104,,,,,,30.159664965930304,42.00784791777186,29.820619082315964,1550580.5,,,0.07742781027471858,0.0774278102747185,-0.042475091767173456,-0.0032751091703056,False,False,142.6769631873962,,,0
