Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2019-09-26,25.03,25.04,25.03,25.04,22.2817,300,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2019-09-27,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2019-09-30,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,False,False,,,,0
2019-10-01,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,,False,False,,,,0
2019-10-02,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,,False,False,,,,0
2019-10-03,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,,False,False,,,,0
2019-10-04,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,,0
2019-10-07,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,,0
2019-10-08,25.04,25.04,25.04,25.04,22.2817,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0,False,False,,,,0
2019-10-09,25.04,25.04,25.04,25.04,22.2817,0,0.000999999999999801,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,3.993610223641378e-05,3.993610223641378e-05,0.0,0.0,False,False,,,,0
2019-10-10,25.04,25.04,25.04,25.04,22.2817,0,0.0008999999999998209,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,3.59424920127724e-05,3.59424920127724e-05,0.0,0.0,False,False,,,,0
2019-10-11,25.04,25.04,25.04,25.04,22.2817,0,0.0008099999999998388,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,3.234824281149516e-05,3.234824281149516e-05,0.0,0.0,False,False,,,,0
2019-10-14,25.04,25.04,25.04,25.04,22.2817,0,0.000728999999999855,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,2.911341853034565e-05,2.911341853034565e-05,0.0,0.0,False,False,,,,0
2019-10-15,25.04,25.04,25.04,25.04,22.2817,0,0.0006560999999998694,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,2.620207667731108e-05,2.620207667731108e-05,0.0,0.0,False,False,,,,0
2019-10-16,25.04,25.04,25.04,25.04,22.2817,0,0.0005904899999998825,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,2.3581869009579974e-05,2.3581869009579974e-05,0.0,0.0,False,False,,,,0
2019-10-17,25.04,25.04,25.04,25.04,22.2817,0,0.0005314409999998943,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,2.1223682108621976e-05,2.1223682108621976e-05,0.0,0.0,False,False,,,,0
2019-10-18,25.04,25.04,25.04,25.04,22.2817,0,0.0004782968999999049,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,1.910131389775978e-05,1.910131389775978e-05,0.0,0.0,False,False,,,,0
2019-10-21,25.04,25.04,25.04,25.04,22.3153,0,0.0004304672099999144,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,1.71911825079838e-05,1.71911825079838e-05,0.0,0.0,False,False,,,,0
2019-10-22,25.04,25.04,25.04,25.04,22.3153,0,0.000387420488999923,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,1.5472064257185422e-05,1.5472064257185422e-05,0.0,0.0,False,False,,,,0
2019-10-23,25.04,25.04,25.04,25.04,22.3153,0,0.00034867844009993067,0.0004999999999999,0.0,0.0,,,,,,,100.0,100.0,0.0,375.6,,,1.392485783146688e-05,1.392485783146688e-05,0.0,0.0,False,False,,,,0
2019-10-24,24.9,24.93,24.9,24.9,22.1906,4000,0.014313810596089993,0.0074749999999999,0.0,0.0,,,,,,,0.0,0.0,14.285714285714286,4980.0,,,0.0005748518311682728,0.0005748518311682,-0.005591054313099031,-0.005591054313099,False,False,1.990196249927247,,,0
2019-10-25,24.9,24.9,24.9,24.9,22.1906,100,0.012882429536480994,0.0071012499999999,0.0,0.0,,,,,,,0.0,0.0,26.53061224489796,5104.5,,,0.0005173666480514456,0.0005173666480514,-0.005591054313099031,-0.005591054313099,False,False,1.990196249927247,,,0
