Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2019-09-26,25.022,25.022,25.022,25.022,22.2847,300,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2019-09-27,25.022,25.022,25.022,25.022,22.2847,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2019-09-30,25.022,25.022,25.022,25.022,22.2847,0,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,False,False,,,,0
2019-10-01,25.022,25.022,25.022,25.022,22.2847,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,,False,False,,,,0
2019-10-02,25.09,25.09,25.09,25.09,22.3453,300,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.002717608504516189,,False,False,,,,0
2019-10-03,25.09,25.09,25.09,25.09,22.3453,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.002717608504516189,,False,False,,,,0
2019-10-04,25.09,25.09,25.09,25.09,22.3453,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.002717608504516189,0.0027176085045161,False,False,,,,0
2019-10-07,25.09,25.09,25.09,25.09,22.3453,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0027176085045161,False,False,,,,0
2019-10-08,25.09,25.09,25.09,25.09,22.3453,0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0027176085045161,False,False,,,,0
2019-10-09,25.09,25.09,25.09,25.09,22.3453,0,0.006800000000000139,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.00027102431247509525,0.000271024312475,0.0,0.0027176085045161,False,False,,,,0
2019-10-10,25.09,25.09,25.09,25.09,22.3453,0,0.006120000000000125,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.00024392188122758572,0.0002439218812275,0.0,0.0,False,False,,,,0
2019-10-11,25.09,25.09,25.09,25.09,22.3453,0,0.005508000000000113,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.00021952969310482713,0.0002195296931048,0.0,0.0,False,False,,,,0
2019-10-14,25.09,25.09,25.09,25.09,22.3453,0,0.004957200000000101,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0001975767237943444,0.0001975767237943,0.0,0.0,False,False,,,,0
