Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
1993-09-21,13.875,14.7501,13.7499,13.875,1.6439,2133901,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1993-09-22,14.0001,14.4999,14.0001,14.1249,1.6735,1621801,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
1993-09-23,14.4999,14.4999,14.0001,14.4999,1.7179,223650,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,,0
1993-09-24,14.4999,14.7501,14.25,14.4999,1.7179,244800,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.04503783783783777,,False,False,,,,0
1993-09-27,14.4999,14.7501,14.25,14.625,1.7327,135000,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.03540556039334786,,False,False,,,,0
1993-09-28,14.25,15.0,14.25,15.0,1.7771,330750,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.034489893033744945,,True,True,,,,0
1993-09-29,14.25,15.2499,14.25,15.0,1.7771,154350,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.034489893033744945,0.0810810810810811,False,False,,,,0
1993-09-30,15.0,15.75,15.0,15.75,1.866,146250,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.07692307692307687,0.1150521419620669,False,False,,,,0
1993-10-01,15.2499,16.5,15.2499,15.9999,1.8956,94050,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.06665999999999994,0.1034489893033745,True,True,,,,0
1993-10-04,16.5,16.5,15.75,15.75,1.866,50400,0.76251,0.0,0.0,0.0,,,,,,,71.34437417940939,76.9169770524177,0.0,,,,0.048413333333333336,0.0484133333333333,0.050000000000000044,0.0862143876854322,False,False,,,,0
1993-10-05,16.5,16.5,15.5001,15.5001,1.8364,149400,0.786249,0.0,0.0,0.0,,,,,,,49.89694947377024,58.81520680713814,0.0,,,,0.050725414674744035,0.050725414674744,-0.015866666666666696,0.0598358974358974,False,False,,,,0
1993-10-06,16.2501,16.2501,15.5001,16.2501,1.9252,52200,0.7826240999999999,0.0,0.0,0.0,,,,,,,78.70966469225469,78.78978591302727,0.0,,,,0.04816118670038953,0.0481611867003895,0.015637597734985853,0.0833399999999999,False,False,,,,0
1993-10-07,16.2501,16.2501,15.0,15.0,1.7771,43200,0.82937169,0.0,0.0,0.0,,,,,,,32.287333376146975,37.91868919365304,0.0,,,,0.055291446,0.055291446,-0.04761904761904767,0.0,False,False,,,,0
1993-10-08,15.75,15.75,15.0,15.2499,1.8068,14850,0.8214345210000001,0.0,0.0,0.0,,,,,,,42.462920129518025,45.45961713748653,67.57068809498062,,,,0.053864911966635856,0.0538649119666358,-0.016141831343023605,-0.0317523809523809,False,False,,,,0
1993-10-11,15.0,15.2499,15.0,15.2499,1.8068,54000,0.7642810689000001,0.0,0.0,0.0,,,,,,,42.462920129518025,45.45961713748653,60.48457271422861,,,,0.05011712004013142,0.0501171200401314,-0.06155039045913557,-0.046875292970581,False,False,,,,0
1993-10-12,15.2499,15.5001,15.0,15.5001,1.8364,61200,0.7378629620100001,0.0,0.0,0.0,,,,,,,57.01462382694104,55.15521109329445,56.666340116722445,,,,0.04760375494416166,0.0476037549441616,0.033339999999999925,-0.0158666666666666,False,False,,,,0
