Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2024-10-24,9.95,9.98,9.95,9.955,9.955,2845945,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-10-25,9.95,9.97,9.95,9.96,9.96,306200,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2024-10-28,9.97,9.98,9.97,9.97,9.97,318400,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,,0
2024-10-29,9.98,9.99,9.98,9.98,9.98,144900,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0025113008538424353,,True,True,,,,0
2024-10-30,9.98,9.98,9.98,9.98,9.98,14700,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.002008032128514081,,False,False,,,,0
2024-10-31,9.98,9.98,9.98,9.98,9.98,10500,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0010030090270811698,,False,False,,,,0
2024-11-01,9.98,9.99,9.975,9.98,9.98,92400,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0025113008538424,False,False,,,,0
2024-11-04,9.98,9.98,9.975,9.98,9.98,35900,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.002008032128514,False,False,,,,0
2024-11-05,9.98,9.98,9.98,9.98,9.98,9000,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.0,0.0010030090270811,False,False,,,,0
2024-11-06,9.99,10.0,9.99,10.0,10.0,16100,0.013000000000000256,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0013000000000000255,0.0013,0.002004008016031955,0.0020040080160319,False,False,,,,0
2024-11-07,10.0,10.0,10.0,10.0,10.0,11,0.011700000000000231,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.001170000000000023,0.00117,0.002004008016031955,0.0020040080160319,False,False,,,,0
2024-11-08,10.0,10.0,10.0,10.0,10.0,0,0.01053000000000021,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.001053000000000021,0.001053,0.002004008016031955,0.0020040080160319,False,False,,,,0
2024-11-11,9.99,10.0,9.99,9.99,9.99,15500,0.010477000000000167,0.0,0.0,0.0,,,,,,,39.08853029464257,49.90646959304832,0.0,,,,0.0010487487487487654,0.0010487487487487,-0.0010000000000000009,0.001002004008016,False,False,,,,0
2024-11-12,9.991,10.0,9.99,9.99,9.99,55200,0.010429300000000129,0.0,0.0,0.0,,,,,,,39.08853029464257,49.90646959304832,84.33355626967685,,,,0.0010439739739739869,0.0010439739739739,-0.0010000000000000009,0.001002004008016,False,False,,,,0
2024-11-13,10.0,10.0,10.0,10.0,10.0,100400,0.010386370000000094,0.0,0.0,0.0,,,,,,,74.30446640612904,73.50322041587182,78.73839779456145,,,,0.0010386370000000093,0.001038637,0.0,0.0020040080160319,False,False,,,,0
2024-11-14,10.0,10.0,10.0,10.0,10.0,0,0.009347733000000084,0.0,0.0,0.0,,,,,,,74.30446640612904,73.50322041587182,73.94254767303394,,,,0.0009347733000000084,0.0009347733,0.0010010010010010895,0.0,False,False,,,,0
2024-11-15,10.0,10.0,10.0,10.0,10.0,0,0.008412959700000075,0.0,0.0,0.0,,,,,,,74.30446640612904,73.50322041587182,69.83181899743894,,,,0.0008412959700000074,0.00084129597,0.0010010010010010895,0.0,False,False,,,,0
2024-11-18,9.999,10.0,9.99,9.99,9.99,10400,0.008571663730000045,0.0,0.0,0.0,,,,,,,25.17724728058185,34.727482252258326,61.11974052039965,,,,0.0008580243973974019,0.0008580243973974,-0.0010000000000000009,-0.001,False,False,,,,0
2024-11-19,9.99,9.99,9.99,9.99,9.99,16200,0.00771449735700004,0.0,0.0,0.0,,,,,,,25.17724728058185,34.727482252258326,53.65224468293741,,,,0.0007722219576576616,0.0007722219576576,-0.0010000000000000009,0.0,False,False,,,,0
2024-11-20,9.99,9.99,9.99,9.99,9.99,19400,0.006943047621300036,0.0085,0.0,0.0,,,,,,,25.17724728058184,34.727482252258326,47.25153396511263,1997718.87375,,,0.0006949997618918955,0.0006949997618918,-0.0010000000000000009,0.0,False,False,,,,0
2024-11-21,9.99,9.99,9.98,9.99,9.99,14000,0.00724874285917001,0.008575,0.0,0.0,,,,,,,25.17724728058184,34.727482252258326,46.60162389337727,588142.75,,,0.0007255998858028038,0.0007255998858028,0.0,-0.001,False,False,1.0716810955823708,,,0
2024-11-22,9.99,9.99,9.99,9.99,9.99,18300,0.00652386857325301,0.00814625,0.0,0.0,,,,,,,25.17724728058184,34.727482252258326,46.04455811760409,444796.0,,,0.0006530398972225235,0.0006530398972225,0.0,-0.001,False,False,1.0661897780646563,,,0
2024-11-25,9.99,9.99,9.99,9.99,9.99,0,0.005871481715927709,0.0077389375,0.0,0.0,,,,,,,25.17724728058184,34.727482252258326,45.56707316694138,286073.6,,,0.0005877359075002711,0.0005877359075002,0.0,-0.001,False,False,1.0181094293624446,,,0
