symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown,ATR10,risk_per_share,r_multiple
ADSK,1997-05-02,1997-05-07,9.79,9.79,10,0.0,0.0,0.0,0.0,0.0,0.4821508086645164,1.4464524259935492,0.0
ADI,2000-06-02,2000-06-06,69.11,65.55,1,3.56,0.36,3.56,3.56,0.0,4.748989328661134,14.246967985983401,0.24987772861583152
ADI,2003-08-22,2003-08-26,32.22,30.49,3,5.17,0.52,8.73,8.73,0.0,1.1891961294266813,3.567588388280044,0.4830527364072296
ADSK,2008-04-24,2008-04-29,37.32,38.41,2,-2.18,-0.22,6.550000000000001,8.73,-2.1799999999999997,1.2997542833724824,3.8992628501174473,-0.2795400161256554
AAOI,2017-07-13,2017-07-18,77.05,88.46,1,-11.41,-1.14,-4.859999999999999,8.73,-13.59,4.156351966431271,12.469055899293814,-0.9150652697487872
ACAD,2018-09-21,2018-09-26,20.1,21.51,4,-5.64,-0.56,-10.5,8.73,-19.23,0.9657713129497193,2.897313938849158,-0.48665765248762305
ADAP,2020-06-02,2020-06-05,12.32,11.05,4,5.08,0.51,-5.42,8.73,-14.15,1.486508911291399,4.459526733874197,0.28478358260601616
AAL,2020-06-05,2020-06-09,21.25,18.45,4,11.2,1.12,5.779999999999999,8.73,-2.950000000000001,1.895793602131264,5.687380806393792,0.4923180098741095
ACGL,2020-06-05,2020-06-11,34.94,31.5,2,6.88,0.69,12.66,12.66,0.0,1.6420389056550426,4.926116716965128,0.698318817366412
AAL,2020-12-09,2020-12-14,18.37,17.52,5,4.25,0.43,16.91,16.91,0.0,1.0352476900663585,3.1057430701990754,0.2736865158474026
ACET,2021-12-08,2021-12-10,15.12,14.01,5,5.58,0.56,22.490000000000002,22.490000000000002,0.0,1.316634328537579,3.949902985612737,0.282538584888023
AAL,2023-01-12,2023-01-18,16.03,17.62,6,-9.52,-0.95,12.970000000000002,22.490000000000002,-9.52,0.6319186952707796,1.8957560858123388,-0.8369571795343987
ACAD,2023-12-19,2023-12-22,30.2,30.1,3,0.3,0.03,13.270000000000003,22.490000000000002,-9.219999999999999,1.4233076788691714,4.269923036607514,0.023419625867413935
AAOI,2024-11-21,2024-11-26,36.99,38.27,2,-2.56,-0.26,10.710000000000003,22.490000000000002,-11.78,2.7978911745911264,8.39367352377338,-0.15249580489098835
AAON,2025-05-01,2025-05-06,100.0,97.5,1,2.5,0.25,13.210000000000003,22.490000000000002,-9.28,4.836313208513415,14.508939625540245,0.1723075610294237
