symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,risk_amount,cumulative_pnl,cum_max,drawdown,year,month,week,R_multiple
ADBE,1987-06-09,1987-06-11,0.94,0.97,90,2.7,0.27,19.873111471739065,2.7,2.7,0.0,1987,1987-06,1987-06-08/1987-06-14,0.13586196624718713
ADBE,1987-10-09,1987-10-13,1.07,1.12,93,4.65,0.47,15.793559908374837,7.3500000000000005,7.3500000000000005,0.0,1987,1987-10,1987-10-12/1987-10-18,0.2944238048278304
ADBE,1990-03-23,1990-03-27,2.17,2.38,46,9.66,0.97,15.753863572407383,17.01,17.01,0.0,1990,1990-03,1990-03-26/1990-04-01,0.6131829157718061
ADBE,1990-05-30,1990-06-04,2.07,1.97,39,-3.9,-0.39,19.51451925062164,13.110000000000001,17.01,-3.9000000000000004,1990,1990-06,1990-06-04/1990-06-10,-0.19985119540548069
ADBE,1990-05-31,1990-06-04,1.94,1.97,39,1.17,0.12,19.805567325559473,14.280000000000001,17.01,-2.7300000000000004,1990,1990-06,1990-06-04/1990-06-10,0.059074298694291476
ADSK,1995-08-22,1995-08-24,10.26,10.9,9,5.76,0.58,12.441100601587973,20.04,20.04,0.0,1995,1995-08,1995-08-21/1995-08-27,0.462981546766433
ADBE,1998-12-15,1998-12-17,4.31,5.44,23,25.99,2.6,18.38564603547212,46.03,46.03,0.0,1998,1998-12,1998-12-14/1998-12-20,1.4136027610809274
ADI,1999-10-21,1999-10-25,17.03,18.64,5,8.06,0.81,17.572898995622044,54.09,54.09,0.0,1999,1999-10,1999-10-25/1999-10-31,0.4586608050275596
ADSK,2000-01-07,2000-01-11,6.44,7.45,15,15.15,1.51,17.35332390454552,69.24000000000001,69.24000000000001,0.0,2000,2000-01,2000-01-10/2000-01-16,0.8730315922952154
ADBE,2000-03-03,2000-03-07,18.66,20.2,4,6.16,0.62,19.000222526226437,75.4,75.4,0.0,2000,2000-03,2000-03-06/2000-03-12,0.32420672923683985
ADBE,2000-03-07,2000-03-13,19.86,20.43,4,2.28,0.23,19.524180246243418,77.68,77.68,0.0,2000,2000-03,2000-03-13/2000-03-19,0.1167782703931289
ADBE,2000-03-09,2000-03-13,18.29,20.43,4,8.56,0.86,18.22358599945717,86.24000000000001,86.24000000000001,0.0,2000,2000-03,2000-03-13/2000-03-19,0.4697209429721998
ADI,2000-03-15,2000-03-17,50.73,58.35,1,7.62,0.76,12.251268719027756,93.86000000000001,93.86000000000001,0.0,2000,2000-03,2000-03-13/2000-03-19,0.6219763989149291
ADI,2000-03-16,2000-03-20,46.68,60.12,1,13.44,1.34,12.15019184712498,107.30000000000001,107.30000000000001,0.0,2000,2000-03,2000-03-20/2000-03-26,1.1061553734380103
ADI,2000-04-04,2000-04-06,51.69,59.05,1,7.36,0.74,15.181491245155676,114.66000000000001,114.66000000000001,0.0,2000,2000-04,2000-04-03/2000-04-09,0.48480085922708893
ADI,2000-04-12,2000-04-17,47.56,48.79,1,1.23,0.12,14.093503705816772,115.89000000000001,115.89000000000001,0.0,2000,2000-04,2000-04-17/2000-04-23,0.08727425242683588
ADI,2000-04-13,2000-04-18,43.37,49.12,1,5.75,0.57,14.0535033352351,121.64000000000001,121.64000000000001,0.0,2000,2000-04,2000-04-17/2000-04-23,0.4091506482645887
ADI,2000-04-14,2000-04-18,43.28,49.12,1,5.84,0.58,13.584553001711587,127.48000000000002,127.48000000000002,0.0,2000,2000-04,2000-04-17/2000-04-23,0.4299000489205783
ADSK,2000-04-13,2000-04-19,8.97,9.85,9,7.92,0.79,18.226407734047967,135.4,135.4,0.0,2000,2000-04,2000-04-17/2000-04-23,0.43453433696674026
ADBE,2000-05-05,2000-05-10,26.37,26.43,2,0.12,0.01,14.39055233076349,135.52,135.52,0.0,2000,2000-05,2000-05-08/2000-05-14,0.008338804323963942
ADI,2000-05-11,2000-05-15,39.02,46.22,1,7.2,0.72,11.484355054331523,142.72,142.72,0.0,2000,2000-05,2000-05-15/2000-05-21,0.6269398643578505
ADI,2000-06-30,2000-07-05,54.83,52.77,1,-2.06,-0.21,12.205850714015455,140.66,142.72,-2.0600000000000023,2000,2000-07,2000-07-03/2000-07-09,-0.1687715218108141
ADI,2000-07-21,2000-07-26,51.87,52.82,1,0.95,0.1,10.975501804055149,141.60999999999999,142.72,-1.1100000000000136,2000,2000-07,2000-07-24/2000-07-30,0.08655640689239383
ADBE,2000-10-13,2000-10-17,30.29,33.09,2,5.6,0.56,13.605098532609347,147.20999999999998,147.20999999999998,0.0,2000,2000-10,2000-10-16/2000-10-22,0.41161039639497304
ADBE,2000-11-28,2000-12-04,31.87,33.89,2,4.04,0.4,15.616927958676527,151.24999999999997,151.24999999999997,0.0,2000,2000-12,2000-12-04/2000-12-10,0.2586936438901505
ADSK,2005-01-25,2005-01-27,25.65,29.66,3,12.03,1.2,13.610734527624736,163.27999999999997,163.27999999999997,0.0,2005,2005-01,2005-01-24/2005-01-30,0.8838611887979717
AAPL,2005-04-19,2005-04-21,1.0,1.12,100,11.89,1.19,13.448811896633849,175.16999999999996,175.16999999999996,0.0,2005,2005-04,2005-04-18/2005-04-24,0.8840929660839402
AAPL,2007-11-13,2007-11-15,4.3,4.94,23,14.82,1.48,14.569991045171038,189.98999999999995,189.98999999999995,0.0,2007,2007-11,2007-11-12/2007-11-18,1.017159170108881
ADEA,2012-02-22,2012-02-24,3.06,3.17,32,3.54,0.35,13.86255140140068,193.52999999999994,193.52999999999994,0.0,2012,2012-02,2012-02-20/2012-02-26,0.25536424699152543
ACAD,2012-11-15,2012-11-19,1.8,2.26,42,19.32,1.93,19.853319161210766,212.84999999999994,212.84999999999994,0.0,2012,2012-11,2012-11-19/2012-11-25,0.9731370277745416
ACAD,2013-10-09,2013-10-11,21.67,21.49,4,-0.72,-0.07,16.402184072865126,212.12999999999994,212.84999999999994,-0.7199999999999989,2013,2013-10,2013-10-07/2013-10-13,-0.0438965930879369
ACAD,2013-10-10,2013-10-14,18.47,23.51,4,20.16,2.02,18.92196566557861,232.28999999999994,232.28999999999994,0.0,2013,2013-10,2013-10-14/2013-10-20,1.0654284209316331
ACAD,2013-10-11,2013-10-15,21.42,23.13,3,5.13,0.51,15.307326824265562,237.41999999999993,237.41999999999993,0.0,2013,2013-10,2013-10-14/2013-10-20,0.33513362972480565
ACAD,2014-03-25,2014-03-28,22.54,22.65,4,0.44,0.04,18.26097333464827,237.85999999999993,237.85999999999993,0.0,2014,2014-03,2014-03-24/2014-03-30,0.02409510117213448
ABUS,2014-08-15,2014-08-19,15.34,18.81,3,10.41,1.04,19.361789903508512,248.26999999999992,248.26999999999992,0.0,2014,2014-08,2014-08-18/2014-08-24,0.5376569032036457
ABUS,2014-10-09,2014-10-14,22.19,23.6,2,2.82,0.28,14.877006094072684,251.08999999999992,251.08999999999992,0.0,2014,2014-10,2014-10-13/2014-10-19,0.18955426798699423
ABUS,2014-10-21,2014-10-23,17.31,19.82,3,7.53,0.75,18.20423645170269,258.6199999999999,258.6199999999999,0.0,2014,2014-10,2014-10-20/2014-10-26,0.4136399799012553
ABUS,2014-10-22,2014-10-24,16.72,18.68,3,5.88,0.59,17.628812806532423,264.4999999999999,264.4999999999999,0.0,2014,2014-10,2014-10-20/2014-10-26,0.3335448656996995
ACAD,2015-03-17,2015-03-19,32.72,34.99,2,4.54,0.45,14.188578987765574,269.0399999999999,269.0399999999999,0.0,2015,2015-03,2015-03-16/2015-03-22,0.3199756652103582
ACAD,2015-08-11,2015-08-13,36.67,38.0,2,2.66,0.27,12.746840602550613,271.69999999999993,271.69999999999993,0.0,2015,2015-08,2015-08-10/2015-08-16,0.20867916081634694
ACAD,2016-08-11,2016-08-15,28.9,32.82,3,11.76,1.18,14.400273581311772,283.4599999999999,283.4599999999999,0.0,2016,2016-08,2016-08-15/2016-08-21,0.8166511513546355
AAOI,2017-04-06,2017-04-10,41.55,44.46,2,5.82,0.58,19.675780454823297,289.2799999999999,289.2799999999999,0.0,2017,2017-04,2017-04-10/2017-04-16,0.29579512809481934
AAOI,2017-04-07,2017-04-12,43.07,40.82,2,-4.5,-0.45,19.263202409340963,284.7799999999999,289.2799999999999,-4.5,2017,2017-04,2017-04-10/2017-04-16,-0.2336060175445125
AAOI,2017-06-14,2017-06-16,59.38,62.88,1,3.5,0.35,11.984852264693636,288.2799999999999,289.2799999999999,-1.0,2017,2017-06,2017-06-12/2017-06-18,0.292035306126443
AAOI,2018-07-20,2018-07-24,39.52,38.26,2,-2.52,-0.25,13.26513812486327,285.75999999999993,289.2799999999999,-3.519999999999982,2018,2018-07,2018-07-23/2018-07-29,-0.18997163665236805
AAOI,2018-09-05,2018-09-10,34.15,33.13,2,-2.04,-0.2,10.06263702010024,283.7199999999999,289.2799999999999,-5.560000000000002,2018,2018-09,2018-09-10/2018-09-16,-0.20273015869747416
AACG,2018-09-11,2018-09-14,1.34,1.33,21,-0.21,-0.02,19.935765406738067,283.50999999999993,289.2799999999999,-5.769999999999982,2018,2018-09,2018-09-10/2018-09-16,-0.010533831820122758
AACG,2018-09-12,2018-09-17,1.34,1.28,22,-1.32,-0.13,19.85037881206732,282.18999999999994,289.2799999999999,-7.089999999999975,2018,2018-09,2018-09-17/2018-09-23,-0.06649747153427389
AACG,2018-09-13,2018-09-17,1.26,1.28,23,0.46,0.05,19.654901882263342,282.6499999999999,289.2799999999999,-6.6299999999999955,2018,2018-09,2018-09-17/2018-09-23,0.023403830899563317
AACG,2018-09-25,2018-09-27,0.96,1.03,37,2.59,0.26,19.679511567935705,285.2399999999999,289.2799999999999,-4.0400000000000205,2018,2018-09,2018-09-24/2018-09-30,0.13160895742046505
AACG,2018-10-09,2018-10-12,1.0,1.05,37,1.85,0.19,19.81672904306273,287.0899999999999,289.2799999999999,-2.1899999999999977,2018,2018-10,2018-10-08/2018-10-14,0.09335546729129005
AACG,2018-10-10,2018-10-12,0.95,1.05,38,3.8,0.38,19.561584683047165,290.88999999999993,290.88999999999993,0.0,2018,2018-10,2018-10-08/2018-10-14,0.19425829050001397
AACG,2018-10-24,2018-10-26,1.0,1.12,35,4.2,0.42,19.993591799299487,295.0899999999999,295.0899999999999,0.0,2018,2018-10,2018-10-22/2018-10-28,0.2100673076734094
ACAD,2018-10-25,2018-10-29,17.89,21.1,5,16.05,1.61,18.69846014656874,311.13999999999993,311.13999999999993,0.0,2018,2018-10,2018-10-29/2018-11-04,0.8583594517511783
AACG,2019-04-16,2019-04-22,3.02,2.3,15,-10.8,-1.08,19.612226201154193,300.3399999999999,311.13999999999993,-10.800000000000011,2019,2019-04,2019-04-22/2019-04-28,-0.5506769037450941
AACG,2019-04-23,2019-04-25,2.14,2.21,17,1.19,0.12,19.98687915865423,301.5299999999999,311.13999999999993,-9.610000000000014,2019,2019-04,2019-04-22/2019-04-28,0.05953906012809085
AACG,2019-04-24,2019-04-29,2.19,2.0,17,-3.23,-0.32,18.96101624278881,298.2999999999999,311.13999999999993,-12.840000000000032,2019,2019-04,2019-04-29/2019-05-05,-0.17034951917350016
AACG,2019-04-30,2019-05-03,1.86,1.81,22,-1.1,-0.11,19.14013621480366,297.1999999999999,311.13999999999993,-13.940000000000055,2019,2019-05,2019-04-29/2019-05-05,-0.05747085536147967
AACG,2019-05-02,2019-05-06,1.64,1.84,25,5.0,0.5,19.38012537953519,302.1999999999999,311.13999999999993,-8.940000000000055,2019,2019-05,2019-05-06/2019-05-12,0.2579962669013403
AACG,2019-05-03,2019-05-07,1.57,2.26,27,18.63,1.86,19.681231868908203,320.82999999999987,320.82999999999987,0.0,2019,2019-05,2019-05-06/2019-05-12,0.9465870898777984
AACG,2019-05-01,2019-05-07,1.75,2.26,24,12.24,1.22,19.872133738170866,333.0699999999999,333.0699999999999,0.0,2019,2019-05,2019-05-06/2019-05-12,0.615937883735611
ADMA,2019-05-15,2019-05-20,4.09,4.18,22,1.98,0.2,19.230464340072356,335.0499999999999,335.0499999999999,0.0,2019,2019-05,2019-05-20/2019-05-26,0.10296163238628019
AACG,2019-05-23,2019-05-28,1.91,2.01,27,2.7,0.27,19.83518967834093,337.7499999999999,337.7499999999999,0.0,2019,2019-05,2019-05-27/2019-06-02,0.13612171316658844
ACMR,2020-01-28,2020-01-30,11.65,12.01,5,1.81,0.18,19.06338825047218,339.5599999999999,339.5599999999999,0.0,2020,2020-01,2020-01-27/2020-02-02,0.09494639547904965
ADAP,2020-02-26,2020-02-28,3.18,3.62,24,10.56,1.06,19.658063619931703,350.1199999999999,350.1199999999999,0.0,2020,2020-02,2020-02-24/2020-03-01,0.5371841400133127
ADAP,2020-03-10,2020-03-12,2.75,2.63,23,-2.76,-0.28,19.455361994709254,347.3599999999999,350.1199999999999,-2.759999999999991,2020,2020-03,2020-03-09/2020-03-15,-0.1418632046399631
ACMR,2020-03-10,2020-03-13,8.37,7.62,6,-4.48,-0.45,17.496365637936336,342.8799999999999,350.1199999999999,-7.240000000000009,2020,2020-03,2020-03-09/2020-03-15,-0.25605317656864013
ACMR,2020-03-11,2020-03-16,8.3,7.0,6,-7.78,-0.78,17.342279074142702,335.0999999999999,350.1199999999999,-15.019999999999982,2020,2020-03,2020-03-16/2020-03-22,-0.4486146236453986
